;FFMETADATA1
TYER=2007-09-09
title=TWiT 112: Blimey
album=TWiT September 2007
genre=Podcast
comment=http://twit.tv/112
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:04:56.710"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="9677"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
TYER=2007-09-09
title=TWiT 112: Blimey
album=TWiT September 2007
genre=Podcast
comment=http://twit.tv/112
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:04:56.710"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="9677"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:32.000]   >> This is Twit. This weekend tech, episode 112
[00:00:32.000 --> 00:00:35.000]   for September 9th, 2007.
[00:00:35.000 --> 00:00:37.000]   Oh, I mean.
[00:00:37.000 --> 00:00:40.000]   This weekend tech is brought to you by Audible.com.
[00:00:40.000 --> 00:00:44.000]   For your free audio book, visit audible.com/twit.
[00:00:44.000 --> 00:00:53.000]   [ Music ]
[00:00:53.000 --> 00:00:56.000]   >> It's time for Twit and ladies and gentlemen.
[00:00:56.000 --> 00:00:58.000]   >> We're going to start with a man who's been missing
[00:00:58.000 --> 00:01:01.000]   in action and we have surely missed him, Mr. John C.
[00:01:01.000 --> 00:01:02.000]   Devorak.
[00:01:02.000 --> 00:01:04.000]   >> I've always been here.
[00:01:04.000 --> 00:01:06.000]   >> Oh, that's right. It's not a show without John.
[00:01:06.000 --> 00:01:08.000]   Oh, I know. We took the week off. What am I thinking?
[00:01:08.000 --> 00:01:11.000]   Everybody was missing in action last week.
[00:01:11.000 --> 00:01:13.000]   What am I thinking? Thank you, John.
[00:01:13.000 --> 00:01:15.000]   It's good to see you again.
[00:01:15.000 --> 00:01:16.000]   Devorak.org/blog.
[00:01:16.000 --> 00:01:21.000]   And he's got a shrimp on the Barbie.
[00:01:21.000 --> 00:01:24.000]   What is for dinner a little later on?
[00:01:24.000 --> 00:01:26.000]   >> Well, nobody's invited.
[00:01:26.000 --> 00:01:28.000]   [ Laughter ]
[00:01:28.000 --> 00:01:31.000]   >> John is not a man to mince words.
[00:01:31.000 --> 00:01:33.000]   Let's also say hi to Will Harris.
[00:01:33.000 --> 00:01:34.000]   >> Hello.
[00:01:34.000 --> 00:01:38.000]   >> Will and eventually from this new TV channel that he's starting,
[00:01:38.000 --> 00:01:39.000]   but from right now.
[00:01:39.000 --> 00:01:42.000]   >> Oh, so close. I can almost seal it.
[00:01:42.000 --> 00:01:43.000]   >> So close.
[00:01:43.000 --> 00:01:46.000]   W-I-L-Harris.co.uk.
[00:01:46.000 --> 00:01:47.000]   1-L.
[00:01:47.000 --> 00:01:50.000]   Is that commonly how it's done in the UK is with 1-L?
[00:01:50.000 --> 00:01:51.000]   >> No.
[00:01:51.000 --> 00:01:56.000]   It's just because you know how like, you know, you only get three letters
[00:01:56.000 --> 00:01:58.000]   in a high school table, right, in the arcades?
[00:01:58.000 --> 00:01:59.000]   >> Oh.
[00:01:59.000 --> 00:02:02.000]   >> So when I was little, I always used to just put in like W-I-L.
[00:02:02.000 --> 00:02:04.000]   That was my name for the high school table on Street Fighter.
[00:02:04.000 --> 00:02:08.000]   >> My real name is Adia Paul Josephus, but I could only get Leo on the arcades.
[00:02:08.000 --> 00:02:09.000]   So that was --
[00:02:09.000 --> 00:02:11.000]   >> Well, there you go. We're in the same boat.
[00:02:11.000 --> 00:02:12.000]   >> No, I'm just kidding.
[00:02:12.000 --> 00:02:14.000]   >> Actually, Leo is perfect for that.
[00:02:14.000 --> 00:02:15.000]   >> Indeed.
[00:02:15.000 --> 00:02:17.000]   >> And we're going to welcome a brand new member of the Twit panel.
[00:02:17.000 --> 00:02:19.000]   I want to hope we'll see a lot of in the future,
[00:02:19.000 --> 00:02:21.000]   because I think he does a great site.
[00:02:21.000 --> 00:02:27.000]   Mike Masnick is the head honcho at TechDirt, T-E-C-H-D-I-R-T, TechDirt.com,
[00:02:27.000 --> 00:02:33.000]   which I was stunned, Mike, to learn has been around since 1997.
[00:02:33.000 --> 00:02:36.000]   What have you been -- where have you been -- oh, he just fell off of him.
[00:02:36.000 --> 00:02:38.000]   >> Fairly. You stunned him.
[00:02:38.000 --> 00:02:39.000]   >> I stunned him off of yourself.
[00:02:39.000 --> 00:02:42.000]   >> You started talking and, boom, he's gone.
[00:02:42.000 --> 00:02:44.000]   Let's get him back on the phone here.
[00:02:44.000 --> 00:02:47.000]   Since 1997, you know, I never heard -- you guys ever heard of it?
[00:02:47.000 --> 00:02:49.000]   >> Yeah, I look at it all the time.
[00:02:49.000 --> 00:02:51.000]   >> It's a great site. I do, too.
[00:02:51.000 --> 00:02:53.000]   >> I've been looking at it all the time.
[00:02:53.000 --> 00:02:54.000]   >> Yeah.
[00:02:54.000 --> 00:02:58.000]   Now he doesn't want to talk to us anymore.
[00:02:58.000 --> 00:03:00.000]   >> [APPLAUSE]
[00:03:00.000 --> 00:03:05.000]   >> He's got the little web alert down the bottom.
[00:03:05.000 --> 00:03:07.000]   Lots of people have got embedded web alerts on their site.
[00:03:07.000 --> 00:03:08.000]   >> What's that?
[00:03:08.000 --> 00:03:09.000]   >> What is it?
[00:03:09.000 --> 00:03:10.000]   >> He did the Morgan web show.
[00:03:10.000 --> 00:03:11.000]   >> Oh, yeah.
[00:03:11.000 --> 00:03:13.000]   Well, I think that's because she's with FM.
[00:03:13.000 --> 00:03:15.000]   >> And he's with FM as well.
[00:03:15.000 --> 00:03:17.000]   >> And he's with FM as well.
[00:03:17.000 --> 00:03:19.000]   >> He's probably with FM, and FM probably makes them do that.
[00:03:19.000 --> 00:03:20.000]   No, I probably pay.
[00:03:20.000 --> 00:03:22.000]   >> No, they probably do. It's probably part of the contract.
[00:03:22.000 --> 00:03:23.000]   >> That you have to do a little --
[00:03:23.000 --> 00:03:24.000]   >> It's quite a straight --
[00:03:24.000 --> 00:03:25.000]   >> -- so you have to do it.
[00:03:25.000 --> 00:03:26.000]   >> Why not?
[00:03:26.000 --> 00:03:27.000]   >> It's different websites and, you know, everything.
[00:03:27.000 --> 00:03:29.000]   >> Everywhere you go, there's Morgan Webb's face.
[00:03:29.000 --> 00:03:30.000]   >> Yeah.
[00:03:30.000 --> 00:03:31.000]   >> It's kind of --
[00:03:31.000 --> 00:03:32.000]   >> With your crazy hackers.
[00:03:32.000 --> 00:03:33.000]   >> Kind of kind of weird.
[00:03:33.000 --> 00:03:34.000]   I love Morgan.
[00:03:34.000 --> 00:03:36.000]   She's a great person.
[00:03:36.000 --> 00:03:40.000]   We are getting redirected to voicemail now with Mike.
[00:03:40.000 --> 00:03:42.000]   >> Well, he'll get back.
[00:03:42.000 --> 00:03:44.000]   He's obviously lost his connection.
[00:03:44.000 --> 00:03:45.000]   >> Clearly.
[00:03:45.000 --> 00:03:47.000]   >> So let's look at this week's news.
[00:03:47.000 --> 00:03:50.000]   >> Well, there's really one story and one story only.
[00:03:50.000 --> 00:03:54.000]   And in fact, Steve Jobs did a particularly crappy job of managing
[00:03:54.000 --> 00:03:55.000]   the news this week.
[00:03:55.000 --> 00:03:57.000]   Wednesday, Apple had his big announcement.
[00:03:57.000 --> 00:03:58.000]   New iPods.
[00:03:58.000 --> 00:03:59.000]   I mean, this is a big story.
[00:03:59.000 --> 00:04:02.000]   The iPod Touch, which everybody wanted an iPhone without the
[00:04:02.000 --> 00:04:08.000]   phone, they announced 160 gigabyte iPod Classic and a whole
[00:04:08.000 --> 00:04:09.000]   line of new NANOs.
[00:04:09.000 --> 00:04:11.000]   Yeah, it's those short, squatty ones.
[00:04:11.000 --> 00:04:14.000]   Although when you see them in person, it kind of makes sense
[00:04:14.000 --> 00:04:17.000]   because it had to have that big screen because it plays video.
[00:04:17.000 --> 00:04:19.000]   $150 video player.
[00:04:19.000 --> 00:04:23.000]   And all of this great, important news for Apple was completely
[00:04:23.000 --> 00:04:25.000]   overshadowed by the fact that he decided to cut $200 off the
[00:04:25.000 --> 00:04:27.000]   price of the iPhone.
[00:04:27.000 --> 00:04:32.000]   And every newspaper, every TV pundit, every talk show punnest
[00:04:32.000 --> 00:04:35.000]   going on and on about Steve Jobs and all the Apple fans upset,
[00:04:35.000 --> 00:04:37.000]   is it a big deal?
[00:04:37.000 --> 00:04:38.000]   What happened here, John?
[00:04:38.000 --> 00:04:42.000]   John, you mean the fact that he cut the price just to prove that
[00:04:42.000 --> 00:04:45.000]   there are more suckers in the world than he even knew about it?
[00:04:45.000 --> 00:04:47.000]   I don't think he was trying to prove that.
[00:04:47.000 --> 00:04:49.000]   I thought, I'm sure that's the only reason he would do that
[00:04:49.000 --> 00:04:53.000]   because let's face it, this price cut came way, I mean,
[00:04:53.000 --> 00:04:54.000]   came way too soon.
[00:04:54.000 --> 00:04:55.000]   It came like, what?
[00:04:55.000 --> 00:04:56.000]   Two months.
