;FFMETADATA1
album=TWiT November 2007
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/121
genre=Podcast
title=TWiT 121: Welcome to the Facebook Social
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:13:38.188"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="10972"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT November 2007
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/121
genre=Podcast
title=TWiT 121: Welcome to the Facebook Social
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:13:38.188"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="10972"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   >> This is Twit, this weekend tech, episode 121,
[00:00:31.000 --> 00:00:34.000]   for November 12, 2007.
[00:00:34.000 --> 00:00:37.000]   Welcome to the Facebook Social.
[00:00:37.000 --> 00:00:40.000]   This weekend tech is brought to you by Audible.com.
[00:00:40.000 --> 00:00:44.000]   For your free audio book, visit audible.com/twit.
[00:00:44.000 --> 00:00:48.000]   And by listeners like you, thanks for your donations.
[00:00:48.000 --> 00:00:53.000]   [ Music ]
[00:00:53.000 --> 00:00:57.000]   >> This is Twit, episode 121, and I think a really great panel.
[00:00:57.000 --> 00:01:00.000]   We have some real smart people today.
[00:01:00.000 --> 00:01:02.000]   John C. Dvorak cannot be here.
[00:01:02.000 --> 00:01:04.000]   He is acting as the minister.
[00:01:04.000 --> 00:01:07.000]   He is marrying his stepson today.
[00:01:07.000 --> 00:01:11.000]   And apparently he has one of those paper licenses that allow--
[00:01:11.000 --> 00:01:13.000]   I have one too, allows you to marry people.
[00:01:13.000 --> 00:01:16.000]   He is a member of the Universal Life Church, a pastor.
[00:01:16.000 --> 00:01:19.000]   So Reverend Dvorak will be out.
[00:01:19.000 --> 00:01:22.000]   It's possible, a possible, a practical to stop by.
[00:01:22.000 --> 00:01:24.000]   He said he would.
[00:01:24.000 --> 00:01:27.000]   He, of course, has a new baby and is a little busy.
[00:01:27.000 --> 00:01:30.000]   And we'll just leave it-- like Elijah, we leave a place at the table
[00:01:30.000 --> 00:01:31.000]   for Patrick.
[00:01:31.000 --> 00:01:33.000]   You never know what's going to happen.
[00:01:33.000 --> 00:01:36.000]   But we do have the kid from Brooklyn, Jason Callicannis.
[00:01:36.000 --> 00:01:38.000]   >> This is the kid from Brooklyn.
[00:01:38.000 --> 00:01:39.000]   >> The kid from Brooklyn.
[00:01:39.000 --> 00:01:40.000]   >> He's Mr. Mahalo.
[00:01:40.000 --> 00:01:42.000]   And by the way, we had Veronica on last week,
[00:01:42.000 --> 00:01:44.000]   and I've been loved-- you launched Mahalo Daily,
[00:01:44.000 --> 00:01:45.000]   and I love it.
[00:01:45.000 --> 00:01:46.000]   She's great.
[00:01:46.000 --> 00:01:49.000]   >> I wish I could take, you know, like 1% of the credit,
[00:01:49.000 --> 00:01:52.000]   but we have an incredible producer named Tyler,
[00:01:52.000 --> 00:01:55.000]   and we have an incredibly talented host,
[00:01:55.000 --> 00:01:57.000]   so I am drafting on their success.
[00:01:57.000 --> 00:01:58.000]   >> No, you're well.
[00:01:58.000 --> 00:02:00.000]   Yeah, you had the good sense to bring him in.
[00:02:00.000 --> 00:02:01.000]   >> I pay for the meals.
[00:02:01.000 --> 00:02:03.000]   Crash services is my title.
[00:02:03.000 --> 00:02:04.000]   >> That's okay.
[00:02:04.000 --> 00:02:06.000]   You know, that's a useful thing to have.
[00:02:06.000 --> 00:02:08.000]   It's always good to have somebody to pay for the meals.
[00:02:08.000 --> 00:02:09.000]   >> Absolutely.
[00:02:09.000 --> 00:02:11.000]   >> Also with us, Jerry Pournell, ladies and gentlemen,
[00:02:11.000 --> 00:02:13.000]   Mr. Chaos Manor.
[00:02:13.000 --> 00:02:14.000]   Love Jerry.
[00:02:14.000 --> 00:02:18.000]   His work in Bite Magazine for many years made me a better geek.
[00:02:18.000 --> 00:02:23.000]   And he still writes from Chaos Manor online at JerryPournell.com,
[00:02:23.000 --> 00:02:25.000]   and we love having him on Twitch.
[00:02:25.000 --> 00:02:27.000]   It's good to see you again, Jerry.
[00:02:27.000 --> 00:02:28.000]   >> Thank you.
[00:02:28.000 --> 00:02:30.000]   >> And celebrating with his new iPhone,
[00:02:30.000 --> 00:02:34.000]   legally purchased this time from Oxford, England, Will Harris.
[00:02:34.000 --> 00:02:36.000]   >> Yes, and who?
[00:02:36.000 --> 00:02:37.000]   >> Hey, Will.
[00:02:37.000 --> 00:02:39.000]   So did you go, did you get in line?
[00:02:39.000 --> 00:02:40.000]   >> No, you know what?
[00:02:40.000 --> 00:02:44.000]   There just weren't any cues, really, at all.
[00:02:44.000 --> 00:02:47.000]   It was actually kind of unfortunate that I had to get one,
[00:02:47.000 --> 00:02:51.000]   because actually the one that I had from the States I broke last week.
[00:02:51.000 --> 00:02:55.000]   You know how you just drop it, and suddenly the screen smashes.
[00:02:55.000 --> 00:02:59.000]   >> I was trying to prove that British people are more intelligent than Americans.
[00:02:59.000 --> 00:03:02.000]   They did not queue for the iPhone.
[00:03:02.000 --> 00:03:05.000]   >> No, it was just a big letdown.
[00:03:05.000 --> 00:03:09.000]   If you read some of the reports, it seems like the Apple Store was basically full of press,
[00:03:09.000 --> 00:03:12.000]   and then one guy outside.
[00:03:12.000 --> 00:03:14.000]   >> Was it just that?
[00:03:14.000 --> 00:03:19.000]   >> We're not used to paying for a phone and paying for a contract.
[00:03:19.000 --> 00:03:22.000]   It's like you pay for the phone, you don't get a contract,
[00:03:22.000 --> 00:03:24.000]   or you pay for the contract, you get the phone free.
[00:03:24.000 --> 00:03:28.000]   The idea of paying for a contract and paying like 300 pounds for a phone
[00:03:28.000 --> 00:03:31.000]   is completely alien to 90% of the British population.
[00:03:31.000 --> 00:03:33.000]   >> Is that how much it was, 300 pounds?
[00:03:33.000 --> 00:03:34.000]   >> Yeah, it's 270.
[00:03:34.000 --> 00:03:36.000]   >> It's expensive.
[00:03:36.000 --> 00:03:40.000]   >> Yeah, it was 540 in dollars, which obviously is a little more expensive.
[00:03:40.000 --> 00:03:42.000]   >> A little more interest in Germany, though.
[00:03:42.000 --> 00:03:44.000]   It says there were some lines.
[00:03:44.000 --> 00:03:46.000]   >> Yeah, T-Mobile says.
[00:03:46.000 --> 00:03:48.000]   [LAUGHTER]
[00:03:48.000 --> 00:03:51.000]   >> I think it's interesting how the iPhone is taken back.
[00:03:51.000 --> 00:03:54.000]   See, now that Google, this is the week Google announced Android,
[00:03:54.000 --> 00:03:57.000]   it's a telephone operating system.
[00:03:57.000 --> 00:03:59.000]   I think there's a lot of eyes now.
[00:03:59.000 --> 00:04:00.000]   We've moved on, haven't we?
[00:04:00.000 --> 00:04:02.000]   We're looking at the next big thing.
[00:04:02.000 --> 00:04:05.000]   >> But don't you think Android, this whole thing,
[00:04:05.000 --> 00:04:08.000]   wasn't it just a complete letdown?
[00:04:08.000 --> 00:04:10.000]   I mean, for months and months and months,
[00:04:10.000 --> 00:04:13.000]   I mean, Google phone, I'm going to have all these awesome Google things.
[00:04:13.000 --> 00:04:17.000]   An actual fact, A, you're not going to get anything until the second half of 2008.
[00:04:17.000 --> 00:04:21.000]   And B, you're still reliant on the handset designs from third parties
[00:04:21.000 --> 00:04:25.000]   who have consistently shown that they can't design anything,
[00:04:25.000 --> 00:04:28.000]   at least in hardware terms, match Apple.
[00:04:28.000 --> 00:04:31.000]   And I think most people are thinking, like, if anybody can outbeat Apple,
[00:04:31.000 --> 00:04:34.000]   it's Google, but Google is basically like, you know,
[00:04:34.000 --> 00:04:36.000]   passed on the whole thing to the third party.
[00:04:36.000 --> 00:04:37.000]   It just seems a bit of a letdown.
[00:04:37.000 --> 00:04:38.000]   >> HTC might just say.
[00:04:38.000 --> 00:04:40.000]   >> I wondered about that myself.
[00:04:40.000 --> 00:04:44.000]   Are there any third party designers out there who are making phones
[00:04:44.000 --> 00:04:46.000]   that you actually want to use?
[00:04:46.000 --> 00:04:47.000]   >> I like HTC's phones.
[00:04:47.000 --> 00:04:49.000]   They do the tilt for AT&T.
[00:04:49.000 --> 00:04:50.000]   They do --
[00:04:50.000 --> 00:04:52.000]   >> Well, the Helio is a great phone.
[00:04:52.000 --> 00:04:56.000]   I mean, people -- I was playing poker last night with these, like, young celebrities in Hollywood
[00:04:56.000 --> 00:04:59.000]   and a third of them had Helios, and they loved them.
[00:04:59.000 --> 00:05:01.000]   >> I saw you were on Twitter down 400 bucks.
[00:05:01.000 --> 00:05:02.000]   Did you come back?
[00:05:02.000 --> 00:05:03.000]   >> I got brutalized.
[00:05:03.000 --> 00:05:06.000]   >> Pocket aces, beat you, too, Pear.
[00:05:06.000 --> 00:05:10.000]   >> I have pocket aces, and, like, this kid is betting, this kid from, like,
[00:05:10.000 --> 00:05:15.000]   one of these TV shows on Fox is betting, like, $100 out of $5 by an --
