;FFMETADATA1
album=TWiT December 2007
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/126
genre=Podcast
title=TWiT 126: The Q.E. Tube
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="53:45.000"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="8009"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT December 2007
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/126
genre=Podcast
title=TWiT 126: The Q.E. Tube
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="53:45.000"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="8009"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:30.000]   >> This is Twit, this weekend tech.
[00:00:30.000 --> 00:00:34.000]   Episode 126 on December 24th, 2007.
[00:00:34.000 --> 00:00:37.000]   The QE Tube.
[00:00:37.000 --> 00:00:40.000]   This weekend tech is brought to you by Audible.com.
[00:00:40.000 --> 00:00:44.000]   For your free audio book, visit Audible.com/Twit.
[00:00:44.000 --> 00:00:49.000]   And by listeners like you, thanks for your donations.
[00:00:49.000 --> 00:00:53.000]   [ Music ]
[00:00:53.000 --> 00:00:55.000]   It's time for Twit and on the panel,
[00:00:55.000 --> 00:00:58.000]   ladies and gentlemen, for the first time in a long time.
[00:00:58.000 --> 00:01:01.000]   Roger, Yahwei, Chang.
[00:01:01.000 --> 00:01:02.000]   Hello, Roger.
[00:01:02.000 --> 00:01:03.000]   >> Hello, Leo.
[00:01:03.000 --> 00:01:04.000]   Hello, everyone.
[00:01:04.000 --> 00:01:06.000]   I saw Devorek this past week, so.
[00:01:06.000 --> 00:01:08.000]   >> From Modesto, California.
[00:01:08.000 --> 00:01:09.000]   >> Yes.
[00:01:09.000 --> 00:01:10.000]   >> You've defected.
[00:01:10.000 --> 00:01:13.000]   You've gone over to the white, the light side.
[00:01:13.000 --> 00:01:14.000]   >> The white side.
[00:01:14.000 --> 00:01:15.000]   That's a very --
[00:01:15.000 --> 00:01:16.000]   >> Not the white side.
[00:01:16.000 --> 00:01:17.000]   That was a mistake.
[00:01:17.000 --> 00:01:18.000]   The light side.
[00:01:18.000 --> 00:01:20.000]   I'll ask you about that in a second.
[00:01:20.000 --> 00:01:22.000]   He's on the line from Modesto.
[00:01:22.000 --> 00:01:23.000]   He's sitting on the bed.
[00:01:23.000 --> 00:01:24.000]   His childhood bed.
[00:01:24.000 --> 00:01:26.000]   The bed he grew up on.
[00:01:26.000 --> 00:01:29.000]   You call that the burning bed, right?
[00:01:29.000 --> 00:01:30.000]   >> No.
[00:01:30.000 --> 00:01:32.000]   >> No, but I guess I could if I --
[00:01:32.000 --> 00:01:33.000]   >> No.
[00:01:33.000 --> 00:01:34.000]   Also here, Don Reisinger.
[00:01:34.000 --> 00:01:36.000]   Hey, Don, from CNET.
[00:01:36.000 --> 00:01:37.000]   >> Hey, Leo.
[00:01:37.000 --> 00:01:38.000]   >> Mr. Digital Home.
[00:01:38.000 --> 00:01:41.000]   He's got his own URL now.
[00:01:41.000 --> 00:01:43.000]   CNET.com/digitalhome.
[00:01:43.000 --> 00:01:44.000]   Is that right?
[00:01:44.000 --> 00:01:45.000]   >> No, no.
[00:01:45.000 --> 00:01:49.000]   It's the digitalhome.cNET.com.
[00:01:49.000 --> 00:01:50.000]   >> Oh, of course.
[00:01:50.000 --> 00:01:51.000]   What was I thinking?
[00:01:51.000 --> 00:01:52.000]   >> What are you doing, Leo?
[00:01:52.000 --> 00:01:53.000]   >> What am I not?
[00:01:53.000 --> 00:01:55.000]   >> The digitalhome.cNET.com.
[00:01:55.000 --> 00:01:57.000]   >> Yeah, make sure that he's in there, too.
[00:01:57.000 --> 00:01:59.000]   >> Yeah, because otherwise you get a digital home.
[00:01:59.000 --> 00:02:00.000]   >> Yeah, something like that.
[00:02:00.000 --> 00:02:03.000]   >> We want the digital home.
[00:02:03.000 --> 00:02:08.000]   And also here, johncdevorak.org/blog.
[00:02:08.000 --> 00:02:09.000]   Hello, John.
[00:02:09.000 --> 00:02:10.000]   >> Hey there.
[00:02:10.000 --> 00:02:11.000]   >> How are you?
[00:02:11.000 --> 00:02:12.000]   Got his almonds?
[00:02:12.000 --> 00:02:14.000]   >> So apparently, macadamia nuts are good for you.
[00:02:14.000 --> 00:02:15.000]   That's what they're telling you.
[00:02:15.000 --> 00:02:18.000]   >> I'm getting so much email because I gave you a hard time
[00:02:18.000 --> 00:02:20.000]   for eating -- what were you eating?
[00:02:20.000 --> 00:02:22.000]   You're eating macadamia nuts and --
[00:02:22.000 --> 00:02:23.000]   >> Cashews.
[00:02:23.000 --> 00:02:24.000]   >> Cashews.
[00:02:24.000 --> 00:02:25.000]   The two best nuts.
[00:02:25.000 --> 00:02:27.000]   I wasn't saying they weren't flavorful.
[00:02:27.000 --> 00:02:29.000]   >> No, they are the best.
[00:02:29.000 --> 00:02:31.000]   >> Because they're the fattiest.
[00:02:31.000 --> 00:02:32.000]   >> Well, maybe.
[00:02:32.000 --> 00:02:34.000]   >> I mean, thinks they're not good for you.
[00:02:34.000 --> 00:02:35.000]   Hello?
[00:02:35.000 --> 00:02:38.000]   >> Well, you know the weird thing about cashews and, you know,
[00:02:38.000 --> 00:02:40.000]   in Brazil, they grow cashews.
[00:02:40.000 --> 00:02:41.000]   >> Right.
[00:02:41.000 --> 00:02:42.000]   >> Cashews are fruit.
[00:02:42.000 --> 00:02:43.000]   >> Yeah, it's a fruit.
[00:02:43.000 --> 00:02:45.000]   And it's a big -- it's a weird kind of a nut because it's --
[00:02:45.000 --> 00:02:48.000]   the seed is outside of the fruit.
[00:02:48.000 --> 00:02:51.000]   It actually hangs from the bottom of the fruit itself.
[00:02:51.000 --> 00:02:53.000]   It's a weird looking thing.
[00:02:53.000 --> 00:02:55.000]   And it's a mutated apple.
[00:02:55.000 --> 00:02:58.000]   >> And it actually does look like that.
[00:02:58.000 --> 00:03:02.000]   And the juice of the cashew, which is called the cashew,
[00:03:02.000 --> 00:03:05.000]   which is also drunk mixed with a bunch of --
[00:03:05.000 --> 00:03:06.000]   >> Casagia.
[00:03:06.000 --> 00:03:08.000]   >> I know stuff.
[00:03:08.000 --> 00:03:11.000]   Is the -- is the juice from one of the fruits,
[00:03:11.000 --> 00:03:15.000]   if it gets on you, it literally turns your skin black.
[00:03:15.000 --> 00:03:16.000]   >> Oh, great.
[00:03:16.000 --> 00:03:17.000]   >> And you can't wash it.
[00:03:17.000 --> 00:03:20.000]   It creates permanent stains on anything made out of protein.
[00:03:20.000 --> 00:03:21.000]   >> Really?
[00:03:21.000 --> 00:03:22.000]   >> So if you get some on your shirt --
[00:03:22.000 --> 00:03:23.000]   >> Permanent?
[00:03:23.000 --> 00:03:24.000]   >> -- with a cotton --
[00:03:24.000 --> 00:03:27.000]   >> So I mean on your skin eventually will slough it off when you get used to.
[00:03:27.000 --> 00:03:29.000]   >> Yeah, no, it's like a temporary tattoo.
[00:03:29.000 --> 00:03:31.000]   You know, it comes off eventually.
[00:03:31.000 --> 00:03:32.000]   >> Ooh.
[00:03:32.000 --> 00:03:33.000]   >> Hey.
[00:03:33.000 --> 00:03:34.000]   >> That's a good idea.
[00:03:34.000 --> 00:03:36.000]   >> Cashew tattoo.
[00:03:36.000 --> 00:03:38.000]   That could be a business, Roger Chang.
[00:03:38.000 --> 00:03:39.000]   >> Yes.
[00:03:39.000 --> 00:03:40.000]   >> It has nasty, though.
[00:03:40.000 --> 00:03:42.000]   It's like anything it gets on it, it stains it permanently.
[00:03:42.000 --> 00:03:43.000]   >> Who needs Henna?
[00:03:43.000 --> 00:03:44.000]   We've got cashew.
[00:03:44.000 --> 00:03:46.000]   >> Cashew tattoo.
[00:03:46.000 --> 00:03:50.000]   I'm thinking a franchise nationwide, Roger, you and me?
[00:03:50.000 --> 00:03:51.000]   >> Sure.
[00:03:51.000 --> 00:03:53.000]   >> Will be the cashew tattoo twins.
[00:03:53.000 --> 00:03:59.000]   >> I visited -- I was in Brazil and I visited something like a 10-acre cashew grove.
[00:03:59.000 --> 00:04:01.000]   That was one tree.
[00:04:01.000 --> 00:04:02.000]   >> What?
[00:04:02.000 --> 00:04:04.000]   >> It's a weird tree.
[00:04:04.000 --> 00:04:09.000]   The way it propagates is it gets really big and then the branches -- you get so heavy,
[00:04:09.000 --> 00:04:11.000]   they fall into the ground and they reroute.
[00:04:11.000 --> 00:04:12.000]   >> Wow.
[00:04:12.000 --> 00:04:14.000]   >> And so the whole thing just keeps getting bigger and bigger.
[00:04:14.000 --> 00:04:15.000]   >> But it's not that all.
[00:04:15.000 --> 00:04:16.000]   It's still attached.
[00:04:16.000 --> 00:04:17.000]   >> Yeah.
[00:04:17.000 --> 00:04:18.000]   Yeah, they are, actually.
[00:04:18.000 --> 00:04:19.000]   >> Wow.
[00:04:19.000 --> 00:04:25.000]   >> So if you go into the forest, you can keep going to get to the mother tree in the middle,
