;FFMETADATA1
album=TWiT April 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/140
genre=Podcast
title=TWiT 140: Loaded with Spam and Hookers
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:54:07.834"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="17006"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT April 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/140
genre=Podcast
title=TWiT 140: Loaded with Spam and Hookers
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:54:07.834"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="17006"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:34.000]   >> This is Twit. This weekend tech, episode 140, for April 28, 2008.
[00:00:34.000 --> 00:00:37.000]   Loaded with spam and hookers.
[00:00:37.000 --> 00:00:41.000]   This weekend tech is brought to you by Audible@audiblekids.com.
[00:00:41.000 --> 00:00:45.000]   For your free Audible book visit audible.com/twit.
[00:00:45.000 --> 00:00:51.000]   And whether you're a member or not, for free kids books, visit audiblekids.com/twit.
[00:00:51.000 --> 00:00:54.000]   And by listeners like you.
[00:00:54.000 --> 00:00:57.000]   Thanks for your donations.
[00:00:57.000 --> 00:01:02.000]   >> This is Twit, episode 140 on the line with me right now.
[00:01:02.000 --> 00:01:05.000]   JohnC.org/blog.
[00:01:05.000 --> 00:01:06.000]   >> From the Blogosphere.
[00:01:06.000 --> 00:01:07.000]   Are you tired today?
[00:01:07.000 --> 00:01:08.000]   Because you already did no agenda.
[00:01:08.000 --> 00:01:10.000]   I know.
[00:01:10.000 --> 00:01:11.000]   >> Yeah, I did.
[00:01:11.000 --> 00:01:13.000]   And you should mention them also now at Twitter,
[00:01:13.000 --> 00:01:16.000]   not ball like the rest of you jerk-offs.
[00:01:16.000 --> 00:01:17.000]   Really?
[00:01:17.000 --> 00:01:18.000]   >> That's right.
[00:01:18.000 --> 00:01:19.000]   >> Those are the two words that go together.
[00:01:19.000 --> 00:01:21.000]   My opinion, jerk-off and Twitter.
[00:01:21.000 --> 00:01:23.000]   I mean, I think that's a --
[00:01:23.000 --> 00:01:24.000]   >> But I like it.
[00:01:24.000 --> 00:01:25.000]   That's the weird thing about it.
[00:01:25.000 --> 00:01:27.000]   I'm another jerk-off.
[00:01:27.000 --> 00:01:33.000]   So, no, it's a valuable tool in my arsenal.
[00:01:33.000 --> 00:01:35.000]   >> And your arsenal?
[00:01:35.000 --> 00:01:38.000]   >> The real Devorak, by the way, is the name, plug it in.
[00:01:38.000 --> 00:01:41.000]   >> Here's another fellow who's actually coming on strong on Twitter.
[00:01:41.000 --> 00:01:43.000]   He hardly used it at all for a while.
[00:01:43.000 --> 00:01:51.000]   And now he's number five with almost 20,000 users weighing in at 112 pounds in the red shorts, Mr. Kevin Rose.
[00:01:51.000 --> 00:01:52.000]   >> Hello, hello.
[00:01:52.000 --> 00:01:54.000]   >> Haven't seen you in so long.
[00:01:54.000 --> 00:01:55.000]   >> Never.
[00:01:55.000 --> 00:01:57.000]   I'm no longer 120 pounds.
[00:01:57.000 --> 00:01:59.000]   >> He used to be.
[00:01:59.000 --> 00:02:00.000]   >> That's true.
[00:02:00.000 --> 00:02:01.000]   >> He's the dig man.
[00:02:01.000 --> 00:02:02.000]   Now you climb in rocks a lot.
[00:02:02.000 --> 00:02:05.000]   I see you're always admission the cliffs.
[00:02:05.000 --> 00:02:06.000]   >> I love mission cliffs.
[00:02:06.000 --> 00:02:08.000]   It's probably the best climbing gym in San Francisco.
[00:02:08.000 --> 00:02:10.000]   >> My -- >> Another one up soon.
[00:02:10.000 --> 00:02:14.000]   >> My daughter who follows you on Twitter is also a rock climber.
[00:02:14.000 --> 00:02:15.000]   Really loves it.
[00:02:15.000 --> 00:02:16.000]   >> Awesome.
[00:02:16.000 --> 00:02:17.000]   >> Yeah, and she says, "Where does he go?
[00:02:17.000 --> 00:02:18.000]   Where does he go?"
[00:02:18.000 --> 00:02:20.000]   And I said, "I think it's mission cliffs because that's where you were going when --
[00:02:20.000 --> 00:02:22.000]   It's right near tech TV."
[00:02:22.000 --> 00:02:25.000]   >> Yeah, it's like a couple of walks away right there in the intermission.
[00:02:25.000 --> 00:02:26.000]   >> That's where you're going.
[00:02:26.000 --> 00:02:27.000]   >> It's where you're going.
[00:02:27.000 --> 00:02:28.000]   >> So what happened?
[00:02:28.000 --> 00:02:30.000]   Because -- okay, look, this is not going to be the Twitter show.
[00:02:30.000 --> 00:02:33.000]   I know everybody hates it when we talk about Twitter, so we're going to get it out of the
[00:02:33.000 --> 00:02:34.000]   way right now.
[00:02:34.000 --> 00:02:35.000]   There are a couple of Twitter stories.
[00:02:35.000 --> 00:02:40.000]   But I think a big story because, Kevin, you're a principal at Pounce, which is a Twitter
[00:02:40.000 --> 00:02:42.000]   competitor, but all of a sudden you started posting on Twitter.
[00:02:42.000 --> 00:02:46.000]   And as soon as people notice that you're coming on strong, you will be number one on
[00:02:46.000 --> 00:02:48.000]   Twitter at this rate in just a month or so.
[00:02:48.000 --> 00:02:50.000]   I mean, you're really moving up at charts.
[00:02:50.000 --> 00:02:52.000]   Actually, so is John for that, Matt, or John?
[00:02:52.000 --> 00:02:54.000]   You got like five or six thousand, right?
[00:02:54.000 --> 00:02:59.000]   >> No, no, I've got ten thousand four hundred and I've only been doing it for 20 days.
[00:02:59.000 --> 00:03:01.000]   >> And Kevin's got almost 20,000.
[00:03:01.000 --> 00:03:03.000]   >> It's insane.
[00:03:03.000 --> 00:03:06.000]   I think he's got me up, but he's been on it longer than 20 days.
[00:03:06.000 --> 00:03:08.000]   >> Yeah, but he didn't post it all.
[00:03:08.000 --> 00:03:10.000]   You posted once a month for a long time.
[00:03:10.000 --> 00:03:11.000]   >> No, he's got a bunch of you.
[00:03:11.000 --> 00:03:13.000]   But he's a young, good-looking guy who's worth millions.
[00:03:13.000 --> 00:03:17.000]   I'm just a schmuck old man that's trying to make -- he got a living.
[00:03:17.000 --> 00:03:19.000]   [laughter]
[00:03:19.000 --> 00:03:22.000]   >> Why did you start posting all of a sudden, Kevin?
[00:03:22.000 --> 00:03:27.000]   >> Well, I use it for different reasons than how I use Pounce.
[00:03:27.000 --> 00:03:31.000]   With Twitter, it's more like, you know, if I'm on the go, if I'm out and about, around the city,
[00:03:31.000 --> 00:03:35.000]   it's a great way to send out a blast message to a bunch of people.
[00:03:35.000 --> 00:03:39.000]   I was out with the wine guy, Gary Vaynerchuk, here a couple of weeks ago.
[00:03:39.000 --> 00:03:41.000]   >> Gary really uses it like crazy.
[00:03:41.000 --> 00:03:43.000]   >> Have you had him on the show yet?
[00:03:43.000 --> 00:03:44.000]   >> No, I haven't.
[00:03:44.000 --> 00:03:46.000]   >> Oh, you totally have to have him on the show.
[00:03:46.000 --> 00:03:47.000]   He's a tech head as well.
[00:03:47.000 --> 00:03:48.000]   >> Yeah.
[00:03:48.000 --> 00:03:53.000]   No, he's really proven the power of podcasting, boy.
[00:03:53.000 --> 00:03:55.000]   >> Yeah, it's been nuts.
[00:03:55.000 --> 00:03:56.000]   He's been blown up.
[00:03:56.000 --> 00:03:59.000]   But, yeah, we were out and about, and we sent out a couple of messages on Twitter saying,
[00:03:59.000 --> 00:04:02.000]   "Hey, we're going to do a little wine tasting thing, meet up here."
[00:04:02.000 --> 00:04:06.000]   And then all of a sudden, you know, we had a couple hundred people meet up in just an hour or two.
[00:04:06.000 --> 00:04:07.000]   >> Wow.
[00:04:07.000 --> 00:04:08.000]   It's amazing.
[00:04:08.000 --> 00:04:09.000]   The power of it is really mind-blowing.
[00:04:09.000 --> 00:04:10.000]   >> You're buying wine?
[00:04:10.000 --> 00:04:12.000]   I have some wine, yes.
[00:04:12.000 --> 00:04:13.000]   >> You're 21?
[00:04:13.000 --> 00:04:14.000]   >> Sure.
[00:04:14.000 --> 00:04:18.000]   >> 31, 31.
[00:04:18.000 --> 00:04:20.000]   >> You know, John's an Ina file as well.
[00:04:20.000 --> 00:04:22.000]   He really loves his Ina's.
[00:04:22.000 --> 00:04:25.000]   I mean, his wine.
[00:04:25.000 --> 00:04:26.000]   >> So collector.
[00:04:26.000 --> 00:04:27.000]   >> You're a collector?
[00:04:27.000 --> 00:04:28.000]   Really?
[00:04:28.000 --> 00:04:29.000]   Do you have a seller?
[00:04:29.000 --> 00:04:30.000]   >> Of course.
[00:04:30.000 --> 00:04:32.000]   >> Got a seller for decades.
[00:04:32.000 --> 00:04:36.000]   >> What are you most excited about in your seller right now?
[00:04:36.000 --> 00:04:37.000]   >> I collect the Bordeaux mostly.
[00:04:37.000 --> 00:04:39.000]   I have some burgundy's, but I'm not a burgundy guy.
[00:04:39.000 --> 00:04:40.000]   I can't afford it.
[00:04:40.000 --> 00:04:43.000]   I'm just trying to eat God of living.
