;FFMETADATA1
album=TWiT September 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/159
genre=Podcast
title=TWiT 159: That's Not My Churro
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:34:57.902"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14150"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">X\\xc3\\x99)</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT September 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/159
genre=Podcast
title=TWiT 159: That's Not My Churro
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:34:57.902"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14150"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">X\\xc3\\x99)</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:30.000]   This is Twit. This weekend tech.
[00:00:30.000 --> 00:00:33.000]   Episode 159 for September 8th, 2008.
[00:00:33.000 --> 00:00:35.000]   That's not my churro.
[00:00:35.000 --> 00:00:37.000]   [ Music ]
[00:00:37.000 --> 00:00:40.000]   This weekend tech is brought to you by Audible.com.
[00:00:40.000 --> 00:00:43.000]   Sign up for the Platinum Plan and get two free books.
[00:00:43.000 --> 00:00:48.000]   Go to Audible.com/Twit2.
[00:00:48.000 --> 00:00:52.000]   And by Gobi, the global mobile internet from Qualcomm.
[00:00:52.000 --> 00:00:56.000]   Gobi-powered notebooks are now available from leading notebook manufacturers.
[00:00:56.000 --> 00:01:02.000]   Go to gobianywhere.com/products to find the Gobi notebook that's right for you.
[00:01:02.000 --> 00:01:06.000]   And by Visa.
[00:01:06.000 --> 00:01:11.000]   With every purchase Visa prevents, detects, and resolves online fraud.
[00:01:11.000 --> 00:01:14.000]   Safe, secure, Visa.
[00:01:14.000 --> 00:01:19.000]   [ Music ]
[00:01:19.000 --> 00:01:21.000]   It's time for Twit.
[00:01:21.000 --> 00:01:26.000]   [ Music ]
[00:01:26.000 --> 00:01:29.000]   On the show today.
[00:01:29.000 --> 00:01:31.000]   He's about a year old, right Patrick?
[00:01:31.000 --> 00:01:32.000]   11 months.
[00:01:32.000 --> 00:01:33.000]   11 months.
[00:01:33.000 --> 00:01:35.000]   He's the cutest baby in the world.
[00:01:35.000 --> 00:01:37.000]   Ladies and gentlemen say hi to Sheamus Norton.
[00:01:37.000 --> 00:01:39.000]   Which has a great name by the way.
[00:01:39.000 --> 00:01:40.000]   Thank you.
[00:01:40.000 --> 00:01:42.000]   What's his middle name?
[00:01:42.000 --> 00:01:43.000]   Well, we'll talk about that some other time.
[00:01:43.000 --> 00:01:44.000]   Oh, it's a secret?
[00:01:44.000 --> 00:01:45.000]   Okay.
[00:01:45.000 --> 00:01:47.000]   No, actually I've been reading some interesting stories about identity theft
[00:01:47.000 --> 00:01:49.000]   and people are going up already.
[00:01:49.000 --> 00:01:51.000]   It's a good point.
[00:01:51.000 --> 00:01:52.000]   We don't know exactly when he was born.
[00:01:52.000 --> 00:01:54.000]   He is wearing a spore t-shirt, which I like.
[00:01:54.000 --> 00:01:56.000]   That's very attractive.
[00:01:56.000 --> 00:01:59.000]   Patrick Norton is also here in studio with us, which is great because he brought the baby.
[00:01:59.000 --> 00:02:01.000]   So it's nice to see him.
[00:02:01.000 --> 00:02:05.000]   And little Sheamus is going to be a good boy during this boring conversation.
[00:02:05.000 --> 00:02:06.000]   Aren't you?
[00:02:06.000 --> 00:02:07.000]   He's like, I'm going to start chewing on cables.
[00:02:07.000 --> 00:02:08.000]   Yes, you are.
[00:02:08.000 --> 00:02:12.000]   There's good tasting cables just like licorice just all over the place you can have those.
[00:02:12.000 --> 00:02:13.000]   Don't encourage.
[00:02:13.000 --> 00:02:18.000]   Also, John C. de Vorac is here via Skype from his home overlooking the racetrack.
[00:02:18.000 --> 00:02:20.000]   A beautiful Albany, California.
[00:02:20.000 --> 00:02:28.000]   In fact, if you listen carefully, I think you can hear the bugle call for the fourth race at Bay Meadows.
[00:02:28.000 --> 00:02:30.000]   Hey, hey, Mr. D'Orac.
[00:02:30.000 --> 00:02:33.000]   D'Orac.org/blog.
[00:02:33.000 --> 00:02:37.000]   And there are a bunch of drunks who are very happy right now.
[00:02:37.000 --> 00:02:39.000]   Also with this, and I'm really thrilled to have him, Mr. Patrick.
[00:02:39.000 --> 00:02:41.000]   I'm sorry, Mr. Ryan.
[00:02:41.000 --> 00:02:43.000]   Well, Ryan and Patrick seem to go together.
[00:02:43.000 --> 00:02:44.000]   I don't know what this is.
[00:02:44.000 --> 00:02:46.000]   We've got a bunch of Irish people here.
[00:02:46.000 --> 00:02:49.000]   Ryan Block, formerly of Engadget.
[00:02:49.000 --> 00:02:54.000]   And now with a new enterprise, and we're really excited and I'm sure he's going to tell us all about it.
[00:02:54.000 --> 00:02:56.000]   Hey, Ryan, it's great to have you back.
[00:02:56.000 --> 00:02:57.000]   Thanks, Matt.
[00:02:57.000 --> 00:02:58.000]   Could be back.
[00:02:58.000 --> 00:03:00.000]   So you're like the number one, what are you?
[00:03:00.000 --> 00:03:01.000]   Number five?
[00:03:01.000 --> 00:03:04.000]   Number one technology podcast, number five on iTunes.
[00:03:04.000 --> 00:03:06.000]   Pretty impressive.
[00:03:06.000 --> 00:03:10.000]   Yeah, you know, this, that's changed daily, but, you know, I think it might have gone down a little bit.
[00:03:10.000 --> 00:03:11.000]   You don't have to tell me.
[00:03:11.000 --> 00:03:12.000]   I know.
[00:03:12.000 --> 00:03:18.000]   They also favor, not to take anything away from the accomplishment, but they also favor new podcasts in a big way.
[00:03:18.000 --> 00:03:19.000]   I've had my heart.
[00:03:19.000 --> 00:03:20.000]   Well, a little bit.
[00:03:20.000 --> 00:03:26.000]   Yeah, so the way it actually works, not that I think we need to discuss it in too much depth, but it looks at activity, right?
[00:03:26.000 --> 00:03:28.000]   So it looks at basically new subscribers.
[00:03:28.000 --> 00:03:34.000]   And of course, if you have a new show, you're going to have the most new subscribers that day, you know, just statistically speaking.
[00:03:34.000 --> 00:03:35.000]   It's a little deceiving, guys.
[00:03:35.000 --> 00:03:38.000]   We really like the record charts, you know, it's to be number one on the record charts.
[00:03:38.000 --> 00:03:41.000]   You have to have a new record, obviously, because it's based on sales.
[00:03:41.000 --> 00:03:42.000]   How much is this week?
[00:03:42.000 --> 00:03:47.000]   And heavily weighted right and heavily weighted towards sales in the last couple of days.
[00:03:47.000 --> 00:03:54.000]   But, but, but, but nevertheless, the tech podcast hasn't debuted in the top 10 in quite some time, so it's quite an accomplishment.
[00:03:54.000 --> 00:03:55.000]   I appreciate it.
[00:03:55.000 --> 00:03:56.000]   Thanks.
[00:03:56.000 --> 00:03:57.000]   It's, is it now?
[00:03:57.000 --> 00:03:58.000]   Do you pronounce it?
[00:03:58.000 --> 00:04:00.000]   It's GDG, GDG,
[00:04:00.000 --> 00:04:01.000]   DJ.
[00:04:01.000 --> 00:04:03.000]   How do you say it, right?
[00:04:03.000 --> 00:04:04.000]   GD, GT.
[00:04:04.000 --> 00:04:06.000]   It's like the word gadget, but with no balance.
[00:04:06.000 --> 00:04:10.000]   You can call it gadget, but we chose to call it GDGT because if you say, oh,
[00:04:10.000 --> 00:04:13.000]   go to gadget.com, you're not going to get our site.
[00:04:13.000 --> 00:04:15.000]   You're going to get, you know, a squatter.
[00:04:15.000 --> 00:04:20.000]   Plus, plus, plus, there's some confusion with end gadgets and since both, by the way, it's
[00:04:20.000 --> 00:04:27.000]   you and Peter Rojas, Peter, and you've, you've founded, you've founded Engadget, right?
[00:04:27.000 --> 00:04:29.000]   I was, I was one of the early editors.
[00:04:29.000 --> 00:04:30.000]   Yeah, I was, I was there at the very beginning.
[00:04:30.000 --> 00:04:33.000]   Peter is technically the founder of Engadget.
[00:04:33.000 --> 00:04:34.000]   He's also the founder of Gizmo.
[00:04:34.000 --> 00:04:39.000]   So, so, Peter and I have been working, you know, together on Engadget since the very beginning.
[00:04:39.000 --> 00:04:43.000]   That's a pretty good heritage for a, it's got to be a gadget site, right?
[00:04:43.000 --> 00:04:45.000]   Yeah, no, it is a gadget site.
[00:04:45.000 --> 00:04:49.000]   We said pretty much upfront and, you know, the heritage doesn't just come from Peter and
[00:04:49.000 --> 00:04:54.000]   I, we wanted to extend that and we wanted to be kind of a little bit of a new focal point
[00:04:54.000 --> 00:04:55.000]   in the gadget world.
[00:04:55.000 --> 00:04:59.000]   So, you know, we reached out to some friends and colleagues and what we haven't announced
[00:04:59.000 --> 00:05:03.000]   the, you know, the full roster of people who were trying to get involved in the site.
[00:05:03.000 --> 00:05:07.000]   The first two people who we did mention are going to be on our board of advisors.
[00:05:07.000 --> 00:05:10.000]   So, our, my successor had Engadget Josh Topolsky.
[00:05:10.000 --> 00:05:11.000]   Oh, that's neat.
[00:05:11.000 --> 00:05:12.000]   He's a great guy.
[00:05:12.000 --> 00:05:13.000]   Yeah, he's the editor of Engadget.
[00:05:13.000 --> 00:05:14.000]   So, there's still good relationships with Engadget.
[00:05:14.000 --> 00:05:19.000]   Yes, and, you know, for the first time ever, at least for Peter and I and, and especially
[00:05:19.000 --> 00:05:24.000]   for any project out there, you know, the editor of Gizmodo is Brian Lam.
