;FFMETADATA1
album=TWiT January 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/179
genre=Podcast
title=TWiT 179: Retail Therapy
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:42:27.608"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="15267"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\x88Y&amp\;\#x1D\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT January 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/179
genre=Podcast
title=TWiT 179: Retail Therapy
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:42:27.608"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="15267"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\x88Y&amp\;\#x1D\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:32.000]   >> This is Twit, this weekend tech, episode 179
[00:00:32.000 --> 00:00:36.000]   for January 26, 2009.
[00:00:36.000 --> 00:00:38.000]   Retail Therapy.
[00:00:38.000 --> 00:00:42.000]   This weekend tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan and get two free books.
[00:00:45.000 --> 00:00:48.000]   Go to Audible.com/Twit2.
[00:00:48.000 --> 00:00:51.000]   [ Music ]
[00:00:51.000 --> 00:00:56.000]   >> And by go to my PC wherever you go, access your PC
[00:00:56.000 --> 00:01:00.000]   and all your files, programs and email remotely with GoToMyPC.
[00:01:00.000 --> 00:01:06.000]   For a free trial of this award-winning service, visit GoToMyPC.com/Twit.
[00:01:06.000 --> 00:01:08.000]   [ Music ]
[00:01:08.000 --> 00:01:12.000]   >> And by listeners like you, thanks so much for your contribution.
[00:01:12.000 --> 00:01:14.000]   You couldn't do Twit without it.
[00:01:14.000 --> 00:01:17.000]   [ Music ]
[00:01:17.000 --> 00:01:19.000]   >> It's time for Twit this weekend tech to show the covers,
[00:01:19.000 --> 00:01:25.000]   champagne, microphones, strange UFOs and occasionally some tech news.
[00:01:25.000 --> 00:01:28.000]   I'm Leo LaPorte joining us in studio today, the lovely, the talented
[00:01:28.000 --> 00:01:33.000]   Kirsten Sanford of This Week in Science to prove that she's not angry at me
[00:01:33.000 --> 00:01:35.000]   for stealing her name.
[00:01:35.000 --> 00:01:36.000]   >> That's right.
[00:01:36.000 --> 00:01:38.000]   >> You were Twit before I was Twit.
[00:01:38.000 --> 00:01:39.000]   >> I was.
[00:01:39.000 --> 00:01:41.000]   >> You deserve all props.
[00:01:41.000 --> 00:01:42.000]   >> Thanks.
[00:01:42.000 --> 00:01:43.000]   >> Kiki, Dr. Kiki, we call her also.
[00:01:43.000 --> 00:01:44.000]   She has a number of shows.
[00:01:44.000 --> 00:01:45.000]   You did a great cooking show.
[00:01:45.000 --> 00:01:46.000]   Is that the kitchen science show?
[00:01:46.000 --> 00:01:47.000]   >> Food science.
[00:01:47.000 --> 00:01:48.000]   >> Is that coming back ever?
[00:01:48.000 --> 00:01:49.000]   >> I don't know.
[00:01:49.000 --> 00:01:50.000]   >> Love that show.
[00:01:50.000 --> 00:01:51.000]   >> I loved doing it.
[00:01:51.000 --> 00:01:52.000]   It was so much fun.
[00:01:52.000 --> 00:01:53.000]   I don't know.
[00:01:53.000 --> 00:01:54.000]   We'll see.
[00:01:54.000 --> 00:01:55.000]   >> We're not hearing her.
[00:01:55.000 --> 00:01:58.000]   >> It's my mic off again.
[00:01:58.000 --> 00:01:59.000]   >> No.
[00:01:59.000 --> 00:02:00.000]   >> No.
[00:02:00.000 --> 00:02:01.000]   >> Just just John.
[00:02:01.000 --> 00:02:02.000]   >> Okay.
[00:02:02.000 --> 00:02:03.000]   Hi, John.
[00:02:03.000 --> 00:02:04.000]   >> Hello.
[00:02:04.000 --> 00:02:05.000]   >> See you there.
[00:02:05.000 --> 00:02:06.000]   Now he hears you.
[00:02:06.000 --> 00:02:07.000]   >> Now he hears you.
[00:02:07.000 --> 00:02:08.000]   >> Good.
[00:02:08.000 --> 00:02:12.000]   >> That's johnc.org/blog or actually we should say channeledevorac.com.
[00:02:12.000 --> 00:02:15.000]   We're going to start using that as your CG.
[00:02:15.000 --> 00:02:20.000]   I saw somebody wanted to know if Eric would give out the code for that.
[00:02:20.000 --> 00:02:22.000]   They really liked how he did that.
[00:02:22.000 --> 00:02:26.000]   >> Eric's coming up with another project that's kind of interesting that will kind of self-create
[00:02:26.000 --> 00:02:27.000]   the code.
[00:02:27.000 --> 00:02:28.000]   >> Oh neat.
[00:02:28.000 --> 00:02:30.000]   >> So just hang in there.
[00:02:30.000 --> 00:02:31.000]   >> Cool.
[00:02:31.000 --> 00:02:33.000]   Eric's a good web programmer.
[00:02:33.000 --> 00:02:35.000]   Also with us, we've missed him.
[00:02:35.000 --> 00:02:37.000]   He hasn't been with us since last year.
[00:02:37.000 --> 00:02:39.000]   Mr. Will Harris.
[00:02:39.000 --> 00:02:40.000]   >> Hello.
[00:02:40.000 --> 00:02:42.000]   >> Channeledflip.com, our resident Brit.
[00:02:42.000 --> 00:02:44.000]   >> It's lovely to be back.
[00:02:44.000 --> 00:02:48.000]   >> And I have a feeling since next Sunday we'll be recording during the Super Bowl that you
[00:02:48.000 --> 00:02:50.000]   might be back next Sunday.
[00:02:50.000 --> 00:02:52.000]   >> What's the super what?
[00:02:52.000 --> 00:02:53.000]   >> Exactly.
[00:02:53.000 --> 00:02:59.000]   We're going to be looking for people who, from Australia, any country where they don't play
[00:02:59.000 --> 00:03:00.000]   football.
[00:03:00.000 --> 00:03:02.000]   American football.
[00:03:02.000 --> 00:03:03.000]   American football.
[00:03:03.000 --> 00:03:07.000]   And country where they don't know who the Steelers are.
[00:03:07.000 --> 00:03:09.000]   >> You have to see it like American football.
[00:03:09.000 --> 00:03:10.000]   >> American football.
[00:03:10.000 --> 00:03:15.000]   >> This is Mr.
[00:03:15.000 --> 00:03:21.000]   The disciplined investor himself, Andrew Horowitz from disciplineinvestor.com.
[00:03:21.000 --> 00:03:24.000]   >> Nice and warm here in South Florida.
[00:03:24.000 --> 00:03:25.000]   >> Shut up.
[00:03:25.000 --> 00:03:26.000]   >> It's nice here.
[00:03:26.000 --> 00:03:28.000]   How is it in Britain?
[00:03:28.000 --> 00:03:31.000]   >> It's pretty frickin miserable.
[00:03:31.000 --> 00:03:34.000]   I will be 100% honest with you.
[00:03:34.000 --> 00:03:36.000]   It is not pretty.
[00:03:36.000 --> 00:03:39.000]   >> California is so mean that way.
[00:03:39.000 --> 00:03:40.000]   >> How is it there?
[00:03:40.000 --> 00:03:41.000]   Where you are?
[00:03:41.000 --> 00:03:42.000]   Is it okay?
[00:03:42.000 --> 00:03:43.000]   You okay?
[00:03:43.000 --> 00:03:46.000]   >> I like asking my Wisconsin friends questions.
[00:03:46.000 --> 00:03:49.000]   >> How is that weather thing doing for you?
[00:03:49.000 --> 00:03:53.000]   >> We're at Whiskatul for snow next week.
[00:03:53.000 --> 00:03:55.000]   >> Hey, Monty Python is pretty happy.
[00:03:55.000 --> 00:03:56.000]   Did you see this?
[00:03:56.000 --> 00:03:57.000]   >> That's exciting.
[00:03:57.000 --> 00:04:02.000]   >> They put their -- they have a Monty Python channel on YouTube with some of their best
[00:04:02.000 --> 00:04:03.000]   stuff.
[00:04:03.000 --> 00:04:05.000]   It's a really nice channel.
[00:04:05.000 --> 00:04:06.000]   They've done a nice job with it.
[00:04:06.000 --> 00:04:09.000]   It's got them -- >> I grew up in upstate New York in a small town.
[00:04:09.000 --> 00:04:11.000]   I was 16 years old.
[00:04:11.000 --> 00:04:14.000]   >> David Heitpiers talking about Monty Python there.
[00:04:14.000 --> 00:04:15.000]   Automatically started up.
[00:04:15.000 --> 00:04:17.000]   I didn't really want him to, but he had to.
[00:04:17.000 --> 00:04:18.000]   It's a beautiful channel.
[00:04:18.000 --> 00:04:20.000]   They've done a really, really nice job.
[00:04:20.000 --> 00:04:23.000]   You can go there and this is the thing.
[00:04:23.000 --> 00:04:26.000]   You can get all their best bits, right?
[00:04:26.000 --> 00:04:27.000]   >> They're free.
[00:04:27.000 --> 00:04:28.000]   >> Guess what?
[00:04:28.000 --> 00:04:33.000]   As a result, you'd think maybe to cut into their -- no, their DVD sales are up on Amazon.
[00:04:33.000 --> 00:04:36.000]   Number two on the Amazon DVD list.
[00:04:36.000 --> 00:04:39.000]   23,000 percent increase in sales.
[00:04:39.000 --> 00:04:42.000]   I'm always looking for stories like this because I'm always -- I'm of the opinion.
[00:04:42.000 --> 00:04:45.000]   I think the record industry ought to sit up and take notice.
[00:04:45.000 --> 00:04:46.000]   You give stuff away.
[00:04:46.000 --> 00:04:48.000]   It comes back.
[00:04:48.000 --> 00:04:51.000]   It's the old, you know, cast your -- >> It's quality.
[00:04:51.000 --> 00:04:53.000]   It sells, right?
[00:04:53.000 --> 00:04:57.000]   You can have a restaurant in some whole new old place that you can't even get to.
[00:04:57.000 --> 00:04:58.000]   But the food's good.
[00:04:58.000 --> 00:04:59.000]   People are going to go to it.
[00:04:59.000 --> 00:05:00.000]   >> This is the opposite.
