;FFMETADATA1
album=TWiT February 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/180
genre=Podcast
title=TWiT 180: How Is Babby Formed
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:45:18.394"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="15691"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">&amp\;\#x08\;\\xc2\\xb6&gt\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT February 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/180
genre=Podcast
title=TWiT 180: How Is Babby Formed
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:45:18.394"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="15691"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">&amp\;\#x08\;\\xc2\\xb6&gt\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:32.000]   >> This is Twit, this weekend tech, episode 180 for
[00:00:32.000 --> 00:00:34.000]   February 2nd, 2009.
[00:00:34.000 --> 00:00:36.000]   How is Babbi formed?
[00:00:36.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:42.000]   >> This weekend tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan and get two free books.
[00:00:45.000 --> 00:00:48.000]   Go to Audible.com/Twit2.
[00:00:48.000 --> 00:00:51.000]   [ Music ]
[00:00:51.000 --> 00:00:53.000]   >> And by go to meeting.
[00:00:53.000 --> 00:00:57.000]   For your free 30-day trial, visit gotomeeting.com/twit.
[00:00:57.000 --> 00:01:02.000]   [ Music ]
[00:01:02.000 --> 00:01:04.000]   >> And by listeners like you.
[00:01:04.000 --> 00:01:06.000]   Thanks so much for your contribution.
[00:01:06.000 --> 00:01:08.000]   We couldn't do Twit without it.
[00:01:08.000 --> 00:01:13.000]   [ Music ]
[00:01:13.000 --> 00:01:16.000]   >> It's time for Twit, the show that covers all things
[00:01:16.000 --> 00:01:18.000]   technological.
[00:01:18.000 --> 00:01:21.000]   Today it's a Super Bowl Twit, and so we're giving
[00:01:21.000 --> 00:01:25.000]   John C. Devorak the day off so he can make the dip.
[00:01:25.000 --> 00:01:30.000]   >> But we've got two people from the Forbes Web Celeb 25
[00:01:30.000 --> 00:01:34.000]   joining us right now, Jason Calicanis of mahalo.com.
[00:01:34.000 --> 00:01:37.000]   Jason is busy right now, he's trying to register a domain.
[00:01:37.000 --> 00:01:40.000]   >> Yes, I'm almost there, but that's great to be on the show
[00:01:40.000 --> 00:01:43.000]   again, yes, for the Web 25 celebrities.
[00:01:43.000 --> 00:01:45.000]   The recession.
[00:01:45.000 --> 00:01:47.000]   >> We're all wearing gold-plated headsets today.
[00:01:47.000 --> 00:01:51.000]   >> Oh, yes, so they came with our gold-plated MacBook Airs
[00:01:51.000 --> 00:01:52.000]   courtesy of Forbes.
[00:01:52.000 --> 00:01:55.000]   >> It's so funny, Forbes puts us on the list, but have you
[00:01:55.000 --> 00:01:58.000]   ever been invited to Forbes big conferences or any of this stuff?
[00:01:58.000 --> 00:02:01.000]   No, they're like, you can be on the Web 25 celebrity list,
[00:02:01.000 --> 00:02:03.000]   but you're not coming to the CEO conference.
[00:02:03.000 --> 00:02:05.000]   >> It's a pretty down-market list, let's face it.
[00:02:05.000 --> 00:02:06.000]   >> It's a little ghetto.
[00:02:06.000 --> 00:02:07.000]   >> It's ghetto.
[00:02:07.000 --> 00:02:08.000]   >> Yeah.
[00:02:08.000 --> 00:02:09.000]   >> Present company exclusive.
[00:02:09.000 --> 00:02:12.000]   >> Also on the list, Mr. Pete Cashmore, we've never had Pete
[00:02:12.000 --> 00:02:14.000]   on, I'm really glad to have him from Scotland.
[00:02:14.000 --> 00:02:16.000]   Are you on vacation, Pete?
[00:02:16.000 --> 00:02:19.000]   >> No, well, I can't remember.
[00:02:19.000 --> 00:02:22.000]   >> I can't say.
[00:02:22.000 --> 00:02:24.000]   I mean, I grew up here.
[00:02:24.000 --> 00:02:26.000]   I'm here for most of the year, I guess.
[00:02:26.000 --> 00:02:28.000]   >> Oh, I know that, because you're in San Francisco a lot for events
[00:02:28.000 --> 00:02:29.000]   and so forth.
[00:02:29.000 --> 00:02:31.000]   >> Yeah, good places in Francisco as well.
[00:02:31.000 --> 00:02:33.000]   >> Pizza Young Guy who founded one of the hottest sites on the
[00:02:33.000 --> 00:02:35.000]   web, Mashable.com.
[00:02:35.000 --> 00:02:36.000]   Love Mashable.
[00:02:36.000 --> 00:02:39.000]   I was shocked to learn that you're just 24.
[00:02:39.000 --> 00:02:40.000]   >> 23.
[00:02:40.000 --> 00:02:42.000]   >> You're kidding.
[00:02:42.000 --> 00:02:43.000]   He's insane.
[00:02:43.000 --> 00:02:44.000]   >> Kid.
[00:02:44.000 --> 00:02:45.000]   >> What a punk.
[00:02:45.000 --> 00:02:46.000]   >> Punk.
[00:02:46.000 --> 00:02:48.000]   >> When Jason, when you hear stories like this, I mean,
[00:02:48.000 --> 00:02:50.000]   somebody at 23 is this successful.
[00:02:50.000 --> 00:02:52.000]   You can only imagine what it might be like.
[00:02:52.000 --> 00:02:54.000]   >> It's very successful as you.
[00:02:54.000 --> 00:02:55.000]   >> That's true.
[00:02:55.000 --> 00:02:56.000]   >> Truth.
[00:02:56.000 --> 00:02:57.000]   >> Truth.
[00:02:57.000 --> 00:03:01.000]   I did Cyber Surfer Magazine when I was 23, Print Magazine, 50,000
[00:03:01.000 --> 00:03:03.000]   Print Run, and I just saw a kind of reporter when I was 24.
[00:03:03.000 --> 00:03:04.000]   >> Well, there you go.
[00:03:04.000 --> 00:03:06.000]   >> So I was a publisher as well.
[00:03:06.000 --> 00:03:08.000]   And people hated me too.
[00:03:08.000 --> 00:03:11.000]   >> When I was 24, I was pulling a microphone.
[00:03:11.000 --> 00:03:13.000]   >> I didn't say people hate me.
[00:03:13.000 --> 00:03:14.000]   >> No, no, no.
[00:03:14.000 --> 00:03:15.000]   >> Nobody hates you.
[00:03:15.000 --> 00:03:17.000]   >> When you're that young and you do a publication like that.
[00:03:17.000 --> 00:03:18.000]   >> There's a little jealousy.
[00:03:18.000 --> 00:03:19.000]   You have a little jealousy around you.
[00:03:19.000 --> 00:03:20.000]   >> I'm jealous.
[00:03:20.000 --> 00:03:21.000]   >> People get a little jealous.
[00:03:21.000 --> 00:03:22.000]   >> Yeah, I'm jealous.
[00:03:22.000 --> 00:03:23.000]   >> I never found it.
[00:03:23.000 --> 00:03:24.000]   >> Let's see.
[00:03:24.000 --> 00:03:27.000]   >> I think they're like, oh.
[00:03:27.000 --> 00:03:28.000]   You know?
[00:03:28.000 --> 00:03:32.000]   >> If you weren't such a snappy dresser, I'd be jealous.
[00:03:32.000 --> 00:03:33.000]   >> Okay.
[00:03:33.000 --> 00:03:35.000]   >> But I think, you know, because you're such a good dresser,
[00:03:35.000 --> 00:03:38.000]   I feel like, you know, well, of course, that's why he's successful.
[00:03:38.000 --> 00:03:39.000]   >> That's why, yeah.
[00:03:39.000 --> 00:03:40.000]   >> Yeah.
[00:03:40.000 --> 00:03:43.000]   That's why, if I dressed as well as you, I'd probably be good-looking too.
[00:03:43.000 --> 00:03:44.000]   >> I have a minute hoodie today.
[00:03:44.000 --> 00:03:45.000]   I'm on chill.
[00:03:45.000 --> 00:03:49.000]   >> I'm not like sitting around in a three-piece suit, you know?
[00:03:49.000 --> 00:03:51.000]   >> I don't blame you.
[00:03:51.000 --> 00:03:54.000]   So I think the big story of the week happened yesterday when Google,
[00:03:54.000 --> 00:03:57.000]   I got up at seven in the morning, Pacific time.
[00:03:57.000 --> 00:04:00.000]   >> Honestly, why did they have to spend that time for us bloggers?
[00:04:00.000 --> 00:04:01.000]   >> Yeah.
[00:04:01.000 --> 00:04:02.000]   >> I was having a lie in.
[00:04:02.000 --> 00:04:04.000]   >> Well, no, wait a minute.
[00:04:04.000 --> 00:04:06.000]   You're in the UK, so it was later in the day.
[00:04:06.000 --> 00:04:08.000]   >> I know, but I worked crazy hours.
[00:04:08.000 --> 00:04:10.000]   I slept until the afternoon then.
[00:04:10.000 --> 00:04:13.000]   >> I was actually a twit that stopped me from getting to that story.
[00:04:13.000 --> 00:04:14.000]   I blame you guys.
[00:04:14.000 --> 00:04:15.000]   >> Why was that?
[00:04:15.000 --> 00:04:19.000]   >> Well, I was going to, you know, I hadn't listened to the show, so I was like, okay,
[00:04:19.000 --> 00:04:25.000]   I'll get some exercise, hit the dog for a walk, listen to Twits, your pre-Super Bowl episode.
[00:04:25.000 --> 00:04:30.000]   And yeah, and then I got back and that was all over Twitter.
[00:04:30.000 --> 00:04:31.000]   It's crazy.
[00:04:31.000 --> 00:04:32.000]   >> So you got to listen to Twit the day-
[00:04:32.000 --> 00:04:35.000]   >> Do you want to get the story out before it kind of interrupts you, though?
[00:04:35.000 --> 00:04:39.000]   >> Yeah, you got to get, you got to listen to Twit the day it comes out so that you don't-
[00:04:39.000 --> 00:04:41.000]   you're not listening to last week's news, Pete.
[00:04:41.000 --> 00:04:42.000]   That's the problem.
