;FFMETADATA1
album=TWiT May 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/196
genre=Podcast
title=TWiT 196: Flesh Colored Tapes
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:30:06.715"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="13427"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\x80&amp\;\#x1E\;h&amp\;\#x08\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT May 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/196
genre=Podcast
title=TWiT 196: Flesh Colored Tapes
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:30:06.715"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="13427"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\x80&amp\;\#x1E\;h&amp\;\#x08\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:32.000]   >> This is Twit. This weekend tech, episode 196
[00:00:32.000 --> 00:00:36.000]   from May 25, 2009. The flesh-colored tapes.
[00:00:36.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:42.000]   >> This weekend tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan and get two free books,
[00:00:45.000 --> 00:00:50.000]   go to audible.com/twit2 and follow Audible on Twitter,
[00:00:50.000 --> 00:00:54.000]   user ID Audible_com.
[00:00:54.000 --> 00:00:58.000]   And by go to my PC, skip the rush hour traffic,
[00:00:58.000 --> 00:01:02.000]   and save time, money, and frustration by working from home
[00:01:02.000 --> 00:01:06.000]   with go to my PC for your free 30-day trial.
[00:01:06.000 --> 00:01:10.000]   Visit go to my PC.com/twit.
[00:01:10.000 --> 00:01:18.000]   [ Music ]
[00:01:18.000 --> 00:01:20.000]   >> It's time for Twit. This weekend tech, the show that covers
[00:01:20.000 --> 00:01:24.000]   all things tech and a few things Twitter and so forth.
[00:01:24.000 --> 00:01:30.000]   And that's John C. de Vorac already registering his disgust.
[00:01:30.000 --> 00:01:32.000]   >> You're just registering my amusement.
[00:01:32.000 --> 00:01:37.000]   >> John's in his country home right now, enjoying the
[00:01:37.000 --> 00:01:40.000]   Memorial Day weekend. Happy Memorial Day weekend, John.
[00:01:40.000 --> 00:01:43.000]   >> Thank you. Same to you. It's very nice up here today.
[00:01:43.000 --> 00:01:46.000]   >> I bet it is. It's nice everywhere. Isn't it? It's required.
[00:01:46.000 --> 00:01:50.000]   >> And it may be supposed to be nice. We used to have a regular
[00:01:50.000 --> 00:01:54.000]   barbecue on Memorial Day. Also with us, I'm really pleased.
[00:01:54.000 --> 00:01:58.000]   I think for the first time on Twit, Dan Bricklin, who is a
[00:01:58.000 --> 00:02:02.000]   pioneer in software, the guy who created VisiCalc,
[00:02:02.000 --> 00:02:05.000]   about 8,000 years ago. It seems like --
[00:02:05.000 --> 00:02:08.000]   >> 30 years ago. >> You know, 30 years isn't that long ago,
[00:02:08.000 --> 00:02:12.000]   but in computer terms, it's ages. >> Half your life.
[00:02:12.000 --> 00:02:15.000]   >> Dan, I'm so glad to have you on.
[00:02:15.000 --> 00:02:18.000]   >> Look at this great shot we've got of Dan. If you're watching the video,
[00:02:18.000 --> 00:02:22.000]   this is professional. This is how John, you're being put to shame.
[00:02:22.000 --> 00:02:26.000]   >> Hey, so, Dan, do you have a black cloth, the felt cloth behind you?
[00:02:26.000 --> 00:02:28.000]   What's the deal with you? >> I sure do.
[00:02:28.000 --> 00:02:31.000]   >> Want me to zoom out? >> Yeah, let's see what's in the whole set.
[00:02:31.000 --> 00:02:33.000]   >> Let's see the whole set. >> I'll let him zoom out here.
[00:02:33.000 --> 00:02:35.000]   >> He's getting to see you all of it. >> He's doing the Charlie Rose thing.
[00:02:35.000 --> 00:02:38.000]   >> Yeah, let's see. You can see. I have my --
[00:02:38.000 --> 00:02:41.000]   >> Oh, the illusion is destroyed. >> Yeah, I have a backlight up there,
[00:02:41.000 --> 00:02:44.000]   you know, and a light over there.
[00:02:44.000 --> 00:02:48.000]   >> So do you do a lot of video? I mean, why is it that you have this great setup?
[00:02:48.000 --> 00:02:53.000]   >> It was an interesting story. I wanted to do a video about copyright open source,
[00:02:53.000 --> 00:02:59.000]   stuff like that. And I had a choice, either pay a videographer to do it,
[00:02:59.000 --> 00:03:03.000]   or do it myself. So what I did is I taught a videographer how to blog,
[00:03:03.000 --> 00:03:07.000]   in return, he told me what to buy and set up my studio for me here in my office.
[00:03:07.000 --> 00:03:11.000]   >> What a great idea. >> So I ended up buying all this cool equipment,
[00:03:11.000 --> 00:03:14.000]   which ended up being my initial podcasting equipment also.
[00:03:14.000 --> 00:03:18.000]   >> That's very cool. And now, you know, you could be doing what I'm doing.
[00:03:18.000 --> 00:03:21.000]   You could do a 24/7 Brooklyn TV. >> Oh, sure.
[00:03:21.000 --> 00:03:23.000]   [laughter]
[00:03:23.000 --> 00:03:25.000]   >> It's hard work. >> It is.
[00:03:25.000 --> 00:03:27.000]   >> It's only one maniac in the world.
[00:03:27.000 --> 00:03:29.000]   >> Well, yeah, well, there isn't, unfortunately.
[00:03:29.000 --> 00:03:34.000]   Somebody called me on the radio show said, "Leo, I want to start the first 24/7
[00:03:34.000 --> 00:03:38.000]   Internet network." And I said, "Well, may not be the first.
[00:03:38.000 --> 00:03:40.000]   What is it about? Twitter."
[00:03:40.000 --> 00:03:41.000]   [laughter]
[00:03:41.000 --> 00:03:45.000]   >> Oh, my God. And I said, "God bless you. Good luck."
[00:03:45.000 --> 00:03:49.000]   >> Well, in Twitter, you have a little hole about this big that you can see things through.
[00:03:49.000 --> 00:03:52.000]   It's, you know, not HD. It's very small. >> Yes.
[00:03:52.000 --> 00:03:53.000]   [laughter]
[00:03:53.000 --> 00:03:56.000]   >> So I can't wait. I want to talk to you about your new book,
[00:03:56.000 --> 00:04:00.000]   "Brooklyn on Technology," about what you've been up to, about blog gaming, and so forth.
[00:04:00.000 --> 00:04:03.000]   But I guess, kind of traditionally on Twitter, we go through news stories, too.
[00:04:03.000 --> 00:04:09.000]   So we're going to do a perform, a pro-forma look at the week's news.
[00:04:09.000 --> 00:04:13.000]   And then I want to grill Dan Bricklin.
[00:04:13.000 --> 00:04:17.000]   >> You know, I, you can download Visicalk now. It's like 64K.
[00:04:17.000 --> 00:04:19.000]   >> Less? >> Less.
[00:04:19.000 --> 00:04:23.000]   >> It ran in less. It's, yeah, it's like, what, 20, 30K?
[00:04:23.000 --> 00:04:27.000]   Because it had a run in 64K with all of the papers.
[00:04:27.000 --> 00:04:30.000]   >> Of course. >> Yeah, of course, the OS. Plus the screen buffer.
[00:04:30.000 --> 00:04:33.000]   When, what year was that?
[00:04:33.000 --> 00:04:37.000]   >> Well, the original Visicalk came out in 1979.
[00:04:37.000 --> 00:04:41.000]   It was announced, oh, a few weeks from now, 30 years ago.
[00:04:41.000 --> 00:04:43.000]   >> So it's, this is the anniversary.
[00:04:43.000 --> 00:04:45.000]   >> This is, this year's the anniversary.
[00:04:45.000 --> 00:04:49.000]   >> Wow. >> A couple weeks ago was the first time it was shown privately to the
[00:04:49.000 --> 00:04:52.000]   Computer Press. That was at the West Coast Computer Fair.
[00:04:52.000 --> 00:04:57.000]   And then it was shown publicly in early June at the National Computer Conference in New York,
[00:04:57.000 --> 00:05:00.000]   and shipped in October of '79.
[00:05:00.000 --> 00:05:04.000]   And the version that you can download is a little more advanced.
[00:05:04.000 --> 00:05:10.000]   It was an early version of the IBM PC version that we shipped right when the IBM PC came out.
[00:05:10.000 --> 00:05:13.000]   >> But the first version was Apple II. >> Yep.
[00:05:13.000 --> 00:05:16.000]   >> In fact, it was, it was the first, the original killer app.
[00:05:16.000 --> 00:05:22.000]   It was the program, there you go. It was the program that made the Apple II
[00:05:22.000 --> 00:05:24.000]   succeed as a business tool.
[00:05:24.000 --> 00:05:29.000]   >> Yeah, so it already had succeeded as a game tool and, and for other things.
[00:05:29.000 --> 00:05:32.000]   >> Yeah. >> Yeah, people were playing Chop Lifter.
[00:05:32.000 --> 00:05:36.000]   And then they said, wow, you can induce, you could, well, nobody, well,
[00:05:36.000 --> 00:05:38.000]   we're going to get into this because if nobody had ever heard of a spreadsheet before, I mean,
[00:05:38.000 --> 00:05:42.000]   they were paper spreadsheets, but the idea of doing it on a computer was brand new.
[00:05:42.000 --> 00:05:45.000]   Really cool. And, and yes, you can get the executable.
[00:05:45.000 --> 00:05:49.000]   What am I saying? It's on Brooklyn.com. You're, you, you have it. You offer it.
[00:05:49.000 --> 00:05:53.000]   >> Yep. I got permission from IBM Lotus to, to let you be downloaded.
[00:05:53.000 --> 00:05:55.000]   >> Oh, that's really, did they buy it?
[00:05:55.000 --> 00:06:00.000]   >> Well, our company was eventually bought by Lotus, which was eventually bought by IBM
[00:06:00.000 --> 00:06:03.000]   and IBM and, IBM and real estate. >> I don't see.
[00:06:03.000 --> 00:06:06.000]   >> All right, news stories. And there are a couple of Twitter ones.
[00:06:06.000 --> 00:06:10.000]   So, John, if you want to just walk away from it right now, you can. I, I won't blame you.
