;FFMETADATA1
album=TWiT August 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/207
genre=Podcast
title=TWiT 207: Grandpa's Woody
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (16.8 float type 1)"\\x0a   xmpDM:duration\="1:36:14.995"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14342"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\x80\\xc3\\xbe </rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT August 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/207
genre=Podcast
title=TWiT 207: Grandpa's Woody
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (16.8 float type 1)"\\x0a   xmpDM:duration\="1:36:14.995"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14342"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\x80\\xc3\\xbe </rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.700]   [ Sound Effects ]
[00:00:03.700 --> 00:00:05.700]   Netcast you love.
[00:00:05.700 --> 00:00:07.700]   From people you trust.
[00:00:07.700 --> 00:00:10.700]   [ Music ]
[00:00:10.700 --> 00:00:12.700]   This is Twit.
[00:00:12.700 --> 00:00:19.300]   Bandwidth for this weekend tech is provided by AOL Music and Spinner.com, where you can
[00:00:19.300 --> 00:00:22.300]   get free MP3s, exclusive interviews, and more.
[00:00:22.300 --> 00:00:28.300]   [ Music ]
[00:00:28.300 --> 00:00:35.300]   This is Twit, this weekend tech, episode 207 for August 10, 2009.
[00:00:35.300 --> 00:00:37.300]   Grandpa's Woody.
[00:00:37.300 --> 00:00:38.800]   [ Music ]
[00:00:38.800 --> 00:00:42.800]   This weekend tech is brought to you by Audible.com.
[00:00:42.800 --> 00:00:48.300]   Sign up for the Platinum Plan and get two free books, go to Audible.com/Twit2
[00:00:48.300 --> 00:00:54.800]   and follow Audible on Twitter, user ID Audible_Comm.
[00:00:54.800 --> 00:00:58.800]   And by, go to meeting the affordable way to meet with clients and colleagues.
[00:00:58.800 --> 00:01:04.800]   For your free 30-day trial visit go-to-meeting.com/Twit.
[00:01:04.800 --> 00:01:11.800]   And by Squarespace.com, the fast and easy way to publish a high quality website or blog.
[00:01:11.800 --> 00:01:17.800]   For a free trial and 10% off your new account, go to squarespace.com/Twit.
[00:01:17.800 --> 00:01:23.800]   [ Music ]
[00:01:23.800 --> 00:01:27.800]   This is Twit, the show that covers all things technological every week.
[00:01:27.800 --> 00:01:31.800]   We bring together some of the most interesting people in the technology community to talk
[00:01:31.800 --> 00:01:34.800]   about this week's tech news and we're going to have some fun today.
[00:01:34.800 --> 00:01:38.800]   We have Scott Johnson says, "Boys versus girls."
[00:01:38.800 --> 00:01:41.800]   Scott Johnson is Mr. Extra Life.
[00:01:41.800 --> 00:01:48.800]   He also does the Instance podcast and he's a protopodcasters, been doing this since long before anybody else.
[00:01:48.800 --> 00:01:49.800]   Very, very long time.
[00:01:49.800 --> 00:01:50.800]   I'm thrilled to be here, Leo.
[00:01:50.800 --> 00:01:52.800]   Thank you so much for having me on the show.
[00:01:52.800 --> 00:01:56.800]   I'm excited to talk tech with someone I've watched since the tech TV days.
[00:01:56.800 --> 00:01:58.800]   This is a big moment for me.
[00:01:58.800 --> 00:02:01.800]   And your webcomic Extra Life has been around since...
[00:02:01.800 --> 00:02:08.800]   2001, June of 2001 started the comic and the shows started rolling in around 2003, 2004.
[00:02:08.800 --> 00:02:14.800]   And most recent was App Slappy, show for App Store lovers and iPhone, iPhone, iPhone,
[00:02:14.800 --> 00:02:15.800]   iPhone Honors.
[00:02:15.800 --> 00:02:17.800]   iPhone Honors, iPhone freaks out there.
[00:02:17.800 --> 00:02:19.800]   They just can't get enough of the App Store.
[00:02:19.800 --> 00:02:22.800]   I started that a couple of weeks ago and that's doing well.
[00:02:22.800 --> 00:02:29.800]   I did Scott and Tom Aaron have a new podcast called, I'm sorry, called Forecast, F-O-U-R, Cast.
[00:02:29.800 --> 00:02:32.800]   And I did that last week and had such a good time.
[00:02:32.800 --> 00:02:35.800]   And I thought, "Well, I should get Scott on the show."
[00:02:35.800 --> 00:02:40.800]   And then he said, "Well, if I come on the show, you better bring Miss Veronica Belmont on the show."
[00:02:40.800 --> 00:02:41.800]   Okay.
[00:02:41.800 --> 00:02:42.800]   We're all friends.
[00:02:42.800 --> 00:02:43.800]   I just love Veronica.
[00:02:43.800 --> 00:02:44.800]   She's the greatest.
[00:02:44.800 --> 00:02:46.800]   She's like the weird little sister I never had.
[00:02:46.800 --> 00:02:49.800]   Veronica, is Scott our Guild Master?
[00:02:49.800 --> 00:02:51.800]   Should I be bowing down to him?
[00:02:51.800 --> 00:02:52.800]   He's over there.
[00:02:52.800 --> 00:02:54.800]   Randy is really our boss guy in the Guild.
[00:02:54.800 --> 00:02:56.800]   But yeah, Scott's up there too.
[00:02:56.800 --> 00:02:57.800]   With a heart!
[00:02:57.800 --> 00:03:01.800]   Veronica and I were there the day we founded it.
[00:03:01.800 --> 00:03:03.800]   Alia Yacht-Est.
[00:03:03.800 --> 00:03:04.800]   Correct.
[00:03:04.800 --> 00:03:05.800]   You should be in there.
