;FFMETADATA1
album=TWiT August 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/208
genre=Podcast
title=TWiT 208: Hide The Boots 
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:29:52.190"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="13391"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">hm*</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT August 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/208
genre=Podcast
title=TWiT 208: Hide The Boots 
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:29:52.190"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="13391"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">hm*</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.700]   [ Sound Effects ]
[00:00:03.700 --> 00:00:05.700]   Netcast you love.
[00:00:05.700 --> 00:00:07.700]   From people you trust.
[00:00:07.700 --> 00:00:10.700]   [ Music ]
[00:00:10.700 --> 00:00:12.700]   This is Twit.
[00:00:12.700 --> 00:00:19.300]   Bandwidth for this weekend tech is provided by AOL Music and Spinner.com, where you can
[00:00:19.300 --> 00:00:22.300]   get free MP3s, exclusive interviews, and more.
[00:00:22.300 --> 00:00:28.300]   [ Music ]
[00:00:28.300 --> 00:00:35.100]   This is Twit, this weekend tech, episode 208 for August 17, 2009.
[00:00:35.100 --> 00:00:38.300]   Hide the boots.
[00:00:38.300 --> 00:00:43.700]   This weekend tech is brought to you by Audible.com, introducing Audible Blackberry.
[00:00:43.700 --> 00:00:49.200]   Now you can sample, download, and listen to audiobooks right from your Blackberry.
[00:00:49.200 --> 00:00:56.100]   To download the free app, go to Audible.com/TwitBB.
[00:00:56.100 --> 00:00:58.500]   And by, go to my PC.
[00:00:58.500 --> 00:01:00.700]   Think remote access to your PC is complicated.
[00:01:00.700 --> 00:01:03.980]   Think again, it's easy with go to my PC.
[00:01:03.980 --> 00:01:09.300]   For your free 30-day trial, visit gotomyPC.com/twit.
[00:01:09.300 --> 00:01:14.800]   [ Music ]
[00:01:14.800 --> 00:01:19.100]   It's time for Twit, ladies and gentlemen, to show the covers, all the tech news of the
[00:01:19.100 --> 00:01:24.260]   week in some sort of strange half-assed fashion.
[00:01:24.260 --> 00:01:30.060]   And today, to help us in the half-ass, from the Motor City, ladies and gentlemen, Dave.
[00:01:30.060 --> 00:01:31.060]   [ Laughter ]
[00:01:31.060 --> 00:01:34.260]   Jay, we can edit that out, can't we?
[00:01:34.260 --> 00:01:35.260]   Oh, whatever.
[00:01:35.260 --> 00:01:39.700]   I want to say, what's the guy that Dave, that guy does anyway?
[00:01:39.700 --> 00:01:41.460]   Jay Adelson, Adelson, okay.
[00:01:41.460 --> 00:01:42.460]   Take two.
[00:01:42.460 --> 00:01:43.460]   [ Laughter ]
[00:01:43.460 --> 00:01:46.260]   I don't think I've ever seen you do take two on anything.
[00:01:46.260 --> 00:01:47.260]   There's no take two.
[00:01:47.260 --> 00:01:48.260]   There's no take two.
[00:01:48.260 --> 00:01:52.060]   Jay Adelson of dig.com's CEO, it's Jay.
[00:01:52.060 --> 00:01:53.060]   It's great to...
[00:01:53.060 --> 00:01:56.460]   We met ages ago on the screensavers, you were at Equinix.
[00:01:56.460 --> 00:01:57.460]   That's right, that's right.
[00:01:57.460 --> 00:01:59.740]   I've always dreamed of being on Twit.
[00:01:59.740 --> 00:02:01.300]   And thank you for having me, man.
[00:02:01.300 --> 00:02:02.460]   You're welcome, Dave.
[00:02:02.460 --> 00:02:03.460]   [ Laughter ]
[00:02:03.460 --> 00:02:07.300]   Oh, is this going to be one of those shows, isn't it?
[00:02:07.300 --> 00:02:08.300]   I could tell.
[00:02:08.300 --> 00:02:10.940]   Also, to my left, Schwood.
[00:02:10.940 --> 00:02:14.340]   Brian Brushwood, who has been instigating for about an hour.
[00:02:14.340 --> 00:02:15.340]   I'm sorry.
[00:02:15.340 --> 00:02:16.340]   I'm in bed, man.
[00:02:16.340 --> 00:02:17.340]   He did the demon eyes.
[00:02:17.340 --> 00:02:18.500]   He's doing all the thing.
[00:02:18.500 --> 00:02:21.700]   Of course, the star of scam school on revision three.
[00:02:21.700 --> 00:02:24.940]   Yeah, you're referring to my acting debut on Film Riot.
[00:02:24.940 --> 00:02:25.940]   That's cool.
[00:02:25.940 --> 00:02:26.940]   The current Film Riot you got to see.
[00:02:26.940 --> 00:02:27.940]   Yeah, those guys are so great.
[00:02:27.940 --> 00:02:28.940]   Check out Film Riot.
[00:02:28.940 --> 00:02:32.700]   Yeah, don't, don't, don't, it's like you don't want to tell anybody.
[00:02:32.700 --> 00:02:34.340]   Don't watch the trailer of this.
[00:02:34.340 --> 00:02:36.020]   You want to be surprised.
[00:02:36.020 --> 00:02:39.540]   There is an awesome surprise if you watch the first two minutes of Film Riot.
[00:02:39.540 --> 00:02:40.540]   Correct.
[00:02:40.540 --> 00:02:42.020]   This is both ping pong balls in your hair.
