;FFMETADATA1
album=TWiT September 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/212
genre=Podcast
title=TWiT 212: Leave The Gun, Take The Calacanis
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:58:16.808"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="17624"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\xb0F.</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT September 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/212
genre=Podcast
title=TWiT 212: Leave The Gun, Take The Calacanis
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:58:16.808"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="17624"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\xb0F.</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.700]   [ Sound Effects ]
[00:00:03.700 --> 00:00:05.700]   Netcast you love.
[00:00:05.700 --> 00:00:07.700]   From people you trust.
[00:00:07.700 --> 00:00:10.700]   [ Music ]
[00:00:10.700 --> 00:00:12.700]   This is Twit.
[00:00:12.700 --> 00:00:19.300]   Bandwidth for this weekend tech is provided by AOL Music and Spinner.com, where you can
[00:00:19.300 --> 00:00:22.300]   get free MP3s, exclusive interviews, and more.
[00:00:22.300 --> 00:00:28.300]   [ Music ]
[00:00:28.300 --> 00:00:35.300]   This is Twit, this weekend tech, Episode 212 for September 14, 2009.
[00:00:35.300 --> 00:00:39.000]   Leave the gun, take the Calicanis.
[00:00:39.000 --> 00:00:43.000]   This weekend tech is brought to you by Audible.com.
[00:00:43.000 --> 00:00:49.400]   Sign up for the Platinum plan and get two free books, go to Audible.com/Twit2 and follow Audible
[00:00:49.400 --> 00:00:55.200]   on Twitter, user ID Audible_com.
[00:00:55.200 --> 00:01:00.160]   Sign by, go to Meeting, do more and travel less with go to Meeting.
[00:01:00.160 --> 00:01:02.640]   Make your next meeting a go to Meeting instead.
[00:01:02.640 --> 00:01:08.760]   For your free 30-day trial, visit go to Meeting.com/Twit.
[00:01:08.760 --> 00:01:12.240]   And by Carbonite, the leader in online backup.
[00:01:12.240 --> 00:01:16.640]   Backup your PC or Mac offsite, securely and automatically.
[00:01:16.640 --> 00:01:21.320]   For a free trial offer, plus two free months with purchase, go to Carbonite.com, offer
[00:01:21.320 --> 00:01:24.040]   code Twit.
[00:01:24.040 --> 00:01:26.720]   Sign by, PhoneTag.com.
[00:01:26.720 --> 00:01:30.520]   Convert your voicemails to text, start reading your voicemail today.
[00:01:30.520 --> 00:01:36.280]   For a free 30-day trial, go to PhoneTag.com/Twit.
[00:01:36.280 --> 00:01:43.840]   It's time for Twit, this weekend tech, the show that covers, somebody sent me a note saying,
[00:01:43.840 --> 00:01:46.360]   why are you guys always covering the last week's news?
[00:01:46.360 --> 00:01:48.360]   Can't you come with something new?
[00:01:48.360 --> 00:01:52.040]   We can do next week in tech, but we need a crystal ball to do it, I'm afraid.
[00:01:52.040 --> 00:01:57.040]   For the first time in studio with us, ever, Mr. Jason Calicanos.
[00:01:57.040 --> 00:02:00.040]   I'm thrilled to be here from mahalo.com.
[00:02:00.040 --> 00:02:05.040]   And you're here for a special occasion because it's almost been a year ago, somebody bid
[00:02:05.040 --> 00:02:10.040]   $10,000 for you to do a commercial on Twit.
[00:02:10.040 --> 00:02:12.040]   High society, that's one high society as we say.
[00:02:12.040 --> 00:02:13.040]   That's pretty busy.
[00:02:13.040 --> 00:02:15.040]   Yeah, one high, is that what they say?
[00:02:15.040 --> 00:02:19.040]   Well, a large would be 1,000 and a high society is 10.
[00:02:19.040 --> 00:02:22.040]   Right now, I'm behind three high societies.
[00:02:22.040 --> 00:02:24.040]   No, I'm not, don't worry.
[00:02:24.040 --> 00:02:25.040]   My wife is listening.
[00:02:25.040 --> 00:02:26.040]   She's going, what?
[00:02:26.040 --> 00:02:27.040]   Honey, we've got a child on the way.
[00:02:27.040 --> 00:02:29.040]   You can't be gambling anymore, Jason.
[00:02:29.040 --> 00:02:30.040]   Oh boy.
[00:02:30.040 --> 00:02:31.040]   But yeah, it's pretty amazing.
[00:02:31.040 --> 00:02:32.040]   Yeah, it's great.
[00:02:32.040 --> 00:02:34.040]   So we're going to do the ad for PhoneTag.com.
[00:02:34.040 --> 00:02:37.040]   And the truth is they donated the money to benefit charity water.
[00:02:37.040 --> 00:02:40.040]   And they said, you know what, we really want you to do a PSA for charity water.
[00:02:40.040 --> 00:02:41.040]   Which is like double-mentch.
[00:02:41.040 --> 00:02:42.040]   Double-mentch.
[00:02:42.040 --> 00:02:43.040]   Double-mentch.
[00:02:43.040 --> 00:02:45.040]   You spend the money and you get the PSA.
[00:02:45.040 --> 00:02:46.040]   That's very nice of you.
[00:02:46.040 --> 00:02:47.040]   It's pretty cool.
[00:02:47.040 --> 00:02:49.040]   I'm also here and really I didn't plan it this way.
[00:02:49.040 --> 00:02:51.040]   And frankly, I have no way to get out of it at this point.
[00:02:51.040 --> 00:02:52.040]   Lauren Feldman.
[00:02:52.040 --> 00:02:56.040]   Hey, you just kind of came along.
