;FFMETADATA1
album=TWiT September 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/213
genre=Podcast
title=TWiT 213: The Dog In The Bookcase
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="2:05:51.206"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="18753"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT September 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/213
genre=Podcast
title=TWiT 213: The Dog In The Bookcase
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="2:05:51.206"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="18753"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.700]   [ Sound Effects ]
[00:00:03.700 --> 00:00:05.700]   Netcast you love.
[00:00:05.700 --> 00:00:07.700]   From people you trust.
[00:00:07.700 --> 00:00:10.700]   [ Music ]
[00:00:10.700 --> 00:00:12.700]   This is Twit.
[00:00:12.700 --> 00:00:19.300]   Bandwidth for this weekend tech is provided by AOL Music and Spinner.com, where you can
[00:00:19.300 --> 00:00:22.300]   get free MP3s, exclusive interviews, and more.
[00:00:22.300 --> 00:00:28.300]   [ Music ]
[00:00:28.300 --> 00:00:39.100]   This is Twit, this weekend tech, Episode 213 for September 21, 2009, The Dog in the Bookcase.
[00:00:39.100 --> 00:00:43.100]   This weekend tech is brought to you by Audible.com.
[00:00:43.100 --> 00:00:49.420]   Sign up for the Platinum Plan and get two free books, go to Audible.com/Twit2 and follow Audible
[00:00:49.420 --> 00:00:55.200]   on Twitter, user ID Audible_Com.
[00:00:55.200 --> 00:00:59.240]   And by, go to Meeting, the affordable way to meet with clients and colleagues for your
[00:00:59.240 --> 00:01:00.680]   free 30-day trial.
[00:01:00.680 --> 00:01:05.220]   Visit go to Meeting.com/Twit.
[00:01:05.220 --> 00:01:11.860]   And by, Squarespace.com, the fast and easy way to publish a high quality website or blog.
[00:01:11.860 --> 00:01:22.980]   For a free trial and 10% off your new account, go to squarespace.com/Twit.
[00:01:22.980 --> 00:01:27.980]   This is Twit, this weekend tech, the show that covers all of your favorite technology
[00:01:27.980 --> 00:01:31.880]   topics, roughly in order, but mostly not.
[00:01:31.880 --> 00:01:35.160]   Joining us today in studio, Mr. John C. Devorak.
[00:01:35.160 --> 00:01:36.160]   The real.
[00:01:36.160 --> 00:01:43.640]   Devorak, and by the way, the real Devorak, not real Devorak, the real Devorak on Twitter.
[00:01:43.640 --> 00:01:44.640]   Right.
[00:01:44.640 --> 00:01:48.080]   And we're going to, David Pogge is going to join us at the end of the show.
[00:01:48.080 --> 00:01:49.280]   And channel Devorak.
[00:01:49.280 --> 00:01:50.280]   And channeldevorak.com.
[00:01:50.280 --> 00:01:51.980]   And also the real blog.
[00:01:51.980 --> 00:01:55.580]   I don't do the channel Devorak or the real blog, but they are approved.
[00:01:55.580 --> 00:01:58.820]   But before the show began, we recorded an interview with David Povey.
[00:01:58.820 --> 00:02:03.900]   He wanted to respond to the criticisms that he got last week from the Twit panel and
[00:02:03.900 --> 00:02:06.100]   even kind of the week before.
[00:02:06.100 --> 00:02:10.220]   And he did so, I thought, well, but he included you in the criticizers.
[00:02:10.220 --> 00:02:15.220]   And it turns out, and I'll make sure David learns this, that he was reading a spurious
[00:02:15.220 --> 00:02:16.220]   Devorak tweet.
[00:02:16.220 --> 00:02:17.220]   A fake.
[00:02:17.220 --> 00:02:20.060]   It was reading, well, we won't even give it out.
[00:02:20.060 --> 00:02:21.740]   I don't want to give him any publicity.
[00:02:21.740 --> 00:02:24.480]   But somebody with a mere 200 followers, you have far more.
[00:02:24.480 --> 00:02:25.480]   60,000.
[00:02:25.480 --> 00:02:26.480]   Okay.
[00:02:26.480 --> 00:02:31.160]   Although it could be millions now that I think about it.
[00:02:31.160 --> 00:02:33.320]   So anyway, we'll talk to David.
[00:02:33.320 --> 00:02:38.580]   He will get his chance to respond to what we talked about last week in terms of conflict
[00:02:38.580 --> 00:02:45.200]   of interest and the issues about how he talked to Steve Jobs and so forth.
[00:02:45.200 --> 00:02:48.040]   Also joining us this week, we have an international cast.
[00:02:48.040 --> 00:02:50.040]   I'm very thrilled about that.
