;FFMETADATA1
album=TWiT October 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/215
genre=Podcast
title=TWiT 215: Who Needs This Crap
date=2009
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT October 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/215
genre=Podcast
title=TWiT 215: Who Needs This Crap
date=2009
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.440]   Netcast you love.
[00:00:05.440 --> 00:00:07.440]   From people you trust.
[00:00:07.440 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:12.840]   This is Twit.
[00:00:12.840 --> 00:00:18.880]   Bandwidth for this weekend tech is provided by AOLMusic and Spinner.com,
[00:00:18.880 --> 00:00:22.480]   where you can get free MP3s, exclusive interviews, and more.
[00:00:22.480 --> 00:00:28.080]   [ Music ]
[00:00:28.080 --> 00:00:30.560]   This is Twit, this weekend tech.
[00:00:30.560 --> 00:00:34.760]   Episode 215 for October 5, 2009.
[00:00:34.760 --> 00:00:36.760]   Who needs this crap?
[00:00:36.760 --> 00:00:38.800]   [ Music ]
[00:00:38.800 --> 00:00:42.480]   This weekend tech is brought to you by Audible.com.
[00:00:42.480 --> 00:00:48.000]   Sign up for the Platinum Plan to get two free books, go to Audible.com/Twit2.
[00:00:48.000 --> 00:00:54.400]   And follow Audible on Twitter, user ID Audible_Comm.
[00:00:54.400 --> 00:00:58.640]   And by, go to meeting the affordable way to meet with clients and colleagues.
[00:00:58.640 --> 00:01:03.600]   For your free 30-day trial, visit gotomeeting.com/Twit.
[00:01:03.600 --> 00:01:08.120]   [ Music ]
[00:01:08.120 --> 00:01:09.680]   It's time for Twit, this weekend tech.
[00:01:09.680 --> 00:01:12.720]   The show that covers all the things that have happened in the week of tech.
[00:01:12.720 --> 00:01:13.840]   Well, not all of them.
[00:01:13.840 --> 00:01:15.200]   That really not even a large portion.
[00:01:15.200 --> 00:01:18.960]   In fact, frankly, we just cover whatever weed the hell want to cover.
[00:01:18.960 --> 00:01:23.240]   And despite the administrations of Mr. John C. Devorak.
[00:01:24.120 --> 00:01:27.000]   Who tries to keep us moving, tries to keep us covering tech.
[00:01:27.000 --> 00:01:27.800]   What is that?
[00:01:27.800 --> 00:01:28.800]   I knew how.
[00:01:28.800 --> 00:01:31.760]   John's showing us a picture of his shed.
[00:01:31.760 --> 00:01:33.360]   It's my new house.
[00:01:33.360 --> 00:01:34.360]   [ Laughter ]
[00:01:34.360 --> 00:01:36.280]   What are you, a gold miner?
[00:01:36.280 --> 00:01:37.840]   What is my 401k?
[00:01:37.840 --> 00:01:38.840]   [ Laughter ]
[00:01:38.840 --> 00:01:40.200]   That's all that's left.
[00:01:40.200 --> 00:01:43.840]   Channeldevorak.com, if you want to find out, are you going to blog that?
[00:01:43.840 --> 00:01:46.840]   Why do you have a snapshot of a shanty?
[00:01:46.840 --> 00:01:48.440]   [ Laughter ]
[00:01:48.440 --> 00:01:50.200]   I took this somewhere in Wyoming.
[00:01:50.200 --> 00:01:51.040]   It's a great picture.
[00:01:51.040 --> 00:01:52.440]   It looks like a ghost town.
[00:01:52.440 --> 00:01:56.000]   Actually, after I've sent you the Photoshop version, it's quite nice.
[00:01:56.000 --> 00:01:59.880]   I'm using it as a background for a new thing I'm doing from Evio called the Tech Grouch.
[00:01:59.880 --> 00:02:01.840]   [ Laughter ]
[00:02:01.840 --> 00:02:05.320]   Do you sit on the porch on a rock and chair with a shotgun?
[00:02:05.320 --> 00:02:07.160]   I got a beard.
[00:02:07.160 --> 00:02:08.160]   I got the --
[00:02:08.160 --> 00:02:10.400]   Hey, I'm John C. Devorak, the Tech Grouch.
[00:02:10.400 --> 00:02:12.000]   No, no, no, I'm not John C. Devorak.
[00:02:12.000 --> 00:02:13.000]   This is somebody else.
[00:02:13.000 --> 00:02:16.040]   Aren't you tired of being the cranky, grouchy guy?
[00:02:16.040 --> 00:02:17.040]   Don't you want to be like --
[00:02:17.040 --> 00:02:18.040]   You?
[00:02:18.040 --> 00:02:20.640]   Yeah, like me, Mr. Nice Guy.
[00:02:20.640 --> 00:02:22.640]   [ Laughter ]
[00:02:22.640 --> 00:02:23.640]   Yeah, I do.
[00:02:23.640 --> 00:02:25.440]   I've always wanted to be like you, Leo.
[00:02:25.440 --> 00:02:27.440]   [ Laughter ]
[00:02:27.440 --> 00:02:30.640]   Also here, Will Harris from ChannelFlip.com.
[00:02:30.640 --> 00:02:31.640]   Hi, Will.
[00:02:31.640 --> 00:02:32.640]   How are you today?
[00:02:32.640 --> 00:02:33.640]   Hello.
[00:02:33.640 --> 00:02:34.640]   I'm very well.
[00:02:34.640 --> 00:02:35.640]   Thank you.
[00:02:35.640 --> 00:02:36.640]   I've got my glass of port and I'm very happy.
[00:02:36.640 --> 00:02:37.640]   Oh, that looks good.
[00:02:37.640 --> 00:02:39.640]   A little late in the evening for a port.
[00:02:39.640 --> 00:02:40.640]   Nice, isn't it?
[00:02:40.640 --> 00:02:42.640]   A little 20, little 20, 10-year.
[00:02:42.640 --> 00:02:43.640]   10-year, Tony port.
[00:02:43.640 --> 00:02:46.640]   It's like show and tell-on to it today.
[00:02:46.640 --> 00:02:47.640]   [ Laughter ]
[00:02:47.640 --> 00:02:51.240]   You're supposed to have Frank Barnico on the line and he's -- I think, you know, as this
[00:02:51.240 --> 00:02:55.160]   happens all the time, people are about to appear on the show and then their internet
[00:02:55.160 --> 00:02:56.160]   goes out.
[00:02:56.160 --> 00:02:58.120]   Do you think it's this conspiracy of some kind?
[00:02:58.120 --> 00:03:00.280]   You're out to get your lead.
[00:03:00.280 --> 00:03:03.640]   Maybe just -- yeah, just the -- yeah, like they never use Skype and then as soon as they
[00:03:03.640 --> 00:03:05.200]   start using a lot of bandwidth.
[00:03:05.200 --> 00:03:06.200]   Yeah.
[00:03:06.200 --> 00:03:09.240]   The whole Internet just goes -- come along.
[00:03:09.240 --> 00:03:10.240]   -- come bluey.
[00:03:10.240 --> 00:03:15.320]   It's too bad because Frank wrote a blog post that I thought was very interesting why bloggers
[00:03:15.320 --> 00:03:22.600]   and podcasters should be happy about the idea that Comcast might be buying 51% of NBC
[00:03:22.600 --> 00:03:23.600]   Universal.
[00:03:23.600 --> 00:03:28.560]   Yeah, well, I'll tell you what, you know, my experience not getting bumped from the show
[00:03:28.560 --> 00:03:32.800]   has been that I watched it live.twit.tv and you're talking about me.
[00:03:32.800 --> 00:03:36.240]   And nobody picks up -- tries to -- I don't know what happens.
[00:03:36.240 --> 00:03:40.320]   But he's probably listening right now and he probably will get back onto the show within
[00:03:40.320 --> 00:03:41.320]   the next two minutes.
[00:03:41.320 --> 00:03:46.400]   What do you -- do you think, first of all, that this is this rumor which, in fact, Comcast
[00:03:46.400 --> 00:03:49.800]   is -- well, maybe it's one of those nined and niled and niled but it seems like they've
