;FFMETADATA1
encoded_by=iTunes v7.0
title=TWiT 219: Don't Make Natali Cry
artist=Leo Laporte and the TWiTs
album=TWiT November 2009
genre=Podcast
comment=http://twit.tv/219
date=2009
encoder=Lavf58.76.100
;FFMETADATA1
encoded_by=iTunes v7.0
title=TWiT 219: Don't Make Natali Cry
artist=Leo Laporte and the TWiTs
album=TWiT November 2009
genre=Podcast
comment=http://twit.tv/219
date=2009
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:16.000]   Bandwidth for this weekend tech is provided by
[00:00:16.000 --> 00:00:20.000]   AOLMusic and Spinner.com, where you can get free
[00:00:20.000 --> 00:00:23.000]   MP3s, exclusive interviews, and more.
[00:00:23.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:32.000]   This is Twit. This weekend tech, Episode 219 for
[00:00:32.000 --> 00:00:34.000]   November 2nd, 2009.
[00:00:34.000 --> 00:00:36.000]   Don't make Natalie cry.
[00:00:36.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:42.000]   This weekend tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan and get two free books, go to
[00:00:45.000 --> 00:00:51.000]   Audible.com/Twit2 and follow Audible on Twitter, user id,
[00:00:51.000 --> 00:00:54.000]   Audible_Com.
[00:00:54.000 --> 00:00:59.000]   And by, go to Meeting. Do more and travel less with go to
[00:00:59.000 --> 00:01:02.000]   Meeting. Make your next meeting a go to meeting instead.
[00:01:02.000 --> 00:01:07.000]   For your free 30-day trial, visit gotomeeting.com/Twit.
[00:01:07.000 --> 00:01:12.000]   And by, Carbonite, the leader in online backup.
[00:01:12.000 --> 00:01:16.000]   Backup your PC or Mac offsite, securely and automatically.
[00:01:16.000 --> 00:01:19.000]   For a free trial offer, plus two free months with purchase,
[00:01:19.000 --> 00:01:23.000]   go to Carbonite.com, offer code "Twit".
[00:01:23.000 --> 00:01:27.000]   [ Music ]
[00:01:27.000 --> 00:01:29.000]   This is Twit. This weekend tech, the show that covers all
[00:01:29.000 --> 00:01:32.000]   things, uh, decky and geeky and that kind of thing.
[00:01:32.000 --> 00:01:35.000]   I'm Leo LaPorte and joining us in studio today for the first
[00:01:35.000 --> 00:01:39.000]   time that I've been on. In fact, I've never met her before.
[00:01:39.000 --> 00:01:41.000]   The lovely, the talented Natalie Del Conte.
[00:01:41.000 --> 00:01:43.000]   Thank you for having me. It's great to be here.
[00:01:43.000 --> 00:01:45.000]   You were on when I was in China, I think.
[00:01:45.000 --> 00:01:48.000]   I was. Yeah, you were in China and I was on lit John de Vorek and
[00:01:48.000 --> 00:01:51.000]   Becky. And when I listened to that show, I was in my apartment
[00:01:51.000 --> 00:01:53.000]   in New York sitting on the floor and they were drinking wine.
[00:01:53.000 --> 00:01:55.000]   And so I thought, oh, I should show up.
[00:01:55.000 --> 00:01:58.000]   With wine. Not empty-handed, so I brought wine and homemade cookies.
[00:01:58.000 --> 00:02:00.000]   You did. Boy, not empty-handed.
[00:02:00.000 --> 00:02:03.000]   You got, you covered both sides of the, uh, of the alley here.
[00:02:03.000 --> 00:02:06.000]   I also brought my mother because I heard Patrick had his son on
[00:02:06.000 --> 00:02:08.000]   last week and I went the other way, generationally.
[00:02:08.000 --> 00:02:11.000]   You don't have any kids, but I went up the generation ladder.
[00:02:11.000 --> 00:02:15.000]   Jason Callicannis is also here from, uh, the beautiful Brentwood.
[00:02:15.000 --> 00:02:18.000]   Ah, yes. And the Callic compound.
[00:02:18.000 --> 00:02:20.000]   Fresh Prince of Brentwood.
[00:02:20.000 --> 00:02:23.000]   Jason explained to me every time I have a lovely young lady in here,
[00:02:23.000 --> 00:02:26.000]   they bring their mother. Is there something I should be worried about?
[00:02:26.000 --> 00:02:28.000]   Um, I think that's, it's just chaperone.
[00:02:28.000 --> 00:02:30.000]   You're a married man. I know. I'm harmless.
[00:02:30.000 --> 00:02:32.000]   My lawyer told me it was a good thing with you.
[00:02:32.000 --> 00:02:35.000]   That's it. I knew it. I'll try to fix up their moms with you.
[00:02:35.000 --> 00:02:37.000]   No, maybe that's it. That could be it.
[00:02:37.000 --> 00:02:39.000]   That could well be it.
[00:02:39.000 --> 00:02:41.000]   It's good to talk to you. I haven't talked to you in ages.
[00:02:41.000 --> 00:02:43.000]   Yeah. I've been, uh, you know, I'm getting busy.
[00:02:43.000 --> 00:02:47.000]   I got this, uh, big product release coming December 10th.
[00:02:47.000 --> 00:02:49.000]   A mahalo release or something different?
[00:02:49.000 --> 00:02:51.000]   Uh, no, we're having a baby. Oh, London.
[00:02:51.000 --> 00:02:53.000]   Yes. London will be here.
[00:02:53.000 --> 00:02:55.000]   It's exciting December 10th.
[00:02:55.000 --> 00:02:58.000]   Right around the corner. Oh, that's fantastic.
[00:02:58.000 --> 00:03:04.000]   I am, uh, like so excited. I can't, I'm, I'm like more excited than ever.
[00:03:04.000 --> 00:03:07.000]   And also terrified at the same time.
[00:03:07.000 --> 00:03:09.000]   It's a really interesting, uh, feeling for me.
[00:03:09.000 --> 00:03:11.000]   I'm not usually terrified of anything.
[00:03:11.000 --> 00:03:14.000]   Oh, you should be terrified of this. This is nothing.
[00:03:14.000 --> 00:03:16.000]   I mean, uh, entrepreneurial ship is nothing.
[00:03:16.000 --> 00:03:20.000]   Watching birthing a company is nothing compared to birthing a baby.
[00:03:20.000 --> 00:03:22.000]   Yeah. So we're, we're excited.
[00:03:22.000 --> 00:03:23.000]   You won't even, you won't even do it.
[00:03:23.000 --> 00:03:25.000]   Really any of the work. You just be sitting there.
[00:03:25.000 --> 00:03:28.000]   I, I tell you, this whole pregnancy thing, uh, so far, so good.
[00:03:28.000 --> 00:03:29.000]   I feel great.
[00:03:29.000 --> 00:03:33.000]   We're eight months in and I'm feeling great to find, to find a way to add value
[00:03:33.000 --> 00:03:35.000]   when you're just kind of watching the whole.
[00:03:35.000 --> 00:03:37.000]   It is hard. It's a little, it's, you feel bad a little bit.
[00:03:37.000 --> 00:03:39.000]   Like all the sufferings going on on the other side.
[00:03:39.000 --> 00:03:42.000]   But don't worry, Jason, the nausea begins in the first trimester
[00:03:42.000 --> 00:03:44.000]   after birth for the, for the father.
[00:03:44.000 --> 00:03:47.000]   Just, just thought you'd like to know something with a photo.
[00:03:47.000 --> 00:03:49.000]   A lack of sleep is instantaneous.
[00:03:49.000 --> 00:03:51.000]   Oh, that's right here.
[00:03:51.000 --> 00:03:55.000]   Oh, anyway, that's great. That's soon. That's like a month.
[00:03:55.000 --> 00:03:58.000]   I am giving my last keynote. I'm going to retire from keynoteing.
[00:03:58.000 --> 00:04:00.000]   I'm going to do my last keynote next week and that's it.
[00:04:00.000 --> 00:04:02.000]   No more travel. Nothing.
[00:04:02.000 --> 00:04:03.000]   Oh, well, congratulations.
[00:04:03.000 --> 00:04:04.000]   Yep.
[00:04:04.000 --> 00:04:06.000]   You can still do Twit though, because that's the kind of thing you could do with the baby.
[00:04:06.000 --> 00:04:07.000]   Of course.
[00:04:07.000 --> 00:04:08.000]   We found that out last week.
[00:04:08.000 --> 00:04:10.000]   Oh, did you have a crying baby on the show?
[00:04:10.000 --> 00:04:12.000]   Norton, Rod Seamus is two year old.
[00:04:12.000 --> 00:04:13.000]   Oh, that's awesome.
[00:04:13.000 --> 00:04:15.000]   Oh, Lordy, Lordy.
[00:04:15.000 --> 00:04:17.000]   That was something, he actually left about a third of the way through.
[00:04:17.000 --> 00:04:19.000]   In fact, we may, he may show up again because he said,
[00:04:19.000 --> 00:04:22.000]   can I, can I come back next week? And I said, yes, but he hasn't, he hasn't come back.
[00:04:22.000 --> 00:04:25.000]   So he may, he may walk in the door at any minute.
[00:04:25.000 --> 00:04:27.000]   Give a real revolving door here.
[00:04:27.000 --> 00:04:28.000]   It's an open door.
[00:04:28.000 --> 00:04:30.000]   That's a good way to put it.
[00:04:30.000 --> 00:04:31.000]   It was literally open, wasn't it?
[00:04:31.000 --> 00:04:32.000]   It was open.
[00:04:32.000 --> 00:04:33.000]   Just walked right in.
[00:04:33.000 --> 00:04:34.000]   Yeah.
[00:04:34.000 --> 00:04:35.000]   Yeah, anyone can come off the same.
[00:04:35.000 --> 00:04:36.000]   Yeah, really shouldn't do that, should I?
[00:04:36.000 --> 00:04:38.000]   Once they know there's cookies.
[00:04:38.000 --> 00:04:41.000]   Hey, there's something else here, Jason, that I'm very intrigued in.
[00:04:41.000 --> 00:04:45.000]   Natalie brought the Motorola shows, the New Verizon Droid.
[00:04:45.000 --> 00:04:46.000]   Yes, I did.
[00:04:46.000 --> 00:04:48.000]   I am hearing great things about this product.
[00:04:48.000 --> 00:04:55.000]   It's a really fun phone and Google announced this week now that it's doing SatNav on Google
[00:04:55.000 --> 00:05:00.000]   Maps, but only with Android 2.0, which this is the only phone now running Android 2.0.
[00:05:00.000 --> 00:05:05.000]   So I used the SatNav to get here because I came from San Francisco.
[00:05:05.000 --> 00:05:09.000]   I was filming loaded at CNET and I put in the address here and it worked great.
[00:05:09.000 --> 00:05:10.000]   Yeah.
[00:05:10.000 --> 00:05:12.000]   It feels really nice.
[00:05:12.000 --> 00:05:17.000]   If you compare it to the iPhone, it's about the same size.
[00:05:17.000 --> 00:05:22.000]   Screen is maybe a little taller, slightly wider, higher res.
[00:05:22.000 --> 00:05:24.000]   Right, it feels heavier to me than the iPhone.
[00:05:24.000 --> 00:05:26.000]   It is a little heavier, isn't it?
[00:05:26.000 --> 00:05:27.000]   Yeah, it's not much thicker.
[00:05:27.000 --> 00:05:28.000]   It's not much thicker.
[00:05:28.000 --> 00:05:29.000]   It's five megapixels.
[00:05:29.000 --> 00:05:30.000]   And it's got a faster product.
[00:05:30.000 --> 00:05:34.000]   So there's a lot of guts in there that it's going to maybe feel a bit heavier.
[00:05:34.000 --> 00:05:38.000]   I wish the edges were rounded because I don't think it says comfortable in your hand.
[00:05:38.000 --> 00:05:40.000]   But other than that, I think it's really, really great.
[00:05:40.000 --> 00:05:41.000]   It's got a real keyboard.
[00:05:41.000 --> 00:05:42.000]   Now this is a tiny keyboard.
[00:05:42.000 --> 00:05:43.000]   Do you have small fingers?
[00:05:43.000 --> 00:05:46.000]   So this might be okay for you, but I think I'd have trouble typing like this.
[00:05:46.000 --> 00:05:51.000]   Well, that's the problem with small hands is when I hold it in one in each hand, my little tiny thumbs
[00:05:51.000 --> 00:05:53.000]   don't reach to the center of the keyboard.
[00:05:53.000 --> 00:05:55.000]   So I have to keep curling my hands in.
[00:05:55.000 --> 00:05:57.000]   But the virtual keyboard works great.
[00:05:57.000 --> 00:05:59.000]   So most of the time I don't opt for the physical keyboard.
[00:05:59.000 --> 00:06:03.000]   And it's got the new Android 2.0 operating system on it.
[00:06:03.000 --> 00:06:05.000]   And have you, did you use the G1 phone?
[00:06:05.000 --> 00:06:06.000]   Can you compare it to the G1?
[00:06:06.000 --> 00:06:07.000]   A little bit.
[00:06:07.000 --> 00:06:14.000]   I didn't use the G1 extensively, but I do find it to be, it, you know, it gets to the
[00:06:14.000 --> 00:06:15.000]   Android marketplace.
[00:06:15.000 --> 00:06:17.000]   It sinks well with exchange.
[00:06:17.000 --> 00:06:18.000]   It's again fast.
[00:06:18.000 --> 00:06:19.000]   It feels very snappy.
[00:06:19.000 --> 00:06:20.000]   Yeah.
[00:06:20.000 --> 00:06:21.000]   Much snappy.
[00:06:21.000 --> 00:06:22.000]   And the G1 did.
[00:06:22.000 --> 00:06:23.000]   I really like it.
[00:06:23.000 --> 00:06:24.000]   I'm a fan of it.
[00:06:24.000 --> 00:06:26.000]   I like that the camera also has a flash.
[00:06:26.000 --> 00:06:28.000]   There's 16 gigs of onboard memory.
[00:06:28.000 --> 00:06:31.000]   I listened to last week's Twit over Google Listen.
[00:06:31.000 --> 00:06:32.000]   Oh yeah.
[00:06:32.000 --> 00:06:34.000]   Google Listen has a nice podcast application.
[00:06:34.000 --> 00:06:35.000]   Really nice.
[00:06:35.000 --> 00:06:36.000]   It works on the same way.
[00:06:36.000 --> 00:06:37.000]   I've never heard of this.
[00:06:37.000 --> 00:06:38.000]   What is Google Listen?
[00:06:38.000 --> 00:06:39.000]   Is it an Android application?
[00:06:39.000 --> 00:06:40.000]   Yeah, it's in the Android marketplace.
[00:06:40.000 --> 00:06:41.000]   Oh.
[00:06:41.000 --> 00:06:42.000]   And is it made by Google?
[00:06:42.000 --> 00:06:43.000]   It is.
[00:06:43.000 --> 00:06:49.000]   It's a Google product that takes RSS feeds of podcasts and you can listen to them and it'll
[00:06:49.000 --> 00:06:52.000]   cache it locally so that I can walk outside.
[00:06:52.000 --> 00:06:55.000]   I need a block or two of Leeway.
[00:06:55.000 --> 00:06:59.000]   But if I start listening to a podcast and then get on the subway, it will continue.
