;FFMETADATA1
title=Like a Fine Cheese
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=472
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.340]   It's time for "Twit!"
[00:00:02.340 --> 00:00:05.840]   Robert Scobel joins Clayton Morris and Tim Stevens.
[00:00:05.840 --> 00:00:08.640]   Who won the earthquake news Olympics?
[00:00:08.640 --> 00:00:09.440]   I say Twitter.
[00:00:09.440 --> 00:00:11.440]   Robert Scobel says, Facebook, find out
[00:00:11.440 --> 00:00:14.680]   why he thinks Facebook is the best and why I disagree.
[00:00:14.680 --> 00:00:17.160]   We'll also talk about Google's autonomous vehicles.
[00:00:17.160 --> 00:00:20.000]   Apparently, they're allowed to go 10 miles over the speed limit
[00:00:20.000 --> 00:00:20.840]   and a whole lot more.
[00:00:20.840 --> 00:00:22.480]   This week in tech, coming up next.
[00:00:22.480 --> 00:00:25.200]   [MUSIC PLAYING]
[00:00:25.200 --> 00:00:27.280]   Netcast, you love.
[00:00:27.280 --> 00:00:32.280]   From people you trust.
[00:00:32.280 --> 00:00:34.960]   This is "Twit."
[00:00:34.960 --> 00:00:38.320]   Bandwidth for this weekend tech is provided by cash fly
[00:00:38.320 --> 00:00:41.000]   at cachiefly.com.
[00:00:41.000 --> 00:00:50.120]   This is "Twit!" this weekend tech, episode 472,
[00:00:50.120 --> 00:00:53.320]   recorded August 24, 2014.
[00:00:53.320 --> 00:00:56.040]   Like a fine cheese.
[00:00:56.040 --> 00:00:58.520]   This week in tech is brought to you by Gazelle,
[00:00:58.520 --> 00:01:01.200]   the fast and simple way to sell your used gadgets.
[00:01:01.200 --> 00:01:04.080]   Find out what your used iPhone, iPad, or other Apple product
[00:01:04.080 --> 00:01:06.680]   is worth at gazelle.com.
[00:01:06.680 --> 00:01:10.720]   And by Citrix GoToMeeting, the powerfully simple way
[00:01:10.720 --> 00:01:13.200]   to meet with coworkers and clients anywhere.
[00:01:13.200 --> 00:01:15.680]   Share the same screen and see each other face to face
[00:01:15.680 --> 00:01:17.200]   with HD video conferencing.
[00:01:17.200 --> 00:01:19.000]   Even present from an iPad.
[00:01:19.000 --> 00:01:21.520]   Start your 30-day free trial of GoToMeeting today.
[00:01:21.520 --> 00:01:24.680]   Visit GoToMeeting.com, click on the "Try It Free" button,
[00:01:24.680 --> 00:01:26.880]   and use the promo code "Twit."
[00:01:26.880 --> 00:01:29.240]   And by "Nature Box."
[00:01:29.240 --> 00:01:33.080]   Order great tasting healthy snacks delivered right to your door.
[00:01:33.080 --> 00:01:34.680]   Forget the vending machine.
[00:01:34.680 --> 00:01:37.280]   Get in shape with healthy, delicious treats
[00:01:37.280 --> 00:01:39.480]   like honey dee-jawn pretzels.
[00:01:39.480 --> 00:01:39.960]   Mm-mm.
[00:01:39.960 --> 00:01:45.120]   To get 50% off your first box, go to naturebox.com/twit.
[00:01:45.120 --> 00:01:47.680]   And by "Legal Zoom."
[00:01:47.680 --> 00:01:50.240]   Visit legalzoom.com to save on your legal needs
[00:01:50.240 --> 00:01:53.360]   and gain access to a network of legal plan attorneys for guidance.
[00:01:53.360 --> 00:01:56.320]   Legal Zoom's not a law firm, but provides self-help services
[00:01:56.320 --> 00:01:57.960]   at your specific direction.
[00:01:57.960 --> 00:02:00.760]   Visit legalzoom.com and use the offer code "Twit"
[00:02:00.760 --> 00:02:04.760]   to receive $10 off at checkout.
[00:02:04.760 --> 00:02:06.480]   It's time for "Twit" this week in tech.
[00:02:06.480 --> 00:02:10.320]   The show where we cover the week's tech news, such as it is this week.
[00:02:10.320 --> 00:02:12.040]   You know, pretty much the dog days of August.
[00:02:12.040 --> 00:02:13.800]   There's nothing to talk about.
[00:02:13.800 --> 00:02:15.120]   But good news.
[00:02:15.120 --> 00:02:18.400]   We've got some of the best technology analysts in the business
[00:02:18.400 --> 00:02:20.320]   here to not talk about it.
[00:02:20.320 --> 00:02:24.400]   I'll start all the way over here to the right, Mr. Robert Scobull.
[00:02:24.400 --> 00:02:25.640]   The Scobullizer is here.
[00:02:25.640 --> 00:02:29.000]   He came stolen to my office on Friday, and we couldn't get rid of him.
[00:02:29.000 --> 00:02:29.880]   So--
[00:02:29.880 --> 00:02:33.160]   Well, I had to wear your Mickey Mouse ears.
[00:02:33.160 --> 00:02:33.520]   I saw that.
[00:02:33.520 --> 00:02:35.960]   And I saw it on the ball, you know?
[00:02:35.960 --> 00:02:39.720]   And I-- and it-- now, did you only post that picture on Facebook?
[00:02:39.720 --> 00:02:41.320]   Did you put that anywhere else?
[00:02:41.320 --> 00:02:44.600]   Yeah, just on Facebook and Tanya took one as well.
[00:02:44.600 --> 00:02:46.000]   So that's intriguing.
[00:02:46.000 --> 00:02:48.880]   Are you a Facebook-only kind of guy now?
[00:02:48.880 --> 00:02:53.400]   I'm spending more and more time on Facebook, particularly
[00:02:53.400 --> 00:02:55.600]   for the funny little personal stuff like that.
[00:02:55.600 --> 00:02:58.200]   Yeah, I hate Facebook with a passion that burns like the flames of hell.
[00:02:58.200 --> 00:02:59.480]   But we'll talk about that.
[00:02:59.480 --> 00:03:03.800]   Here's a picture of Robert invading my space.
[00:03:03.800 --> 00:03:06.560]   Sitting on the ball, taking control, man.
[00:03:06.560 --> 00:03:11.080]   Isn't that every geek's dream to be leo-appointed when he's in the empire?
[00:03:11.080 --> 00:03:14.000]   You can bet it's my dream.
[00:03:14.000 --> 00:03:15.920]   Did we disinfect the ball?
[00:03:15.920 --> 00:03:21.320]   Also with us, Mr. Tim Stevens of CNET, their automotive editor.
[00:03:21.320 --> 00:03:22.160]   You should be here.
[00:03:22.160 --> 00:03:26.760]   We got the big races going on at the raceway over here.
[00:03:26.760 --> 00:03:27.760]   Yeah, yeah, I know.
[00:03:27.760 --> 00:03:28.880]   I would love to be there.
[00:03:28.880 --> 00:03:31.400]   But we'll be coming out, I think, soon maybe.
[00:03:31.400 --> 00:03:32.920]   I don't know, early September or something like that.
[00:03:32.920 --> 00:03:34.160]   I should probably be out there again.
[00:03:34.160 --> 00:03:34.440]   Good.
[00:03:34.440 --> 00:03:35.840]   We'll come up and visit us when you do.
[00:03:35.840 --> 00:03:36.240]   I would love to.
[00:03:36.240 --> 00:03:40.000]   We're just down the road from Infineon, not far at all.
[00:03:40.000 --> 00:03:42.280]   It looks like you're in-- are you in Upper New York State?
[00:03:42.280 --> 00:03:43.640]   Where are you?
[00:03:43.640 --> 00:03:44.160]   Yes.
[00:03:44.160 --> 00:03:45.880]   I'm at home up around Albany, New York.
[00:03:45.880 --> 00:03:46.840]   Albany, New York.
[00:03:46.840 --> 00:03:50.440]   Also New York State from beautiful Lake Tinky Winky.
[00:03:50.440 --> 00:03:52.480]   Mr. Clayton Morris.
[00:03:52.480 --> 00:03:54.960]   He's-- boy, that's a beautiful shot.
[00:03:54.960 --> 00:03:55.920]   Oh, thank you.
