;FFMETADATA1
title=Chop It Down and Call It Tony
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=487
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.400]   It's time for Twit this week in tech. We have a great panel.
[00:00:04.400 --> 00:00:10.080]   Serenity Caldwell is here, Lisa Edichiko, and it's the return of Owen, J.J. Stone.
[00:00:10.080 --> 00:00:12.980]   Oh, doctor, we're going to talk about the big Sony hack.
[00:00:12.980 --> 00:00:17.440]   Apple, the lawsuit against Apple, they're down to the last plaintiff.
[00:00:17.440 --> 00:00:19.940]   And how Google could tell you you're not a robot.
[00:00:19.940 --> 00:00:22.400]   It just takes a click of a mouse. It's all coming up next.
[00:00:22.400 --> 00:00:23.400]   On Twit.
[00:00:23.400 --> 00:00:26.000]   [MUSIC]
[00:00:26.000 --> 00:00:28.100]   Netcast, you love.
[00:00:28.100 --> 00:00:30.100]   From people you trust.
[00:00:30.100 --> 00:00:33.100]   [MUSIC]
[00:00:33.100 --> 00:00:35.800]   This is Twit.
[00:00:35.800 --> 00:00:43.100]   Bandwidth for this week in tech is provided by CashFly at CACHEFLY.com.
[00:00:43.100 --> 00:00:46.800]   [MUSIC]
[00:00:46.800 --> 00:00:54.000]   This is Twit this week in tech, episode 487, recorded December 7th, 2014.
[00:00:54.000 --> 00:00:56.400]   Chop it down and call it Tony.
[00:00:56.400 --> 00:01:01.400]   This week in tech is brought to you by Little Bits, the easy way to build electronics.
[00:01:01.400 --> 00:01:09.400]   With modular building blocks, go to littlebits.com and enter the promo code TWIT to receive $20 off your first purchase of $80 or more.
[00:01:09.400 --> 00:01:12.400]   And buy Stamps.com.
[00:01:12.400 --> 00:01:16.900]   Use Stamps.com to buy and print real US postage, the instant you need it right from your desk.
[00:01:16.900 --> 00:01:21.900]   For our special offer, go to Stamps.com, click the microphone and enter Twit.
[00:01:21.900 --> 00:01:24.400]   That's Stamps.com, offer code TWIT.
