;FFMETADATA1
title=VR? PR!
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=535
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:07.000]   is
[00:00:07.000 --> 00:00:14.000]   the
[00:00:14.000 --> 00:00:21.000]   from
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:21.000]   the
[00:00:21.000 --> 00:00:22.240]   the the the the
[00:00:22.240 --> 00:00:22.240]   the
[00:00:22.240 --> 00:00:22.240]   the
[00:00:22.240 --> 00:00:22.240]   the
[00:00:22.240 --> 00:00:22.240]   the
