;FFMETADATA1
title=The Floor is Lava
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=551
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   It's time for Twet this weekend tech great show plan for you.
[00:00:04.000 --> 00:00:08.000]   We've got Willa Remus here from Slate from Engadget Roberto Baldwin.
[00:00:08.000 --> 00:00:12.000]   Peter Cohen Flarg is here from Backblaze.com.
[00:00:12.000 --> 00:00:17.000]   We'll talk about all the latest news. A little bit of Apple, DOJ stuff, some revelations.
[00:00:17.000 --> 00:00:21.000]   We'll talk about hacking an amazing experiment from Fusion.net
[00:00:21.000 --> 00:00:25.000]   and how the Facebook timeline works and
[00:00:25.000 --> 00:00:28.000]   whether they're going to pay attention to the new little sad faces
[00:00:28.000 --> 00:00:30.000]   and the confused face and all of that.
[00:00:30.000 --> 00:00:32.000]   Stay tuned. Twet is next.
[00:00:32.000 --> 00:00:36.000]   Netcast you love.
[00:00:36.000 --> 00:00:40.000]   From people you trust.
[00:00:40.000 --> 00:00:44.000]   This is Twet.
[00:00:44.000 --> 00:00:48.000]   Bandwidth for this weekend tech is provided by cashfly
[00:00:48.000 --> 00:00:51.000]   at cachefly.com.
[00:00:51.000 --> 00:00:55.000]   Hi everybody, it's time for our annual audience survey.
[00:00:55.000 --> 00:00:59.000]   We'd really like to hear from you. It helps us understand our audience better,
[00:00:59.000 --> 00:01:02.000]   know what you like and don't like, how you listen to the show.
[00:01:02.000 --> 00:01:05.000]   It also helps us tell advertisers what kind of people listen,
[00:01:05.000 --> 00:01:09.000]   but I promise you your feedback is always kept personally anonymous.
[00:01:09.000 --> 00:01:13.000]   All you have to do is visit twit.tv/survey
[00:01:13.000 --> 00:01:17.000]   and let us know what you think. It'll just take a few minutes and it'll help us make Twit even better.
[00:01:17.000 --> 00:01:21.000]   We really appreciate your support and any help you can give us
[00:01:21.000 --> 00:01:25.000]   twit.tv/survey.
[00:01:25.000 --> 00:01:31.000]   This is Twet this weekend tech.
[00:01:31.000 --> 00:01:36.000]   Episode 551 recorded Sunday, February 28, 2016.
[00:01:36.000 --> 00:01:39.000]   The floor is lava.
[00:01:39.000 --> 00:01:42.000]   This weekend tech is brought to you by Stamps.com.
[00:01:42.000 --> 00:01:45.000]   Start using your time more effectively with Stamps.com.
[00:01:45.000 --> 00:01:49.000]   Use Stamps.com to buy and print real U.S. postage, the instant you need it,
[00:01:49.000 --> 00:01:53.000]   right from your desk. For our special offer, go to Stamps.com now.
[00:01:53.000 --> 00:01:55.000]   Click on the microphone and enter Twit.
[00:01:55.000 --> 00:01:57.000]   And buy BrainTree.
[00:01:57.000 --> 00:02:00.000]   Looking to set up payments for your business?
[00:02:00.000 --> 00:02:06.000]   BrainTree gives your app or website a payment solution that accepts just about every payment method
[00:02:06.000 --> 00:02:08.000]   with one simple integration plus.
[00:02:08.000 --> 00:02:11.000]   BrainTree will give you the first $50,000 in transactions,
[00:02:11.000 --> 00:02:13.000]   fee free.
[00:02:13.000 --> 00:02:17.000]   To learn more, visit braintreatpayments.com/twit.
[00:02:17.000 --> 00:02:19.000]   And buy Squarespace.
[00:02:19.000 --> 00:02:27.000]   Squarespace is the simplest way to create a landing page or a beautiful website for your portfolio, blog, business, or online store.
[00:02:27.000 --> 00:02:31.000]   Enter the offer code Twit and get 10% off Squarespace.
[00:02:31.000 --> 00:02:32.000]   You should.
[00:02:32.000 --> 00:02:36.000]   And buy the Ring Video Doorbell with Ring.
[00:02:36.000 --> 00:02:41.000]   You can see and talk to anyone at your door from anywhere in the world using your smartphone.
[00:02:41.000 --> 00:02:43.000]   It's like a color ID for your house.
[00:02:43.000 --> 00:02:46.000]   Right now, get free, expedited FedEx shipping.
[00:02:46.000 --> 00:02:51.000]   When you go to Ring.com/twit.
[00:02:51.000 --> 00:02:52.000]   It's time for Twit.
[00:02:52.000 --> 00:02:55.000]   This weekend Tech, the show where we cover the latest Tech News.
