;FFMETADATA1
title=All the President's Phones
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=690
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2018
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.400]   It's time for Twit.
[00:00:02.400 --> 00:00:07.360]   This week in Tech, Renee Ritchie from iMORIS here, Ed Bot from ZDNet Jason Heiner from Tech
[00:00:07.360 --> 00:00:08.360]   Republic.
[00:00:08.360 --> 00:00:13.320]   We'll talk about, of course, the iPad or whatever it is, Apple Event coming up on Tuesday, the
[00:00:13.320 --> 00:00:19.040]   biggest software purchase in the history of technology and all the president's iPhones.
[00:00:19.040 --> 00:00:21.240]   So coming up next on Twit.
[00:00:21.240 --> 00:00:39.760]   Netcast you love.
[00:00:39.760 --> 00:00:40.840]   This is Twit.
[00:00:40.840 --> 00:00:47.200]   This week in Tech, Episode 690, recorded Sunday, October 28, 2018.
[00:00:47.200 --> 00:00:49.600]   All the president's phones.
[00:00:49.600 --> 00:00:52.120]   This week in Tech is brought to you by WordPress.
[00:00:52.120 --> 00:00:56.400]   Reach more customers when you build your business website at WordPress.com.
[00:00:56.400 --> 00:01:03.440]   Plan start at just $4 a month and you'll get 15% off any new plan at WordPress.com/Twit.
[00:01:03.440 --> 00:01:04.940]   And by Audible.
[00:01:04.940 --> 00:01:07.960]   Start a 30-day trial and your first audiobook is free.
[00:01:07.960 --> 00:01:13.440]   Visit audible.com/Twit or text Twit to 500-500.
[00:01:13.440 --> 00:01:19.040]   And by Betterment, the investing tool for those who refuse to settle for average investing.
[00:01:19.040 --> 00:01:24.080]   Sign up today at Betterment.com/Twit and get up to one year managed free.
[00:01:24.080 --> 00:01:26.040]   And by Eero.
[00:01:26.040 --> 00:01:31.360]   Never think about Wi-Fi again when you can have brilliant, hyper-fast, super simple Wi-Fi
[00:01:31.360 --> 00:01:32.600]   with Eero.
[00:01:32.600 --> 00:01:35.600]   And now get Total Network Protection with Eero Plus.
[00:01:35.600 --> 00:01:41.320]   Visit Eero.com/Twit and get $100 off the Eero base unit, two beacons package, and one
[00:01:41.320 --> 00:01:42.800]   year of Eero Plus.
[00:01:42.800 --> 00:01:48.680]   All you have to do is enter the code TWIT at checkout.
[00:01:48.680 --> 00:01:52.840]   It's time for TWIT this week in Tech, the show where we talk about the week's tech news.
[00:01:52.840 --> 00:01:55.480]   The panel has assembled Renee Ritchie.
[00:01:55.480 --> 00:02:02.840]   He's moonlightened from his role at Macbreak Weekly, also always in charge at imore.com
[00:02:02.840 --> 00:02:05.120]   and the host of Vector on the iMore network.
[00:02:05.120 --> 00:02:06.520]   Hello Renee, nice for you.
[00:02:06.520 --> 00:02:08.280]   Nice to see you on a Sunday.
[00:02:08.280 --> 00:02:09.280]   Oh, absolutely.
[00:02:09.280 --> 00:02:10.280]   Well, I wasn't going to be here on Tuesday, Leo.
[00:02:10.280 --> 00:02:11.280]   So I felt I owed you.
[00:02:11.280 --> 00:02:12.280]   Thank you.
[00:02:12.280 --> 00:02:13.280]   I didn't make good.
[00:02:13.280 --> 00:02:14.280]   You got something going on Tuesday?
[00:02:14.280 --> 00:02:16.880]   I'm going to be in Brooklyn for some reason.
[00:02:16.880 --> 00:02:20.040]   We'll talk about that in a sec.
[00:02:20.040 --> 00:02:26.240]   Also with Ed Bot, my old friend from the Bot Report at ZDNet, goes all the way back to
[00:02:26.240 --> 00:02:34.240]   -- we were just talking about this -- the Cobb Group PC World and PC Computing.
[00:02:34.240 --> 00:02:37.240]   Names that don't exist.
[00:02:37.240 --> 00:02:39.040]   They're all gone now, baby.
[00:02:39.040 --> 00:02:40.760]   It don't exist anymore.
[00:02:40.760 --> 00:02:41.760]   Wow.
[00:02:41.760 --> 00:02:42.760]   Wow.
[00:02:42.760 --> 00:02:43.760]   Wow.
[00:02:43.760 --> 00:02:44.760]   Someday, you know.
[00:02:44.760 --> 00:02:45.760]   Good to be back, Leo.
[00:02:45.760 --> 00:02:50.720]   And all the way to the right side of the table, it's Jason Heiner, Editor-in-Chief
[00:02:50.720 --> 00:02:51.720]   at Tech Republic.
[00:02:51.720 --> 00:02:52.720]   CBS Interactive.
[00:02:52.720 --> 00:02:53.720]   Hi, Jason.
[00:02:53.720 --> 00:02:54.720]   Hey.
[00:02:54.720 --> 00:02:55.720]   Always good to be here.
[00:02:55.720 --> 00:02:56.720]   Thank you for having me.
[00:02:56.720 --> 00:02:57.720]   Nice to see you.
[00:02:57.720 --> 00:03:02.040]   Jason's been growing a soul patch for November.
[00:03:02.040 --> 00:03:03.040]   It's nice.
[00:03:03.040 --> 00:03:04.040]   I like it.
[00:03:04.040 --> 00:03:05.040]   Yeah.
[00:03:05.040 --> 00:03:06.200]   I like it.
[00:03:06.200 --> 00:03:08.960]   I told him he really needs a pork pie hat, though, to go with that.
[00:03:08.960 --> 00:03:09.960]   It would really look good.
[00:03:09.960 --> 00:03:11.680]   I'm just enough fear to think with.
[00:03:11.680 --> 00:03:12.680]   Yeah.
[00:03:12.680 --> 00:03:13.680]   That's right.
[00:03:13.680 --> 00:03:14.680]   Yeah, just, you know.
[00:03:14.680 --> 00:03:17.400]   Well, some, some, some.
[00:03:17.400 --> 00:03:23.480]   So Tuesday at 10 a.m. Eastern time, Apple's going to be at the Brooklyn Academy of Music,
[00:03:23.480 --> 00:03:25.720]   Renee apparently got an invite.
[00:03:25.720 --> 00:03:29.120]   One of 370 different invite.
[00:03:29.120 --> 00:03:30.520]   Is that how many there were total?
[00:03:30.520 --> 00:03:35.520]   Oh, there's over 400, but I think only 370 have gone out to the press so far.
[00:03:35.520 --> 00:03:37.120]   So there's still chance for me?
[00:03:37.120 --> 00:03:40.800]   Well, I don't, I think the rest might just be in the venue because they've already put
[00:03:40.800 --> 00:03:43.280]   up the windows and they're putting up the...
[00:03:43.280 --> 00:03:44.440]   Yeah.
[00:03:44.440 --> 00:03:48.160]   This is, well, we don't know, but they're, what do they say?
[00:03:48.160 --> 00:03:50.320]   There's more in the making or something like that?
[00:03:50.320 --> 00:03:51.320]   Yeah.
[00:03:51.320 --> 00:03:52.320]   Yeah.
[00:03:52.320 --> 00:03:53.320]   And we're figuring iPads and Macs.
[00:03:53.320 --> 00:03:54.320]   iPads.
[00:03:54.320 --> 00:03:55.480]   And how serious are we figuring Macs?
[00:03:55.480 --> 00:03:56.480]   iPads for sure.
[00:03:56.480 --> 00:04:01.360]   I think Macs really seriously, the New Mac Mini, the replacement for the MacBook Air.
[00:04:01.360 --> 00:04:03.560]   I don't think, I don't think they'll even hint at the Mac Pro.
[00:04:03.560 --> 00:04:08.560]   I think they've learned their lesson about pre-announcing things before they ship, hopefully.
[00:04:08.560 --> 00:04:12.360]   But the New Mac Mini and the KB, sorry, the coffee lake, every time I go to sleep, we
[00:04:12.360 --> 00:04:14.320]   go and wake up and there's a new lake in the Intel family.
[00:04:14.320 --> 00:04:19.800]   But the coffee lake, not coffee lake revision or refresh, but the coffee lake versions of
[00:04:19.800 --> 00:04:21.160]   the iMac, the iMac.
[00:04:21.160 --> 00:04:23.080]   And I forget what Zion is on now.
[00:04:23.080 --> 00:04:25.120]   It was Skylake, so maybe now it's the on KB Lake.
[00:04:25.120 --> 00:04:26.520]   So yeah, it's me on the radio show.
[00:04:26.520 --> 00:04:28.240]   So I have a pretty recent computer.
[00:04:28.240 --> 00:04:29.440]   It's 8th generation Intel.
[00:04:29.440 --> 00:04:30.440]   That's recent.
[00:04:30.440 --> 00:04:32.960]   I said, well, it depends which generation, 8th generation.
[00:04:32.960 --> 00:04:33.960]   I know.
[00:04:33.960 --> 00:04:36.840]   It's so confusing because there's KB Lake, KB Lake, refresh, coffee lake.
[00:04:36.840 --> 00:04:38.800]   And now they announced coffee lake refresh.
[00:04:38.800 --> 00:04:39.800]   But it hasn't shipped.
[00:04:39.800 --> 00:04:41.800]   I mean, it's just, it's Intel in 2018.
[00:04:41.800 --> 00:04:43.720]   Oh, I've just been handed my invitation.
[00:04:43.720 --> 00:04:45.320]   I'm so excited.
[00:04:45.320 --> 00:04:48.920]   Handmade with magic markers.
[00:04:48.920 --> 00:04:51.720]   But it looks like a four year old.
[00:04:51.720 --> 00:04:57.680]   Yeah, that's the most I can hope for.
[00:04:57.680 --> 00:04:58.680]   So good.
[00:04:58.680 --> 00:04:59.680]   We'll look forward to that.
[00:04:59.680 --> 00:05:02.840]   We're going to live stream at 7 AM Pacific 10 AM Eastern time.
[00:05:02.840 --> 00:05:04.160]   You got to get up early this time, Leo.
[00:05:04.160 --> 00:05:05.160]   1,300 UTC.
[00:05:05.160 --> 00:05:06.320]   Yeah, really early.
[00:05:06.320 --> 00:05:10.520]   Megan Moroni and I'll watch the live stream and comment on it.
[00:05:10.520 --> 00:05:12.960]   You won't be here for Mac break weekly, but we'll have an Mac.
[00:05:12.960 --> 00:05:14.280]   And I guess Andy's getting to go.
[00:05:14.280 --> 00:05:15.520]   And he said he got an invite too.
[00:05:15.520 --> 00:05:16.520]   Oh, awesome.
[00:05:16.520 --> 00:05:19.480]   I think it's going to be like March where they have a lot of extra curricular activities
[00:05:19.480 --> 00:05:20.480]   at the venue.
[00:05:20.480 --> 00:05:25.120]   They had a school event for the inexpensive iPad for education.
[00:05:25.120 --> 00:05:26.280]   And you had to go to class.
[00:05:26.280 --> 00:05:27.280]   You got like a--
[00:05:27.280 --> 00:05:28.280]   Yeah, they were real educators there.
[00:05:28.280 --> 00:05:30.400]   And they were teaching us with playgrounds and pages.
[00:05:30.400 --> 00:05:34.680]   And then they had labs where you could do swift and fire drone and dissect the frog
[00:05:34.680 --> 00:05:37.680]   and AR and all these things.
[00:05:37.680 --> 00:05:38.680]   Could you--
[00:05:38.680 --> 00:05:39.520]   Could you--
[00:05:39.520 --> 00:05:40.760]   Could you say, hey, I got a file.
