;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[00:00:02.000 --> 00:00:04.000]   This week in Tech, Brianna Wu is here.
[00:00:04.000 --> 00:00:05.700]   Nate Langston is here from Bloomberg.
[00:00:05.700 --> 00:00:07.000]   He's all the way from the UK.
[00:00:07.000 --> 00:00:09.000]   And it's been a long time.
[00:00:09.000 --> 00:00:12.000]   Tim Stevens is back from Upper New York State
[00:00:12.000 --> 00:00:13.600]   and seen its road show.
[00:00:13.600 --> 00:00:15.000]   Lots to talk about.
[00:00:15.000 --> 00:00:18.400]   A big, big quarter for big tech.
[00:00:18.400 --> 00:00:19.800]   A big year for big tech.
[00:00:19.800 --> 00:00:21.400]   They made a ton of money.
[00:00:21.400 --> 00:00:24.400]   Is this going to encourage scrutiny?
[00:00:24.400 --> 00:00:25.000]   Maybe.
[00:00:25.000 --> 00:00:27.200]   We'll talk about Apple's App Store.
[00:00:27.200 --> 00:00:28.700]   They sure make a lot of money.
[00:00:28.700 --> 00:00:32.200]   The EU says maybe it's because they're monopoly.
[00:00:32.200 --> 00:00:34.200]   We'll talk about air tags.
[00:00:34.200 --> 00:00:35.700]   Are they a privacy concern?
[00:00:35.700 --> 00:00:37.200]   Can you be stocked with them?
[00:00:37.200 --> 00:00:42.200]   And then Brianna Wu gives up some of her Resident Evil secrets
[00:00:42.200 --> 00:00:43.700]   for speedrunning.
[00:00:43.700 --> 00:00:46.700]   It's all coming up next.
[00:00:46.700 --> 00:00:48.700]   Podcasts you love.
[00:00:48.700 --> 00:00:51.200]   From people you trust.
[00:00:51.200 --> 00:00:53.200]   This is Twit.
[00:00:53.200 --> 00:00:56.200]   This is Twit.
[00:00:56.200 --> 00:01:04.200]   This week at Tech.
[00:01:04.200 --> 00:01:09.200]   Episode 821, recorded Sunday, May 2nd, 2021.
[00:01:09.200 --> 00:01:11.700]   Bring in the privacy pod.
[00:01:11.700 --> 00:01:15.700]   This week at Tech is brought to you by ExpressVPN.
[00:01:15.700 --> 00:01:19.200]   If you really want to go incognito and protect your privacy,
[00:01:19.200 --> 00:01:21.700]   make yourself as invisible as possible.
[00:01:21.700 --> 00:01:25.200]   For the number one rated VPN, express VPN.
[00:01:25.200 --> 00:01:27.700]   For three extra months free with a one year package,
[00:01:27.700 --> 00:01:31.200]   go to expressvpn.com/twit.
[00:01:31.200 --> 00:01:33.700]   And by ZipRecruiter.
[00:01:33.700 --> 00:01:37.700]   Finding someone to wear many hats or one very specific hat
[00:01:37.700 --> 00:01:39.200]   is no easy task.
[00:01:39.200 --> 00:01:42.200]   ZipRecruiter finds people with the right experience for your job
[00:01:42.200 --> 00:01:44.200]   and invites them to apply.
[00:01:44.200 --> 00:01:48.200]   Whether it's a civil engineer in New York or a mascot in Missouri.
[00:01:48.200 --> 00:01:53.200]   Try ZipRecruiter for free at zipprecruiter.com/twit.
[00:01:53.200 --> 00:01:56.200]   And by Mint Mobile.
[00:01:56.200 --> 00:01:59.200]   Mint Mobile's secret sauce is they're the first company
[00:01:59.200 --> 00:02:02.200]   to sell wireless service online only.
[00:02:02.200 --> 00:02:05.200]   To get your new wireless plan for just 15 bucks a month
[00:02:05.200 --> 00:02:07.200]   and get the plan shipped to your door free,
[00:02:07.200 --> 00:02:10.200]   go to mintmobile.com/twit.
[00:02:10.200 --> 00:02:16.200]   [music]
[00:02:16.200 --> 00:02:19.200]   It's time for Twit this week in Tech, the show we cover the week.
[00:02:19.200 --> 00:02:25.200]   Tech news and I always love the one show I do every week
[00:02:25.200 --> 00:02:27.200]   where the panel is different every week.
[00:02:27.200 --> 00:02:29.200]   And that makes it fun for me.
