;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[00:00:04.740 --> 00:00:11.800]   We've got the Devendra Hardowar from Engadget. Larry Maggot is here. We will talk about billionaires in
[00:00:11.800 --> 00:00:14.480]   space
[00:00:14.480 --> 00:00:19.940]   Streaming media whether it really is a good idea for Amazon to buy MGM and
[00:00:19.940 --> 00:00:27.500]   Why is Yahoo just the brand still worth more than a billion dollars in Japan? It's all coming up next on Twit
[00:00:27.500 --> 00:00:33.260]   Podcasts you love from people you trust
[00:00:33.260 --> 00:00:36.500]   This is Twit
[00:00:36.500 --> 00:00:51.100]   This is Twit this weekend tech episode 831 recorded Sunday July 11th 2021
[00:00:51.100 --> 00:00:53.660]   Do you even rocket bro?
[00:00:54.540 --> 00:00:57.200]   This episode of this week in tech is brought to you by
[00:00:57.200 --> 00:01:04.800]   Molecule molecules reimagining the future of clean air starting with the air purifier for a limited time save up to
[00:01:04.800 --> 00:01:12.100]   $120 on molecule air purifiers by visiting molecule calm and using the promo code twit at checkout
[00:01:12.100 --> 00:01:15.380]   Enjoy free shipping and a 30-day home trial on your order
[00:01:15.380 --> 00:01:20.020]   And by express VPN be smart
[00:01:20.020 --> 00:01:27.860]   Stop paying full price for streaming services and only getting access to a fraction of their content get your money's worth at Express VPN
[00:01:27.860 --> 00:01:31.740]   Dot com slash twit for three extra months free with a one-year package
[00:01:31.740 --> 00:01:34.420]   and by
[00:01:34.420 --> 00:01:41.060]   Casper when it comes to a better night's sleep Casper's new cooling collection has you covered focus on tomorrow
[00:01:41.060 --> 00:01:49.100]   Let Casper handle the rest explore Casper products mattresses sheets pillows and more at Casper dot com slash twit one
[00:01:49.100 --> 00:01:53.380]   And use the code twit one for one hundred dollars off select mattresses
[00:01:53.380 --> 00:02:03.060]   and by our crowd our crowd helps accredited investors invest early in pre IPO companies alongside professional venture
[00:02:03.060 --> 00:02:07.140]   capitalists if you're interested join our crowd for free at
[00:02:07.140 --> 00:02:12.260]   OUR CR O W D dot com slash twit
[00:02:17.340 --> 00:02:20.980]   It's time for twit this week in tech show we cover the week's tech news
[00:02:20.980 --> 00:02:28.600]   Three of my favorite people in studio with us from connect safely dot org Larry Maggot great to see you great to be
[00:02:28.600 --> 00:02:34.580]   Al Jazeera commentator occasionally. Yeah, and still doing stuff on CBS News radio nice
[00:02:34.580 --> 00:02:38.000]   Yeah, and so we got him headphones, so he'd look like he was
[00:02:38.000 --> 00:02:41.820]   I feel much more comfortable if I'm radio than on television
[00:02:41.820 --> 00:02:45.900]   Unfortunately, these are Aunt Pruitt's headphones and he has a massive head
[00:02:45.900 --> 00:02:50.740]   So you look like a small child wearing ear muffs. Yeah, it's good look
[00:02:50.740 --> 00:02:57.780]   And I said this off camera, but I'll say it or on off Mike's a little weird that I could touch you
[00:02:57.780 --> 00:03:03.780]   This is the Leo is the first person I've been around other than my family without a mask indoors, so it's funny
[00:03:03.780 --> 00:03:05.780]   How are real people smell isn't it?
