;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[00:00:05.080 --> 00:00:10.100]   We're great to have Dan here from ZD net from a Windows Central the editor in chief Daniel
[00:00:10.100 --> 00:00:13.840]   Rabino and the wonderful a bra al hee dee from C net
[00:00:13.840 --> 00:00:17.120]   We're gonna talk about the big victory for Microsoft
[00:00:17.120 --> 00:00:23.560]   Over the FTC it looks like that acquisition will happen next and you won't believe the number one product
[00:00:23.560 --> 00:00:28.700]   People bought on Amazon Prime Day that and more coming up on twit
[00:00:29.480 --> 00:00:31.960]   The show is brought to you by Cisco
[00:00:31.960 --> 00:00:36.920]   Maraki without a cloud managed network businesses inevitably fall behind
[00:00:36.920 --> 00:00:44.480]   Experience the ease and efficiency of Maraki's single platform to elevate the place where your employees and customers come together
[00:00:44.480 --> 00:00:46.200]   Cisco Maraki
[00:00:46.200 --> 00:00:50.720]   Maximizes uptime and minimizes loss to digitally transform your organization
[00:00:50.720 --> 00:00:58.040]   Maraki's intuitive interface increased connectivity and multi-site management keep your organization operating seamlessly and
[00:00:58.360 --> 00:01:01.400]   securely wherever your team is let's Cisco Maraki's
[00:01:01.400 --> 00:01:09.060]   24/7 available support help your organizations remote on-site and hybrid teams always do their best work visit
[00:01:09.060 --> 00:01:12.320]   Maraki dot Cisco dot com slash twit
[00:01:12.320 --> 00:01:21.160]   Podcasts you love from people you trust this is twit
[00:01:27.160 --> 00:01:30.480]   This is twit this week in tech episode
[00:01:30.480 --> 00:01:33.560]   936 recorded July 16th
[00:01:33.560 --> 00:01:37.480]   2023 Leo is awful
[00:01:37.480 --> 00:01:41.480]   This week at Tech is brought to you by hello fresh
[00:01:41.480 --> 00:01:49.840]   America's number one meal kit get farm fresh pre portion ingredients and seasonal recipes delivered right to your doorsteps
[00:01:49.840 --> 00:01:55.800]   Skip the grocery store and count on hello fresh to make home cooking easy fun and affordable
[00:01:55.800 --> 00:02:04.120]   Go to hello fresh comm slash twit 50 and use the code twit 50 for 50% off plus free shipping and by
[00:02:04.120 --> 00:02:06.160]   duo
[00:02:06.160 --> 00:02:13.760]   Protect against breaches with a leading access management suite providing strong multi-layered defenses to only allow
[00:02:13.760 --> 00:02:19.800]   legitimate users in for any organization concerned about being breached and in need of a solution fast
[00:02:20.200 --> 00:02:24.960]   Duo quickly enables strong security and improves user productivity
[00:02:24.960 --> 00:02:30.800]   visit CS dot co slash twit today for a free trial and by
[00:02:30.800 --> 00:02:37.760]   Zip recruiter if you're hiring you're currently dealing with a slowing economy which adds to your challenges
[00:02:37.760 --> 00:02:46.040]   Thankfully, there's a hiring partner who's focused on you and your needs zip recruiter four out of five employers who post on zip recruiter
[00:02:46.080 --> 00:02:53.320]   Get a quality candidate within the first day try zipper recruiter free at zipper recruiter comm slash twit and
[00:02:53.320 --> 00:02:55.600]   by
[00:02:55.600 --> 00:03:03.800]   Express VPN be smart stop paying full price for streaming services and only getting access to a fraction of their content
[00:03:03.800 --> 00:03:10.760]   Get your money's worth at Express VPN comm slash twit and get three extra months free with a one-year package
[00:03:11.480 --> 00:03:13.480]   It's
[00:03:13.480 --> 00:03:22.400]   Time for twit this week at tech the show we cover the week's tech news. Oh, I like this panel
[00:03:22.400 --> 00:03:29.120]   We're gonna have some fun. We've got a little bit of Microsoft news. Fortunately. We've got Daniel Rabino here editor in chief of windows central
[00:03:29.120 --> 00:03:31.320]   Hello, Daniel
[00:03:31.320 --> 00:03:37.360]   Hello, thanks for having me. It's already confusing. We got two dans on the on the show and already the
[00:03:38.080 --> 00:03:44.400]   The control room is confused. It's great to have you Daniel. Thank you for joining us sitting next to Daniel is Dan
[00:03:44.400 --> 00:03:51.800]   I'll call me Dan and I'll call him Daniel. It's great to see you again Dan Patterson long-time friend of the show. Yeah
[00:03:51.800 --> 00:04:00.680]   contributor is eating it. Yeah, and yeah proud Papa. You're sitting right you're sitting above your child's bed right now
[00:04:00.680 --> 00:04:05.240]   No, usually I said above my child's bed, but it is child bed time my wife is
[00:04:06.120 --> 00:04:13.720]   Preachously and putting her bed. Usually I record on a platform above her head, but you know that tends to wake up the baby. I
[00:04:13.720 --> 00:04:16.920]   Can't believe she's almost one that's
[00:04:16.920 --> 00:04:24.760]   Cuses like she was just born yesterday. I know that's the way they go is she so she's is she walking?
[00:04:24.760 --> 00:04:30.640]   She must be yeah, oh well. She wants to walk and talk so I mean she's she's saying words just nobody else understands
[00:04:30.640 --> 00:04:35.600]   What she's saying I got my substrate. There's no close. I'm saying stuff. She's so close so close
[00:04:36.480 --> 00:04:41.960]   Well, if she's anything like my daughter enjoy these brief moments of quiet
[00:04:41.960 --> 00:04:47.860]   Knowing her parents she is going to have strong opinions about talk her talk her for a living
[00:04:47.860 --> 00:04:55.320]   Yep, that's what Abi inherited also with us from Cnet. It's great to see a bra all he'd he it's been a long time. Welcome back
[00:04:55.320 --> 00:05:01.280]   Thank you so much for having me. I'm excited to be back video host and producer at Cnet and
[00:05:02.600 --> 00:05:05.400]   Good friend too. So we have a really nice
[00:05:05.400 --> 00:05:08.360]   panel to discuss
[00:05:08.360 --> 00:05:11.760]   Well, let's see where should we start? I guess since you're here, Daniel
[00:05:11.760 --> 00:05:20.680]   We probably should talk about the fact that and already the appeals court the Ninth Circuit has upheld the decision saying go ahead Microsoft
[00:05:20.680 --> 00:05:23.320]   Just buy act division go ahead
[00:05:23.320 --> 00:05:31.080]   We watched with interest the trial in San Francisco with a lower court and testimony from Sacha Nadella and Phil Spencer
