
[00:00:00.000 --> 00:00:07.600]   This is Twit this week in tech episode 9 recorded Sunday June 12th delivered Sunday June 19th
[00:00:07.600 --> 00:00:13.400]   2005 sorry about the delay folks. I'll get another one out to you any day now like today
[00:00:13.400 --> 00:00:19.960]   Enjoy the BBC would like to announce that the next scene is not considered suitable for family viewing
[00:00:26.440 --> 00:00:29.880]   And now for something completely different we are all twitch now
[00:00:29.880 --> 00:00:31.880]   What a great trip
[00:00:56.440 --> 00:01:03.700]   And after you ladies gentlemen welcome to another fine edition of twits Leo are you breathing heavy in the background this week?
[00:01:03.700 --> 00:01:09.440]   That mean am I the my the breather this week? There's always somebody breathing heavily here the breather this week
[00:01:09.440 --> 00:01:16.560]   Oh, I'm sorry. This is your favorite tech podcast Leo report breathing heavily Kevin Rose hiding in the darkness with his lock pick kit
[00:01:16.560 --> 00:01:19.320]   Robert hair and looking around trying to figure out why he's cold
[00:01:19.320 --> 00:01:24.480]   Would not go away. That's because you smoke and Robert. It's menthol, baby. It's a curse
[00:01:24.480 --> 00:01:27.760]   I I I can't do not Thursday Thursday afternoon
[00:01:27.760 --> 00:01:32.400]   I look somebody square in the face and say I never get sick ten minutes later. It just hit me God
[00:01:32.400 --> 00:01:37.200]   Oh, I think it was me you looked at and said you wouldn't get sick by the end of the day. I was miserable. Oh
[00:01:37.200 --> 00:01:43.720]   Gotta knock on wood, baby. Well, if you never do get sick, then you wouldn't be sick now now
[00:01:43.720 --> 00:01:47.920]   No, no logic. They're doozies when I do get sick. They're doozy, so
[00:01:50.640 --> 00:01:55.440]   So Robert you got the lead story today Microsoft warns on security
[00:01:55.440 --> 00:01:59.960]   What are they like 42 updates are coming out on Tuesday for Microsoft?
[00:01:59.960 --> 00:02:03.240]   Well, let's get to the point where pretty much any time you turn on your windows machine
[00:02:03.240 --> 00:02:07.360]   It's gonna check for an update and find one so right. What is it? What are they saying come Tuesday?
[00:02:07.360 --> 00:02:12.120]   They have ten more updates. This is the regular they do it every second Tuesday of the month and they've you know
[00:02:12.120 --> 00:02:14.720]   I don't know. What do you guys think you think this is a good idea or not?
[00:02:14.720 --> 00:02:18.120]   I mean for a while it was it was the patch of the moment and then they said well way
[00:02:18.120 --> 00:02:22.360]   Maybe we just better do it once a month, but then that leaves you kind of open for a month doesn't it?
[00:02:22.360 --> 00:02:28.640]   Well, you know what bugs me is the fact that you know anybody who's updating their system if they have if they don't have a broadband
[00:02:28.640 --> 00:02:35.880]   Connection they either have to wait for 42 hours for the download or order the CD to get service back water service pack to a
[00:02:35.880 --> 00:02:42.800]   Good a good way to get around that though is to just leave your system on overnight a huge percentage of America does not have broadband
[00:02:42.800 --> 00:02:50.280]   Well, it's time to change it's time to get some broadband 52% of America has broadband now. That means 48% does it?
[00:02:50.280 --> 00:02:51.520]   That's true
[00:02:51.520 --> 00:02:53.520]   I mean it's it's still pretty close to 50 50
[00:02:53.520 --> 00:03:00.920]   But in the case of Windows updates since service pack to it the system encourages you by default to have your automatic updates turned on and the default
[00:03:00.920 --> 00:03:02.960]   Time I believe is it like three in the morning
[00:03:02.960 --> 00:03:08.920]   So if you just left your system running overnight, you're that usually solves the problem of slow connection if you if you can so
[00:03:08.920 --> 00:03:13.200]   What's the why are they waiting till just you know one one day a month to do this?
[00:03:13.200 --> 00:03:14.920]   Why not just stage them throughout the month?
[00:03:14.920 --> 00:03:21.680]   I don't see it is such a bad thing really you consider that most of the the hacks that they're fixing or security holes that they're fixing are
[00:03:21.680 --> 00:03:24.520]   cutting edge threats that perhaps you know
[00:03:24.520 --> 00:03:29.360]   Maybe it would take another month of being out in the wild before a serious threat could be mounted
[00:03:29.360 --> 00:03:33.640]   But they're gonna have a patch out that hopefully we'll cut that off ahead of time unless it's like, you know
[00:03:33.640 --> 00:03:37.360]   A seven-year bug or something. It's been there forever and it's been in any version of Windows
[00:03:37.360 --> 00:03:40.080]   But you know are they sticking hard and fast to this though
[00:03:40.080 --> 00:03:45.480]   I mean if something comes out say on a the Wednesday after they do their major patch for that month
[00:03:45.480 --> 00:03:48.600]   Are they gonna release it later? Are they gonna have to wait a month to get that patch?
[00:03:48.600 --> 00:03:53.040]   They're gonna wait a month. That's true. That's what they've been doing if it's ultra critical though
[00:03:53.040 --> 00:03:59.180]   If they throw something out there immediately, I think they will but apparently nothing's been ultra critical yet tell me
[00:03:59.180 --> 00:04:05.360]   I mean it really it isn't widely known until Microsoft releases the patch anyway, right?
[00:04:05.360 --> 00:04:08.040]   I mean how widely known is these are these exploits?
[00:04:08.040 --> 00:04:10.300]   I once the patch comes out everybody knows about it
[00:04:10.300 --> 00:04:14.040]   I think for the professionals out there who who infect machines for money
[00:04:14.040 --> 00:04:16.840]   They're aware of this stuff because it's it's in their interest
[00:04:16.840 --> 00:04:22.860]   But I think for the the general amount of script kitties out there are people who simply take an easy to use tool to cross-causing
[00:04:22.860 --> 00:04:23.480]   Mayhem
[00:04:23.480 --> 00:04:29.340]   I don't think they're gonna be seeing or be able to use any of these exploits hopefully in time because of things like automatic update
[00:04:29.340 --> 00:04:31.000]   Well, I'll give you a I mean
[00:04:31.000 --> 00:04:36.580]   Here's part of the problem look I just my hard drive just died and I'm reinstalling windows and I had a windows image
[00:04:36.580 --> 00:04:39.760]   Thank goodness. I used ghost to make a windows image of the install
[00:04:39.760 --> 00:04:41.080]   So I didn't have to go through the full install
[00:04:41.080 --> 00:04:44.960]   But it's a service pack one image so the very first thing I do before I even go online
[00:04:44.960 --> 00:04:50.880]   I tell everybody to do this I install service back to halfway through blue screen at death the thing's dead and I have to
[00:04:50.880 --> 00:04:54.600]   Reinstall over again. No wonder people don't want to install patches
[00:04:54.600 --> 00:04:58.620]   Well, you can download service pack to as a as a standalone
[00:04:58.620 --> 00:05:01.100]   I did I have a seat standalone oh
[00:05:01.100 --> 00:05:04.680]   72 megabyte file on a CD didn't stop a blue screen of death
[00:05:04.680 --> 00:05:09.320]   Infuriate that sucks. Yeah, no kidding. Is it in was it an older piece of hardware?
[00:05:09.320 --> 00:05:14.420]   Well, it's the same piece of hardware that was running the same image and service pack two before I don't know
[00:05:14.420 --> 00:05:15.460]   What happened all of a sudden?
[00:05:15.460 --> 00:05:17.660]   It's just you know, it were it used to work and doesn't work anymore
[00:05:17.660 --> 00:05:22.100]   I I went through literally two weeks of pulling my hair out trying to figure out a problem
[00:05:22.100 --> 00:05:24.700]   I was having it turned out it was a power supply related issue
[00:05:24.700 --> 00:05:29.660]   Ah and I went through two seemingly brand new power supplies that people had given me and I finally went
[00:05:29.660 --> 00:05:33.900]   I'm bought one of my own and guess what it worked as soon as I know dropped one that I had pulled out of a package
[00:05:33.900 --> 00:05:38.060]   You never I mean this it's such a complex system. You never know what's wrong. Do you know?
[00:05:38.060 --> 00:05:41.780]   That's why I love the shuttleboxes everything's pre-wired and I just drop parts in it goes
[00:05:41.780 --> 00:05:45.900]   Yeah, well, that's the advantage Apple has they make their own power supply
[00:05:45.900 --> 00:05:51.120]   I mean where they spec their own power supplies. I don't make them but at least you know what you're getting yeah proper
[00:05:51.120 --> 00:05:55.780]   I mean any reputable PC vendors also testing their equipment before they ship it out as well
[00:05:55.780 --> 00:06:00.940]   Hopefully catching we can only hold most of it the more it's directly rated to how much you pay though
[00:06:00.940 --> 00:06:03.240]   The more you pay I'm sure the better they are tested
[00:06:03.240 --> 00:06:07.060]   Yeah, you know the high-end PC gaming companies are gaming PC makers out there
[00:06:07.060 --> 00:06:12.040]   Is there any evidence that an alien where or Falcon Northwest is more reliable?
[00:06:12.040 --> 00:06:13.440]   I mean you sure pay a lot more for it
[00:06:13.440 --> 00:06:19.840]   I I I know exactly what they do to test those systems and it's about as rigorous as you can think of each and everyone
[00:06:19.840 --> 00:06:23.140]   Yes, that's good. Especially well one company in particular
[00:06:23.140 --> 00:06:25.680]   I mean I don't want to name names, but they were talking about how
[00:06:25.680 --> 00:06:31.020]   They put every system through a five-day test and it's 24 hours a day trying to break it
[00:06:31.020 --> 00:06:36.160]   And they're fearful of things like driver updates because you know they're worried that the new drivers might introduce problems
[00:06:36.160 --> 00:06:37.560]   I take the opposite approach
[00:06:37.560 --> 00:06:41.700]   I say there the driver updates in particular for graphics guards are really necessary just because
[00:06:41.700 --> 00:06:49.080]   There are so many little things that could happen when you code a big game nowadays that could cause a problem or a bug or a crash or
[00:06:49.340 --> 00:06:54.120]   Performance so frequent patches and driver updates in particular for the gaming scene. It's just critical
[00:06:54.120 --> 00:06:56.260]   They're really two different schools of thought out there
[00:06:56.260 --> 00:07:00.820]   I mean if you never change your computer and never install anything it's always gonna operate the same way or
[00:07:00.820 --> 00:07:05.860]   You update everything all the time and hope and pray that's gonna continue to work
[00:07:05.860 --> 00:07:08.060]   I don't know I don't know which is the right way. It's funny
[00:07:08.060 --> 00:07:09.940]   I've been going back and forth because I think you know
[00:07:09.940 --> 00:07:12.900]   It's always nice to build your own computers spec everything out
[00:07:12.900 --> 00:07:17.020]   You know what you're getting and then it is nice to buy something that's already pre-built for you
[00:07:17.020 --> 00:07:22.540]   But my problem the biggest thing that I know that just drives me nuts is that all these pre-built computers come
[00:07:22.540 --> 00:07:29.100]   Alode was so much crap software. Oh, it's all I just got an IBM thinkpad and there's like 30 applications
[00:07:29.100 --> 00:07:33.500]   I will never use you try and uninstall them and then just the system gets all nasty. That's terrible
[00:07:33.500 --> 00:07:38.460]   Well, yeah, the first thing I did on this tablet PC was uninstall half the stuff that came with yeah, absolutely
[00:07:38.460 --> 00:07:42.900]   Can you reinstall the app the OS easily is it just using Windows XP on your tablet?
[00:07:42.900 --> 00:07:48.540]   Now see here's the well with mine. I was gonna say with with the thing pad it comes with another image on there
[00:07:48.540 --> 00:07:53.540]   It has all that crap already installed on the image so when you try and restore the image you restore all the crap
[00:07:53.540 --> 00:07:55.620]   They don't give you original Windows XP CD
[00:07:55.620 --> 00:07:58.740]   So none of them do that actually some of them do yeah
[00:07:58.740 --> 00:07:59.220]   I'm okay
[00:07:59.220 --> 00:08:04.540]   So I have a HP tablet and it has tablet edition the problem with this one is it has no spindle so you you
[00:08:04.540 --> 00:08:11.940]   Can't install anything unless you do it over the network or you make a disk image or you know some serve some sort of massive hack
[00:08:11.940 --> 00:08:15.620]   And then it has this thing called Altirus which is a backup
[00:08:15.620 --> 00:08:20.820]   But it backs it up to another hidden partition on the hard drive so as long as the hard drive doesn't die
[00:08:20.820 --> 00:08:26.540]   I'm okay, and it's a constant backup. So what's nice about that is I can
[00:08:26.540 --> 00:08:34.100]   Make any modification the system like uninstalling these things and it will modify my it's like a system restores like a global system restore
[00:08:34.100 --> 00:08:37.140]   So that's pretty good. Mm-hmm. So now I've uninstalled all that crap
[00:08:37.140 --> 00:08:42.140]   And now I have an image of that in a sense. I can go back to that point in time the uninstalled
[00:08:42.140 --> 00:08:44.620]   But I don't have any you know they gave me a Windows disk
[00:08:44.620 --> 00:08:50.780]   But well how much supposed to install can't that's funny. Yeah, it seems like to the less you pay for a computer the more extra crap
[00:08:50.780 --> 00:08:52.380]   You get installed on it
[00:08:52.380 --> 00:08:57.380]   Either through deals made to the manufacturer or something bad effect. We're in a crap
[00:08:57.380 --> 00:09:04.220]   This is a crap society where it's a crap generation. There's crap everywhere. There's ads everywhere. There's no, you know, there's never I'm
[00:09:04.860 --> 00:09:08.180]   Cranky old man. That's all crap. You okay there Leo?
[00:09:08.180 --> 00:09:13.180]   Everywhere you go there's an ad on every surface. I hate it
[00:09:13.180 --> 00:09:17.180]   Yeah, but a lot of what's crap to us like Kevin certainly doesn't want you know
[00:09:17.180 --> 00:09:20.940]   The software running in the background that allows Delta fixes machine
[00:09:20.940 --> 00:09:27.380]   But you know there's a lot of insert name of non-computer experts here who think that's you know the bomb true
[00:09:27.380 --> 00:09:31.460]   But I don't know I hate that stuff. I know I mean it's amazing
[00:09:31.460 --> 00:09:36.420]   What's like buried really deep down in the system that you don't realize until you wipe the system rebuild it
[00:09:36.420 --> 00:09:38.780]   Yeah, what are you guys doing for backups nowadays?
[00:09:38.780 --> 00:09:44.020]   I'm gonna get one of those external networkable hard drives that do the retrospect incremental backups
[00:09:44.020 --> 00:09:47.940]   Those are you doing the are you doing another one of the one touch the max source?
[00:09:47.940 --> 00:09:51.820]   Yeah, they have the max door one touch now that it's actually a networkable
[00:09:51.820 --> 00:09:56.660]   It has the large a 45 10 100 1000 I think in the back throw it in the closet hide it
[00:09:56.660 --> 00:09:59.300]   So if anybody breaks in they don't steal your data and then
[00:10:00.380 --> 00:10:02.380]   Dude, I'm I have to be careful here
[00:10:02.380 --> 00:10:04.500]   You know I got so many computers and and all this stuff
[00:10:04.500 --> 00:10:09.060]   I try to you know at least throw harder somewhere where you know if someone breaks in they can't find it and then
[00:10:09.060 --> 00:10:15.860]   Do your incremental backups to that? I'm actually building I've got three penny in two boxes and one of them
[00:10:15.860 --> 00:10:20.500]   I'm turning into a new smooth wall firewall and the other ones becoming I'm gonna use probably
[00:10:20.500 --> 00:10:23.820]   Open filers really cool looking but I think I'm just gonna use NAS light
[00:10:23.820 --> 00:10:28.500]   Which is a really cool someone is breathing really heavily and it's kind of hot
[00:10:29.620 --> 00:10:35.540]   Gotta be Leo. I know it's just really distracting. It's like having someone breathe in my ear. I'll move the microphone
[00:10:35.540 --> 00:10:37.540]   It's naughty man
[00:10:37.540 --> 00:10:40.180]   I like start farting
[00:10:40.180 --> 00:10:42.700]   Let's just disgusting
