
[00:00:00.000 --> 00:00:01.000]   Let's do the twit.
[00:00:01.000 --> 00:00:02.800]   Let's do the twit, baby.
[00:00:02.800 --> 00:00:07.000]   This is Twit, this week in Tech, episode 21 for September 4th, 2005.
[00:00:07.000 --> 00:00:09.000]   Wow, that's an amazing response.
[00:00:09.000 --> 00:00:28.080]   Thank you everybody, ladies and gentlemen, and you probably gathered we're not alone.
[00:00:28.080 --> 00:00:29.080]   We are not alone.
[00:00:29.080 --> 00:00:32.800]   We're here at the Apple Store in San Francisco, our first live twit.
[00:00:32.800 --> 00:00:34.120]   And this is really a thrill.
[00:00:34.120 --> 00:00:39.840]   It's nice to have all of you here in the live audience and of course the people listening
[00:00:39.840 --> 00:00:43.320]   all around the world who are joining us and the twits at the table today.
[00:00:43.320 --> 00:00:47.240]   And let me go down the table and introduce everybody, of course, the lovely, intaminated
[00:00:47.240 --> 00:00:49.440]   Patrick Norton.
[00:00:49.440 --> 00:00:54.760]   Patrick, even though there's a live audience, the radio audience at home can't see you
[00:00:54.760 --> 00:00:55.760]   wave.
[00:00:55.760 --> 00:00:57.880]   So you might wave verbally.
[00:00:57.880 --> 00:00:59.880]   Hi everybody.
[00:00:59.880 --> 00:01:03.160]   David Prager is also here.
[00:01:03.160 --> 00:01:04.160]   Hey, David.
[00:01:04.160 --> 00:01:05.360]   How you doing?
[00:01:05.360 --> 00:01:09.720]   The lovely, talented Robert Herron for PC Magazine Labs.
[00:01:09.720 --> 00:01:10.720]   Hello.
[00:01:10.720 --> 00:01:11.720]   Hello.
[00:01:11.720 --> 00:01:14.000]   Kevin Rose is here.
[00:01:14.000 --> 00:01:15.640]   Kevin Rose brought his entourage.
[00:01:15.640 --> 00:01:16.640]   Yes.
[00:01:16.640 --> 00:01:18.840]   He brought the revision three crew with me.
[00:01:18.840 --> 00:01:21.040]   You've got Keith Harrison videotaping.
[00:01:21.040 --> 00:01:24.360]   Yeah, we're going to launch this as a download too.
[00:01:24.360 --> 00:01:26.600]   This will be the first video ever of a twit.
[00:01:26.600 --> 00:01:27.600]   Cool.
[00:01:27.600 --> 00:01:30.480]   We've been together before so we really couldn't do it very easily to a video.
[00:01:30.480 --> 00:01:31.480]   We looked at different ways to do it.
