
[00:00:00.000 --> 00:00:07.000]   This is Twit, this week in Tech, episode 35 for December 18, 2005.
[00:00:07.000 --> 00:00:32.000]   [Music]
[00:00:32.000 --> 00:00:37.000]   Leo LePorn here and kind of an unusual confabulation of Twits today.
[00:00:37.000 --> 00:00:40.000]   Patrick Norton is out of reach of the Internet.
[00:00:40.000 --> 00:00:44.000]   I'm not sure what he's up to, but we found some pretty good replacements for him.
[00:00:44.000 --> 00:00:50.000]   I introduced the gang. Kevin Rose is here, hasn't been here in a long time, very busy with dig.com.
[00:00:50.000 --> 00:00:51.000]   Welcome back, Kevin.
[00:00:51.000 --> 00:00:53.000]   Hey, thanks for having me back there.
[00:00:53.000 --> 00:00:54.000]   Oh, which?
[00:00:54.000 --> 00:00:55.000]   You're a Twit, you're an original Twit.
[00:00:55.000 --> 00:00:57.000]   So there's always a home for you.
[00:00:57.000 --> 00:01:03.000]   I think people were starting to speculate that something happened, you disappeared or something, but no, you just been very busy.
[00:01:03.000 --> 00:01:08.000]   Yeah, I've been all over the place last few weeks, but finally I'm back in the States and I'm here for a while.
[00:01:08.000 --> 00:01:09.000]   Good, good.
[00:01:09.000 --> 00:01:14.000]   And of course Steve Gibson from Irvine, the King of Security.
[00:01:14.000 --> 00:01:16.000]   Mr. Hamach, this week.
[00:01:16.000 --> 00:01:18.000]   Oh boy, yeah.
[00:01:18.000 --> 00:01:25.000]   Well, if you haven't heard episode 18 of Security Now, it's all about this new VPN program he's fallen in love with.
[00:01:25.000 --> 00:01:28.000]   And then of course, John C. Devorak, who gets it.
[00:01:28.000 --> 00:01:29.000]   Hello.
[00:01:29.000 --> 00:01:30.000]   No spam.
[00:01:30.000 --> 00:01:33.000]   He had to be no show without John and a special guest.
[00:01:33.000 --> 00:01:34.000]   Celebrity.
[00:01:34.000 --> 00:01:39.000]   A celebrity guest to have here in our little round table this week.
[00:01:39.000 --> 00:01:44.000]   Steve Wozniak, the creator of the Apple One, the Apple Two and the founder of Apple Computers.
[00:01:44.000 --> 00:01:46.000]   Woz, it's great to have you.
[00:01:46.000 --> 00:01:52.000]   This is very unfortunate because I'm probably the one who at least wants to be, at least tries to be a celebrity.
[00:01:52.000 --> 00:01:54.000]   And you are the celebrity.
[00:01:54.000 --> 00:01:57.000]   And all of us are working so hard to be celebrities.
[00:01:57.000 --> 00:02:03.000]   You don't like that mantle of celebrity?
[00:02:03.000 --> 00:02:07.000]   Plus or more, minus than anything because I was a real shy guy.
[00:02:07.000 --> 00:02:11.000]   I just wanted to be quiet and have a life and do my fun technical things.
[00:02:11.000 --> 00:02:14.000]   I'm really drawn away from that more by the celebrity than anything.
[00:02:14.000 --> 00:02:15.000]   The results are good.
[00:02:15.000 --> 00:02:20.000]   I need a lot of great people and I get a chance to do a lot of good things, you know, helpful things to the world.
[00:02:20.000 --> 00:02:29.000]   I just assume, I can't go show and just look at products and get interested in acting like a normal dummy.
[00:02:29.000 --> 00:02:36.000]   A lot of the things that you want to do, Steve, do require that you have money in order to make these things happen.
[00:02:36.000 --> 00:02:40.000]   So the celebrity power probably helps you to achieve some of the goals.
[00:02:40.000 --> 00:02:44.000]   Well, yeah, it probably does.
[00:02:44.000 --> 00:02:49.000]   It does, but I don't think I try to apply it and I don't think it goes in any big ways there.
[00:02:49.000 --> 00:02:55.000]   I mean, I look at the things that are important in my life and they don't really delve around the celebrity at all.
[00:02:55.000 --> 00:03:00.000]   Is there one surprising side-defect or benefit of celebrity that you didn't expect that you do enjoy?
[00:03:00.000 --> 00:03:08.000]   Oh, the amount of time just taken to talk to people, strangers and everyone and try to listen to their ideas and be polite to them.
[00:03:08.000 --> 00:03:10.000]   I mean, it can be, you know, more than 24 hours a day.
[00:03:10.000 --> 00:03:19.000]   I'm impressed though, you're very available. I mean, Woz and I went on the Mac Mania Cruise in, I guess it was a boy, it's a year ago now in November.
[00:03:19.000 --> 00:03:24.000]   And it's just the most agreeable and open and willing to talk to people.
[00:03:24.000 --> 00:03:27.000]   And of course, you spent all your time doing that.
[00:03:27.000 --> 00:03:29.000]   Well, no, it's so interesting.
[00:03:29.000 --> 00:03:32.000]   Meeting people actually is one of the greatest things that I get.
[00:03:32.000 --> 00:03:36.000]   Just aside from celebrity, it's just actually from the celebrity even.
[00:03:36.000 --> 00:03:40.000]   I get to talk to people, hear their stories and share some of mine and then get into joking.
[00:03:40.000 --> 00:03:44.000]   And I'm real shy at first, but once I get to know someone, then watch out.
[00:03:44.000 --> 00:03:46.000]   Yeah, really, no kidding.
[00:03:46.000 --> 00:03:54.000]   He was talking about laser pointers with my son and now my son wants, because Woz has some way of hacking these laser pointers so that they can melt things.
[00:03:54.000 --> 00:03:55.000]   I don't know.
[00:03:55.000 --> 00:03:56.000]   Oh, brother.
[00:03:56.000 --> 00:04:03.000]   I would tell you, one of my latest gags is I placed this metal torpedo shaped device on a table, like with a waiter there, you know, in a restaurant.
[00:04:03.000 --> 00:04:08.000]   And I show them how you can shine one of these powerful, powerful lasers on it and it starts to wiggle.
[00:04:08.000 --> 00:04:13.000]   Jiggle, just a little and then it wiggles more and then I can finally with the laser get it spinning and I explain.
[00:04:13.000 --> 00:04:15.000]   I use a line that my son came up with.
[00:04:15.000 --> 00:04:16.000]   Light is heat.
[00:04:16.000 --> 00:04:17.000]   Of course, they don't see the magnet.
[00:04:17.000 --> 00:04:18.000]   I'm holding it under the table.
[00:04:18.000 --> 00:04:22.000]   [Laughter]
[00:04:22.000 --> 00:04:24.000]   Yeah, it's a little magic trick.
[00:04:24.000 --> 00:04:25.000]   It was.
[00:04:25.000 --> 00:04:26.000]   What kind of car are you driving nowadays?
[00:04:26.000 --> 00:04:28.000]   Mostly my Prius.
[00:04:28.000 --> 00:04:30.000]   2005 Prius.
[00:04:30.000 --> 00:04:31.000]   I almost bought a Prius.
[00:04:31.000 --> 00:04:32.000]   Should I buy a Prius?
[00:04:32.000 --> 00:04:33.000]   I love the car.
[00:04:33.000 --> 00:04:37.000]   I can recommend it as one of the best general cars for almost every one.
[00:04:37.000 --> 00:04:39.000]   Some people object to some pieces of it.
[00:04:39.000 --> 00:04:43.000]   I'm around a lot of people that it's too cheap to use a Toyota drive a Toyota.
[00:04:43.000 --> 00:04:52.000]   But I just, I love things when they happen automatically and the one thing I get in that car that works is I get in it and my telephone becomes hands free.
[00:04:52.000 --> 00:04:55.000]   The cool thing also is the car knows you're approaching, right?
[00:04:55.000 --> 00:04:57.000]   So it unlocks its doors as you get close to it.
[00:04:57.000 --> 00:05:02.000]   Yes, and I love that and actually I understand you can buy watches that will do that for you.
[00:05:02.000 --> 00:05:03.000]   That'll unlock your car.
[00:05:03.000 --> 00:05:04.000]   Oh, that's neat.
[00:05:04.000 --> 00:05:05.000]   They'll unlock the Toyota Prius.
[00:05:05.000 --> 00:05:06.000]   Oh, I see.
[00:05:06.000 --> 00:05:10.000]   Unfortunately, the watches I found didn't exist or they didn't work.
[00:05:10.000 --> 00:05:12.000]   They don't tell the time, but they do unlock the car.
[00:05:12.000 --> 00:05:13.000]   They didn't look good.
[00:05:13.000 --> 00:05:14.000]   They didn't look good.
[00:05:14.000 --> 00:05:15.000]   Yeah.
[00:05:15.000 --> 00:05:16.000]   But I also love, I don't remember anything else.
[00:05:16.000 --> 00:05:17.000]   I love the way the car feels.
[00:05:17.000 --> 00:05:19.000]   It's a smooth, quiet acceleration.
[00:05:19.000 --> 00:05:20.000]   You almost don't notice.
[00:05:20.000 --> 00:05:26.000]   And it's only supposed to go like 103 miles an hour, but I went down to LA the other day and we got it up to 100 miles an hour.
[00:05:26.000 --> 00:05:29.000]   We got it up to 108 on the flat.
[00:05:29.000 --> 00:05:36.000]   And we used the laser as a piece of technology to clear traffic ahead of us because the trucks are in the slow lane.
[00:05:36.000 --> 00:05:44.000]   You just zoom past them, but occasionally some idiot driver in the left lane and you just shine the laser down in his rear view mirror.
[00:05:44.000 --> 00:05:47.000]   They see a green flash and all they do is hit their brakes and pull over.
[00:05:47.000 --> 00:05:48.000]   Oh my God.
[00:05:48.000 --> 00:05:50.000]   One after another, another will clear day.
[00:05:50.000 --> 00:05:55.000]   At nighttime it's dangerous because if you do it to a cop, you're going to get serious trouble.
[00:05:55.000 --> 00:05:59.000]   The only reason why is I just want to let you know that I actually got a handcuff for doing just that.
[00:05:59.000 --> 00:06:04.000]   I had a red laser and I shined it at someone and they thought it was a gun and they pulled my car over.
[00:06:04.000 --> 00:06:08.000]   The cops pulled me over and they searched the car for a gun and they handcuffed me and put me on the hood.
[00:06:08.000 --> 00:06:09.000]   It was crazy.
