
[00:00:00.000 --> 00:00:02.000]   This week in time.
[00:00:02.000 --> 00:00:12.000]   This is Twit, this week in tech, episode 37 for January 8th, 2005 CES.
[00:00:12.000 --> 00:00:37.000]   [Music]
[00:00:37.000 --> 00:00:41.000]   And we're on Skype because we're all over the place.
[00:00:41.000 --> 00:00:47.000]   John C. Devorak, who never left home, is here from his home in Northern California.
[00:00:47.000 --> 00:00:50.000]   He's the virtual CES columnist.
[00:00:50.000 --> 00:00:54.000]   Kevin Rose and David Prager both went to Las Vegas, but you guys are home now?
[00:00:54.000 --> 00:00:55.000]   Yes.
[00:00:55.000 --> 00:00:57.000]   Oh, that's good.
[00:00:57.000 --> 00:01:02.000]   And so the one remaining fella who is still in Vegas, in fact, he's right now
[00:01:02.000 --> 00:01:07.000]   winning his way to the McCarran Field, the airport, and as soon as he gets there,
[00:01:07.000 --> 00:01:11.000]   he's going to get on Skype and join us is Patrick Norton, who was down there doing
[00:01:11.000 --> 00:01:16.000]   a number of episodes, I think three episodes of his show for as if David's digital life.
[00:01:16.000 --> 00:01:18.000]   He's going to be on the airport Wi-Fi?
[00:01:18.000 --> 00:01:20.000]   Yeah, we'll see how that works.
[00:01:20.000 --> 00:01:26.000]   So David, do you and Kevin do a system down there or any, or a dignity or any, any
[00:01:26.000 --> 00:01:33.000]   things?
[00:01:33.000 --> 00:01:39.000]   So we went there and we did a live recording of "Dig Nation" from the Central Hall on the broadcast.
[00:01:39.000 --> 00:01:41.000]   Oh, come on, not from slots of fun?
[00:01:41.000 --> 00:01:43.000]   No, what if slots of fun would have been cool.
[00:01:43.000 --> 00:01:47.000]   And then actually we got another big thing going on right now.
[00:01:47.000 --> 00:01:52.000]   We had Han Choi and Injuha and Dain Mazota and a few other people out there working to put together a special on CES called "Indigital Your Life in Gear."
[00:01:52.000 --> 00:01:53.000]   That's the name right now.
[00:01:53.000 --> 00:01:57.000]   It's kind of a little pilot episode of what we think might turn into a product show.
[00:01:57.000 --> 00:01:59.000]   But that's exciting.
[00:01:59.000 --> 00:02:01.000]   Yeah, a lot of really good news.
[00:02:01.000 --> 00:02:02.000]   Yeah, that's really excited about it.
[00:02:02.000 --> 00:02:10.000]   And so a lot of the folks that did "Fresh Gear" and then actually a couple of the folks that did some of the filter stuff at G4, at least some of the producers and stuff.
[00:02:10.000 --> 00:02:12.000]   Are they all gone from G4?
[00:02:12.000 --> 00:02:15.000]   To the best of my knowledge, yes.
[00:02:15.000 --> 00:02:19.000]   I know that like there's no lab, there's no lab of any kind at G4.
[00:02:19.000 --> 00:02:21.000]   So you just basically hired the lab?
[00:02:21.000 --> 00:02:25.000]   Well, I don't know if we didn't hire them or didn't hire them yet.
[00:02:25.000 --> 00:02:26.000]   Hire them.
[00:02:26.000 --> 00:02:27.000]   Hire's kind of a fancy word.
[00:02:27.000 --> 00:02:34.000]   Hire is what will happen when we start paying them, when we ultimately monetize the whole thing.
[00:02:34.000 --> 00:02:36.000]   Basically everybody here is working for free too.
[00:02:36.000 --> 00:02:40.000]   Han Choi has actually done a lot of work.
[00:02:40.000 --> 00:02:42.000]   He put a lot of work in to help him organize this stuff.
[00:02:42.000 --> 00:02:43.000]   That's neat.
[00:02:43.000 --> 00:02:46.000]   Well, so once again, more old tech TV guys join the phone.
[00:02:46.000 --> 00:02:48.000]   And that'll go live on Tuesday the 10th.
[00:02:48.000 --> 00:02:51.000]   Tuesday the 10th, you can download it.
[00:02:51.000 --> 00:02:52.000]   Check it out.
[00:02:52.000 --> 00:02:53.000]   That's great.
[00:02:53.000 --> 00:02:54.000]   So that's your CES coverage.
[00:02:54.000 --> 00:02:56.000]   And is that that was also from CES or?
[00:02:56.000 --> 00:02:59.000]   That was from CES and we'll put that up on revision3.com.
[00:02:59.000 --> 00:03:02.000]   John C. Devorek had an interesting idea.
[00:03:02.000 --> 00:03:03.000]   Neither John or I went to Vegas.
[00:03:03.000 --> 00:03:04.000]   I just didn't go because I'm lazy.
[00:03:04.000 --> 00:03:06.000]   But John actually is trying something out.
[00:03:06.000 --> 00:03:08.000]   You're doing a virtual CES?
[00:03:08.000 --> 00:03:11.000]   Yeah, I gave up on the idea of going to CES.
[00:03:11.000 --> 00:03:12.000]   And I'll tell you why.
[00:03:12.000 --> 00:03:15.000]   There's over 6,500 analysts and media people.
[00:03:15.000 --> 00:03:17.000]   They are covering 2,500 booths.
[00:03:17.000 --> 00:03:20.000]   Oh, I mean, it's like over covered.
[00:03:20.000 --> 00:03:24.000]   And so I put up a metasight instead, which is basically I went and looked at all the people
[00:03:24.000 --> 00:03:30.000]   that are linking to CES or that have news about CES, which includes PC magazines,
[00:03:30.000 --> 00:03:34.000]   if Davis, ZeeDeeNet, PCWorld, NGajitGizmodo.
[00:03:34.000 --> 00:03:39.000]   And you go to my site, Devorek.org/CES, and you'll find it.
[00:03:39.000 --> 00:03:40.000]   And that's essentially as far as I'm concerned.
[00:03:40.000 --> 00:03:42.000]   You can get the whole show that way.
[00:03:42.000 --> 00:03:46.000]   And in fact, it's very well covered if you take a look at those particular sites.
[00:03:46.000 --> 00:03:47.000]   And Gajit did an amazing job.
[00:03:47.000 --> 00:03:48.000]   I felt like I saw it.
