
[00:00:00.000 --> 00:00:02.000]   This Week in Time.
[00:00:02.000 --> 00:00:06.600]   This is Twit, this Week in Tech.
[00:00:06.600 --> 00:00:10.900]   Episode 43 for February 26th, 2006.
[00:00:10.900 --> 00:00:12.400]   Oh, yeah.
[00:00:12.400 --> 00:00:38.400]   (Music)
[00:00:38.400 --> 00:00:44.400]   And on the, this is kind of fun. The first time we've used ISDN for it to a Doug K of IT Conversations
[00:00:44.400 --> 00:00:45.400]   It will.
[00:00:45.400 --> 00:00:48.400]   Happens to have a Zephyr as do I.
[00:00:48.400 --> 00:00:52.400]   And that's why Doug sounds like he's in the same room. Plus he has the same microphone.
[00:00:52.400 --> 00:00:53.400]   He had pretty much the same setup.
[00:00:53.400 --> 00:00:56.400]   Yeah, pretty much we could both make the same mistakes.
[00:00:56.400 --> 00:00:57.400]   (Laughs)
[00:00:57.400 --> 00:00:58.400]   And we have.
[00:00:58.400 --> 00:00:59.400]   (Laughs)
[00:00:59.400 --> 00:01:04.400]   Yeah, except that you made them first and then I should be learning from what you're, you've been doing this for years.
[00:01:04.400 --> 00:01:08.400]   Yeah, Doug was just in Hawaii. Were you acquiring more Hawaiian shirts?
[00:01:08.400 --> 00:01:12.400]   I was. That's part of the ritual. It makes it an deductible trip, doesn't it?
[00:01:12.400 --> 00:01:18.400]   I think it should. I was famous for my wacky shirts until Peter Hammersley, the executive producer at Tech TV.
[00:01:18.400 --> 00:01:22.400]   I thought, you know, whatever charm the show had with those shirts, I can't imagine why they'd kill it.
[00:01:22.400 --> 00:01:23.400]   Why would they stop?
[00:01:23.400 --> 00:01:24.400]   It was not great shirts.
[00:01:24.400 --> 00:01:26.400]   That was my trademark. So go back to it now.
[00:01:26.400 --> 00:01:28.400]   I'm going to because nobody can stop me.
[00:01:28.400 --> 00:01:30.400]   Except now I have to re-acquire.
[00:01:30.400 --> 00:01:35.400]   But I'll actually, you should take a picture of the shirt you're wearing during each twit and post that on the wall.
[00:01:35.400 --> 00:01:36.400]   (Laughs)
[00:01:36.400 --> 00:01:37.400]   Make it visual.
[00:01:37.400 --> 00:01:39.400]   That's Patrick Norton blowing his nose in the background.
[00:01:39.400 --> 00:01:44.400]   Allergy season is here and a beautiful noise in California and he's suffering.
[00:01:44.400 --> 00:01:46.400]   I forgot how bad your allergies were.
[00:01:46.400 --> 00:01:50.400]   Well, they're either non-existent or they're completely out of control.
[00:01:50.400 --> 00:01:52.400]   Is it grass? What is it you're allergic to?
[00:01:52.400 --> 00:01:55.400]   Pretty much anything that generates pollen.
[00:01:55.400 --> 00:02:00.400]   So most of what's healthy in the world generates oxygen for the atmosphere.
[00:02:00.400 --> 00:02:01.400]   Trit my allergies.
[00:02:01.400 --> 00:02:04.400]   What makes us feel good kills poor Patrick Norton.
[00:02:04.400 --> 00:02:05.400]   (Laughs)
[00:02:05.400 --> 00:02:07.400]   John C. Devorak is here.
[00:02:07.400 --> 00:02:14.400]   He's allergic to nothing except idiots and the author of the fabulous Devorak Uncensored Devorak.org/blog
[00:02:14.400 --> 00:02:16.400]   off to Germany.
[00:02:16.400 --> 00:02:18.400]   Actually, first to Orlando.
[00:02:18.400 --> 00:02:22.400]   Yeah, the PMA show, the Photo Marketing Association.
[00:02:22.400 --> 00:02:23.400]   Have you been to that before?
[00:02:23.400 --> 00:02:26.400]   Yeah, I used to go every two years to give the same exact speech.
[00:02:26.400 --> 00:02:28.400]   In fact, this year was on the cycle.
[00:02:28.400 --> 00:02:30.400]   The speech was, "film is dead."
[00:02:30.400 --> 00:02:33.400]   But now that film is dead, they don't call me back to do the speech anymore.
[00:02:33.400 --> 00:02:34.400]   (Laughs)
[00:02:34.400 --> 00:02:35.400]   They know it!
[00:02:35.400 --> 00:02:36.400]   I did it for about a decade.
[00:02:36.400 --> 00:02:37.400]   It was pretty funny.
[00:02:37.400 --> 00:02:38.400]   (Laughs)
[00:02:38.400 --> 00:02:41.400]   John, you're really a master of efficiency.
[00:02:41.400 --> 00:02:43.400]   Why rewrite when you couldn't...
[00:02:43.400 --> 00:02:45.400]   So film finally died.
[00:02:45.400 --> 00:02:46.400]   You were right.
[00:02:46.400 --> 00:02:48.400]   I went to PMA last year.
[00:02:48.400 --> 00:02:50.400]   I went to Robin Liss of Camp Quarter Info.
[00:02:50.400 --> 00:02:52.400]   We did some video there.
[00:02:52.400 --> 00:02:53.400]   It's a fun show.
[00:02:53.400 --> 00:02:54.400]   Yeah, it is.
[00:02:54.400 --> 00:02:56.400]   It's a moderately sized show.
[00:02:56.400 --> 00:02:59.400]   It's not huge, but it's big.
[00:02:59.400 --> 00:03:02.400]   All the camera guys are there and they're showing all the newest stuff.
[00:03:02.400 --> 00:03:04.400]   If you like cameras, it's pretty cool.
[00:03:04.400 --> 00:03:06.400]   It was a film show.
[00:03:06.400 --> 00:03:08.400]   It was the Photo Marketing Association.
[00:03:08.400 --> 00:03:12.400]   It really was film and cameras and photographer stuff.
[00:03:12.400 --> 00:03:14.400]   Now it's digital.
[00:03:14.400 --> 00:03:19.400]   Well, they had this little side show that was called a digital camera marketing associate.
[00:03:19.400 --> 00:03:21.400]   Something like that was started with a D.
[00:03:21.400 --> 00:03:25.400]   It was part of the same organization, but they kind of did this little show on the side.
[00:03:25.400 --> 00:03:26.400]   That's how they started.
[00:03:26.400 --> 00:03:27.400]   The DCMA.
