
[00:00:00.000 --> 00:00:02.640]   (whistling)
[00:00:02.640 --> 00:00:06.040]   - All right, three, two, one.
[00:00:06.040 --> 00:00:07.240]   Good afternoon, ladies and gentlemen,
[00:00:07.240 --> 00:00:09.040]   welcome to another edition of "Twit!"
[00:00:09.040 --> 00:00:11.440]   "Twit Number 46" joining us today.
[00:00:11.440 --> 00:00:13.120]   John C. de Vorac, Alex Lindsey,
[00:00:13.120 --> 00:00:15.280]   Roderick Chang, David Prager.
[00:00:15.280 --> 00:00:16.600]   And I'm Patrick Norton.
[00:00:16.600 --> 00:00:20.160]   Leo LaPorte is missing an action last scene somewhere
[00:00:20.160 --> 00:00:23.120]   between Petaluma and Toronto.
[00:00:23.120 --> 00:00:25.700]   (upbeat music)
[00:00:25.700 --> 00:00:28.280]   (upbeat music)
[00:00:28.280 --> 00:00:50.700]   - We've also been sightings in Georgia
[00:00:50.700 --> 00:00:52.100]   in the Lower East Side of Manhattan,
[00:00:52.100 --> 00:00:52.980]   but we won't get into that.
[00:00:52.980 --> 00:00:54.380]   I'm Patrick Norton.
[00:00:54.380 --> 00:00:55.540]   We're gonna start with guys.
[00:00:55.540 --> 00:00:56.380]   What's the big story?
[00:00:56.380 --> 00:00:58.100]   Is it sitting right behind you, Patrick?
[00:00:58.100 --> 00:01:00.740]   - The DOJ, so this is bigger than the DOJ story.
[00:01:00.740 --> 00:01:01.580]   - I don't you think?
[00:01:01.580 --> 00:01:02.420]   - Bigger than the Google--
[00:01:02.420 --> 00:01:03.260]   - Tell me the long enough--
[00:01:03.260 --> 00:01:04.100]   - It's a number of thousands.
[00:01:04.100 --> 00:01:05.660]   - Tell the listeners what I'm pointing to.
[00:01:05.660 --> 00:01:08.540]   - My God, it's a copy of Windows XP running
[00:01:08.540 --> 00:01:10.620]   on a Macintosh Mini.
[00:01:10.620 --> 00:01:11.980]   - On a Macintosh Mini.
[00:01:11.980 --> 00:01:13.140]   - On a Macintosh Mini.
[00:01:13.140 --> 00:01:14.620]   - No graphics drivers.
[00:01:14.620 --> 00:01:16.220]   - It were wireless drivers.
[00:01:16.220 --> 00:01:17.060]   - It worked.
[00:01:17.060 --> 00:01:17.900]   - Network drivers.
[00:01:17.900 --> 00:01:18.740]   - Yeah, but it worked.
[00:01:18.740 --> 00:01:19.580]   - But you can turn it on,
[00:01:19.580 --> 00:01:20.420]   you can move the mouse around.
[00:01:20.420 --> 00:01:22.060]   - But you can play with those native solitaire on it.
[00:01:22.060 --> 00:01:22.900]   - And you can go into the emulator.
[00:01:22.900 --> 00:01:23.740]   - And you can go into the emulator.
[00:01:23.740 --> 00:01:24.580]   - Yeah.
[00:01:24.580 --> 00:01:26.860]   - But can you dual boot yet?
[00:01:26.860 --> 00:01:27.860]   - Yes, really.
[00:01:27.860 --> 00:01:29.580]   - No, that dual boot, when you started up,
[00:01:29.580 --> 00:01:33.180]   when you, this is using the one that was posted
[00:01:33.180 --> 00:01:34.020]   for the 13th-- - The slipstream.
[00:01:34.020 --> 00:01:34.860]   - The slipstream one.
[00:01:34.860 --> 00:01:37.820]   So when you started up, you hit page upper, page down,
[00:01:37.820 --> 00:01:39.980]   and you go OS 10 or Windows,
[00:01:39.980 --> 00:01:42.460]   and then you hit enter, and you're in, you're in,
[00:01:42.460 --> 00:01:43.300]   you're good to go.
[00:01:43.300 --> 00:01:44.460]   - You have two partitions on there.
[00:01:44.460 --> 00:01:45.300]   - Yep.
[00:01:45.300 --> 00:01:47.460]   - And then you, how's it worked?
[00:01:47.460 --> 00:01:49.900]   You manually install each of the operating systems
[00:01:49.900 --> 00:01:51.740]   after you've-- - Yeah, and I will admit
[00:01:51.740 --> 00:01:52.740]   that I didn't do it.
[00:01:52.740 --> 00:01:54.260]   Ben Durbin here did it.
[00:01:54.260 --> 00:01:56.940]   But that was what we were doing for Mac Break,
[00:01:56.940 --> 00:02:00.580]   and he did, he partitioned the drive
[00:02:00.580 --> 00:02:02.820]   and then installed each operating system on each.
[00:02:02.820 --> 00:02:04.820]   - Did you install one first or not?
[00:02:04.820 --> 00:02:08.540]   - I think you, I think you installed the OS 10 version first.
[00:02:08.540 --> 00:02:11.900]   And then, and it's really on that bleeding edge side
[00:02:11.900 --> 00:02:14.140]   of things where two hours before, you know,
[00:02:14.140 --> 00:02:16.700]   we needed it, they did a new patch to work
[00:02:16.700 --> 00:02:17.540]   just with that mini.
[00:02:17.540 --> 00:02:18.820]   - What you needed for?
[00:02:18.820 --> 00:02:19.660]   - The patch?
[00:02:19.660 --> 00:02:20.860]   - No, I mean, what did you need to do this for?
[00:02:20.860 --> 00:02:22.900]   - Oh, we wanted to see if we could do it
[00:02:22.900 --> 00:02:23.980]   while we were shooting Mac Break.
[00:02:23.980 --> 00:02:26.540]   So we were shooting all day, and we were like,
[00:02:26.540 --> 00:02:28.020]   hey, let's see if we can, you know, actually,
[00:02:28.020 --> 00:02:29.900]   it had just come out the day before,
[00:02:29.900 --> 00:02:32.020]   so we wanted to see if we could make it work
[00:02:32.020 --> 00:02:32.860]   before the end of the day.
[00:02:32.860 --> 00:02:35.340]   - So it's using the NT bootloader to swap between?
[00:02:35.340 --> 00:02:37.100]   - I don't know what it's using.
[00:02:37.100 --> 00:02:38.660]   It's using magic.
[00:02:38.660 --> 00:02:40.020]   So, but it's--
[00:02:40.020 --> 00:02:42.220]   - No, I read that most of the work was in configuring
[00:02:42.220 --> 00:02:47.220]   the booting part of Windows to function natively
[00:02:47.220 --> 00:02:50.860]   with what the architecture is based on what,
[00:02:50.860 --> 00:02:53.940]   I guess, the new Pentium processor is doing in the--
[00:02:53.940 --> 00:02:54.980]   - Not Pentium, but--
[00:02:54.980 --> 00:02:58.740]   - I'm just watching you slowly lose momentum in the 70s.
[00:02:58.740 --> 00:02:59.740]   - I think that the--
[00:02:59.740 --> 00:03:02.020]   (laughing)
[00:03:02.020 --> 00:03:04.900]   - Well, one the guy who did the hack, $14,000,
