
[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:32.000]   >> This is Twit. This weekend tech, episode 193,
[00:00:32.000 --> 00:00:34.000]   from May 4th, 2009.
[00:00:34.000 --> 00:00:36.000]   Toodaloo, Toodaloo.
[00:00:36.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:42.000]   >> This weekend tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan to get two free books,
[00:00:45.000 --> 00:00:48.000]   go to Audible.com/Twit2
[00:00:48.000 --> 00:00:53.000]   and follow Audible on Twitter, user ID Audible_com.
[00:00:53.000 --> 00:00:57.000]   And by Go to Meeting.
[00:00:57.000 --> 00:01:00.000]   Picture yourself on a phone call sharing and explaining
[00:01:00.000 --> 00:01:02.000]   something visual with Go to Meeting.
[00:01:02.000 --> 00:01:07.000]   For your free 30-day trial visit GoToMeeting.com/Twit.
[00:01:07.000 --> 00:01:11.000]   [ Music ]
[00:01:11.000 --> 00:01:14.000]   >> Hello everybody, this is Twit, episode 193.
[00:01:14.000 --> 00:01:17.000]   Some great people joining us today to talk about the weeks.
[00:01:17.000 --> 00:01:21.000]   Text stories in a informal and happy-go-lucky fashion,
[00:01:21.000 --> 00:01:24.000]   starting with the happy-go-lucky Dwight Silverman from the
[00:01:24.000 --> 00:01:26.000]   Houston Chronicle.
[00:01:26.000 --> 00:01:28.000]   >> Hello.
[00:01:28.000 --> 00:01:32.000]   >> Is it K-Dwight? Is it kron.com/blog? Is that right?
[00:01:32.000 --> 00:01:37.000]   >> It's blogs.kron.com/techblog.
[00:01:37.000 --> 00:01:40.000]   >> I'm going to change your lower third right now.
[00:01:40.000 --> 00:01:43.000]   And I just want to let you know that all of the stories
[00:01:43.000 --> 00:01:46.000]   we're doing today, I stole from Dwight.
[00:01:46.000 --> 00:01:47.000]   >> Yay!
[00:01:47.000 --> 00:01:48.000]   >> He has a link list.
[00:01:48.000 --> 00:01:51.000]   >> He has a link list that is -- well, I'd like to include
[00:01:51.000 --> 00:01:54.000]   stories that the panelists have already been thinking about
[00:01:54.000 --> 00:01:55.000]   and writing about.
[00:01:55.000 --> 00:01:59.000]   So I also stole stories from Veronica Belmont of
[00:01:59.000 --> 00:02:01.000]   Texilla High Veronica.
[00:02:01.000 --> 00:02:04.000]   >> That's not true. You didn't steal any stories from me.
[00:02:04.000 --> 00:02:07.000]   >> You guys do tech news every day now though, don't you?
[00:02:07.000 --> 00:02:10.000]   >> We do want a daily tip show. It's not tech news.
[00:02:10.000 --> 00:02:12.000]   >> Do you know cover tech news? Yeah, you do a little bit,
[00:02:12.000 --> 00:02:13.000]   don't you?
[00:02:13.000 --> 00:02:15.000]   >> On the weekly show, usually.
[00:02:15.000 --> 00:02:16.000]   >> Yeah.
[00:02:16.000 --> 00:02:19.000]   And then also with us, Harry McCracken of the Technologizer
[00:02:19.000 --> 00:02:21.000]   blog. Hi, Harry.
[00:02:21.000 --> 00:02:22.000]   >> Hey, Leo.
[00:02:22.000 --> 00:02:23.000]   >> How are you?
[00:02:23.000 --> 00:02:24.000]   >> Great. Great to have you back.
[00:02:24.000 --> 00:02:25.000]   >> Nice to be here.
[00:02:25.000 --> 00:02:27.000]   >> I was watching -- I was on, I think, the history channel
[00:02:27.000 --> 00:02:32.000]   the other day watching a history of computing in the '80s.
[00:02:32.000 --> 00:02:35.000]   >> They must show that 100 times a week, because I did that
[00:02:35.000 --> 00:02:38.000]   five years ago, and everywhere I go, people see that.
[00:02:38.000 --> 00:02:39.000]   >> It's a good thing.
[00:02:39.000 --> 00:02:42.000]   >> I've never seen that, but it's the most played thing
[00:02:42.000 --> 00:02:43.000]   I ever did by far.
[00:02:43.000 --> 00:02:45.000]   >> That's really funny.
[00:02:45.000 --> 00:02:47.000]   They're talking about Atari and stuff.
[00:02:47.000 --> 00:02:50.000]   And actually, I thought there was something I got out of it,
[00:02:50.000 --> 00:02:55.000]   frankly, was they were talking about how Atari, the failure
[00:02:55.000 --> 00:02:58.000]   of Atari in the 2600, because it was an open platform.
[00:02:58.000 --> 00:03:01.000]   Atari did what we would today think was the right thing,
[00:03:01.000 --> 00:03:05.000]   which was to allow anybody to develop software for the Atari
[00:03:05.000 --> 00:03:06.000]   platform.
[00:03:06.000 --> 00:03:10.000]   And of course, a lot of crap games were developed, and it
[00:03:10.000 --> 00:03:12.000]   killed the 2600.
[00:03:12.000 --> 00:03:15.000]   And I thought, well, that kind of applies a little bit to today
[00:03:15.000 --> 00:03:16.000]   to the iPhone.
[00:03:16.000 --> 00:03:19.000]   I mean, that's what Apple does with the iPhone.
[00:03:19.000 --> 00:03:22.000]   >> That's actually, Atari 2600 and iPhone is a pretty
[00:03:22.000 --> 00:03:24.000]   interesting comparison in a lot of ways.
[00:03:24.000 --> 00:03:28.000]   >> Well, I mean, it's odd to compare the two, but Apple has
[00:03:28.000 --> 00:03:30.000]   an absolutely closed environment.
[00:03:30.000 --> 00:03:34.000]   And they're doing it for the same reason that Atari didn't do it.
[00:03:34.000 --> 00:03:37.000]   The same reason that Nintendo, looking at Atari, said, "Oh,
[00:03:37.000 --> 00:03:38.000]   we really can't let that happen.
[00:03:38.000 --> 00:03:40.000]   We better license everything."
[00:03:40.000 --> 00:03:44.000]   And as a result, you know, Apple has full control, but they get
[00:03:44.000 --> 00:03:47.000]   a lot of heat from people who say it's not an open platform.
[00:03:47.000 --> 00:03:49.000]   >> Certainly none of the none of today's gaming consoles or
[00:03:49.000 --> 00:03:51.000]   anywhere here is open as the early ones were.
[00:03:51.000 --> 00:03:53.000]   >> No, they learned their lesson.
[00:03:53.000 --> 00:03:55.000]   >> Ah, they all want to make money selling the games, even if
[00:03:55.000 --> 00:03:57.000]   they lose money on the consoles.
[00:03:57.000 --> 00:03:58.000]   >> Right.
[00:03:58.000 --> 00:04:00.000]   Yeah, you know, some of the, some of the games that started on
[00:04:00.000 --> 00:04:05.000]   the Atari 2600 are now starting to show up on the iPhone.
[00:04:05.000 --> 00:04:07.000]   You've seen crazy a lot of these classic games.
[00:04:07.000 --> 00:04:09.000]   >> What goes around comes around.
[00:04:09.000 --> 00:04:10.000]   >> I love that.
[00:04:10.000 --> 00:04:12.000]   I want to see more Coleco vision games on the iPhone
[00:04:12.000 --> 00:04:13.000]   person.
[00:04:13.000 --> 00:04:14.000]   >> The Adam.
[00:04:14.000 --> 00:04:16.000]   >> You know what they, you know what they just released?
[00:04:16.000 --> 00:04:18.000]   If you're an old Mac person, you'll recognize it.
[00:04:18.000 --> 00:04:20.000]   Mist is available for the iPhone.
[00:04:20.000 --> 00:04:23.000]   The full, this shows you how much the platform, how powerful
[00:04:23.000 --> 00:04:26.000]   the iPhone platform, the full game, hundred-something megabytes.
[00:04:26.000 --> 00:04:28.000]   >> It's a huge download.
[00:04:28.000 --> 00:04:29.000]   >> Did you get it already?
[00:04:29.000 --> 00:04:32.000]   >> I didn't get it yet, but I saw the story today actually when
[00:04:32.000 --> 00:04:34.000]   I was going through the delicious links.
[00:04:34.000 --> 00:04:36.000]   I said, "Oh my gosh, I got to get that.
[00:04:36.000 --> 00:04:37.000]   That's so fun."
[00:04:37.000 --> 00:04:38.000]   >> That's so cool.
[00:04:38.000 --> 00:04:40.000]   You must have been pretty little when, when Mist came out.
[00:04:40.000 --> 00:04:41.000]   >> Yeah, wait, here was it.
[00:04:41.000 --> 00:04:42.000]   >> I don't know.
[00:04:42.000 --> 00:04:45.000]   >> You know, 1995 or so, I think, mid-90s.
[00:04:45.000 --> 00:04:46.000]   >> Oh, okay.
[00:04:46.000 --> 00:04:47.000]   >> Okay, I was like 13.
[00:04:47.000 --> 00:04:50.000]   >> It was actually the perfect game for a 13-year-old.
[00:04:50.000 --> 00:04:53.000]   You know, that was exactly right for a 13-year-old.
[00:04:53.000 --> 00:04:56.000]   >> That was the golden age of games on CD-ROM.
[00:04:56.000 --> 00:04:57.000]   >> That's right.
[00:04:57.000 --> 00:04:58.000]   >> Yeah.
[00:04:58.000 --> 00:04:59.000]   >> Which lasted about a minute.
[00:04:59.000 --> 00:05:05.000]   >> Well, and, you know, as a corollary to that, this is the week
[00:05:05.000 --> 00:05:07.000]   that in Carta died.
[00:05:07.000 --> 00:05:08.000]   >> Yeah.
[00:05:08.000 --> 00:05:09.000]   >> Oh.
[00:05:09.000 --> 00:05:10.000]   >> Talk about it.
[00:05:10.000 --> 00:05:12.000]   >> It was sad, actually, because I used that all the time.
[00:05:12.000 --> 00:05:13.000]   >> That was sad.
[00:05:13.000 --> 00:05:17.000]   >> I think my kids grew up going through elementary school using
[00:05:17.000 --> 00:05:21.000]   in Carta on a CD-ROM as a way to study.
[00:05:21.000 --> 00:05:25.000]   And so when it went away, it was kind of like sad for all of us.
[00:05:25.000 --> 00:05:26.000]   >> And it was a great program.
[00:05:26.000 --> 00:05:29.000]   And if you were to do a list to the top 10 best things Microsoft
[00:05:29.000 --> 00:05:33.000]   ever did, I think in Carta would be on that because for the mid-90s,
[00:05:33.000 --> 00:05:34.000]   it was really well done.
[00:05:34.000 --> 00:05:37.000]   >> I used it all the time for schoolwork, definitely.
[00:05:37.000 --> 00:05:39.000]   >> You're making us feel old now.
[00:05:39.000 --> 00:05:40.000]   >> Sorry.
[00:05:40.000 --> 00:05:42.000]   >> I reviewed it back then.
[00:05:42.000 --> 00:05:44.000]   >> I've got that perspective, right?
[00:05:44.000 --> 00:05:47.000]   >> I used it for schoolwork.
[00:05:47.000 --> 00:05:50.000]   Yeah, I mean, what did they start with like funk and wagmills?
[00:05:50.000 --> 00:05:52.000]   They started with like the worst encyclopedia, the one that they
[00:05:52.000 --> 00:05:54.000]   gave away in the grocery store.
[00:05:54.000 --> 00:05:55.000]   And everybody--
[00:05:55.000 --> 00:05:56.000]   >> That was the only one they could license.
[00:05:56.000 --> 00:05:57.000]   >> They licensed everything.
[00:05:57.000 --> 00:05:58.000]   >> They wanted to just everything.
[00:05:58.000 --> 00:05:59.000]   >> They got to go down and--
[00:05:59.000 --> 00:06:00.000]   >> They got to go down.
[00:06:00.000 --> 00:06:02.000]   >> They licensed that and Compton's and a bunch of others,
[00:06:02.000 --> 00:06:03.000]   and they had it on to it.
[00:06:03.000 --> 00:06:04.000]   >> Yeah.
[00:06:04.000 --> 00:06:06.000]   >> They had a great user interface, though, and they were, you know,
[00:06:06.000 --> 00:06:08.000]   the multimedia aspect was great.
[00:06:08.000 --> 00:06:11.000]   Even Wikipedia today does not really do multimedia in the way
[00:06:11.000 --> 00:06:13.000]   that Encarta did 15 years ago.
[00:06:13.000 --> 00:06:15.000]   >> You know, I remember using it a lot like Wikipedia the way I
[00:06:15.000 --> 00:06:18.000]   used Wikipedia now, which was going to an article and then
[00:06:18.000 --> 00:06:21.000]   continuing to browse through related articles and just spending
[00:06:21.000 --> 00:06:24.000]   hours and hours just learning about totally random stuff because
[00:06:24.000 --> 00:06:27.000]   it was, you know, relevant to my interests or just, you know,
[00:06:27.000 --> 00:06:29.000]   something that was cool to see.
[00:06:29.000 --> 00:06:33.000]   >> At the time it came out, there was encyclopedic Britannica
[00:06:33.000 --> 00:06:36.000]   on CD-ROM, but it cost $1,000.
[00:06:36.000 --> 00:06:39.000]   It had no artwork of any type.
[00:06:39.000 --> 00:06:41.000]   >> That was a smart move on their part.
[00:06:41.000 --> 00:06:42.000]   Where are they now?
[00:06:42.000 --> 00:06:43.000]   I guess they're where Encarta is.
[00:06:43.000 --> 00:06:45.000]   It actually didn't really matter.
[00:06:45.000 --> 00:06:46.000]   Nobody needs encyclopedia.
[00:06:46.000 --> 00:06:48.000]   I have a world book encyclopedia right here,
[00:06:48.000 --> 00:06:51.000]   printed world book encyclopedia that I got because I thought
[00:06:51.000 --> 00:06:52.000]   the kids would use it.
[00:06:52.000 --> 00:06:53.000]   No, they never used it.
[00:06:53.000 --> 00:06:55.000]   They use Wikipedia.
[00:06:55.000 --> 00:07:01.000]   What happened, you know, the whole CD-ROM thing was a big flop.
[00:07:01.000 --> 00:07:02.000]   >> Well, not at the time.
[00:07:02.000 --> 00:07:03.000]   >> Well, I don't know.
[00:07:03.000 --> 00:07:04.000]   Was it?
[00:07:04.000 --> 00:07:05.000]   Do I?
[00:07:05.000 --> 00:07:09.000]   I mean, yeah, I mean, we bought, particularly for kids, and
[00:07:09.000 --> 00:07:11.000]   obviously, you know, a lot of games came on.
[00:07:11.000 --> 00:07:16.000]   A lot of the early games, you know, shooters and popular PC
[00:07:16.000 --> 00:07:18.000]   games would not run unless the disc was in.
