
[00:00:00.000 --> 00:00:07.000]   [Music]
[00:00:07.000 --> 00:00:13.000]   This is TWiT.
[00:00:13.000 --> 00:00:22.000]   Bandwidth for This Week in Tech is provided by AOL Music and Spinner.com, where you can get free MP3s, exclusive interviews and more.
[00:00:28.000 --> 00:00:37.000]   This is TWiT, This Week in Tech, Episode 204, for July 20, 2009. Tastes like dirt.
[00:00:37.000 --> 00:00:53.000]   This Week in Tech is brought to you by Audible.com. Sign up for the Platinum Plan and get two free books. Go to Audible.com/Twittoo and follow Audible on Twitter, user ID Audible_com.
[00:00:54.000 --> 00:01:08.000]   And by GoToMyPC. Think remote access to your PC is complicated? Think again. It's easy with GoToMyPC. For your free 30-day trial, visit GoToMyPC.com/Twitt.
[00:01:08.000 --> 00:01:22.000]   And by Squarespace.com, the fast and easy way to publish a high-quality website or blog. For a free trial and 10% off your new account, go to Squarespace.com/Twitt.
[00:01:22.000 --> 00:01:27.000]   [Music]
[00:01:27.000 --> 00:01:39.000]   It's time for TWiT, the show that covers tech news, and I'm back. I want to thank very heartily, very heartily, both Tom Merritt and John C. Dvorak, who filled in while I was gone in China.
[00:01:39.000 --> 00:01:51.000]   And just say that I am exhausted. You're going to hear a very jet-lagged Leo Laporte, but it won't just be me that's jet-lagged, because also joining us today on the show, Mr. Kevin Rhodes.
[00:01:51.000 --> 00:01:54.000]   Mr. Kevin Rhodes, who is also, when did you get back, Kevin?
[00:01:54.000 --> 00:02:00.000]   Two days ago, but I am also jet-lagged and waking up at three in the morning ready to sprint for some reason.
[00:02:00.000 --> 00:02:01.000]   Yeah, me too.
[00:02:01.000 --> 00:02:02.000]   It's the weirdest thing.
[00:02:02.000 --> 00:02:05.000]   Me too. Two o'clock in the morning. I'm going, okay, well, because it's daytime.
[00:02:05.000 --> 00:02:11.000]   Yeah. And you're like, you feel like you want to go outside and run. And then like an hour later, boom, you're back in bed again. It's the strangest thing.
[00:02:11.000 --> 00:02:18.000]   Also with us from the Houston Chronicle and always welcome regular on the show, Dwight Silverman. Good to have you, Dwight.
[00:02:19.000 --> 00:02:21.000]   Thanks. Nice for you to have me, Mr. President.
[00:02:21.000 --> 00:02:31.000]   I am the president. During my absence, without any intervention on my part, I apparently was elected the president of the internet by, was it Tech Republic that did that?
[00:02:31.000 --> 00:02:39.000]   Yes. Yes. I was surprised it wasn't moot in the end, because you know, the four-channers swarmed those things.
[00:02:39.000 --> 00:02:42.000]   Yeah, no, they didn't know about it. Otherwise it would have been moot.
[00:02:43.000 --> 00:02:51.000]   So Mollywood came on strong towards the end, but I, you know, it's because ironic because I'm in China and I can't even get online.
[00:02:51.000 --> 00:02:53.000]   The site was blocked.
[00:02:53.000 --> 00:02:57.000]   You know, it's interesting that you didn't bring a laptop, did you, Kevin?
[00:02:57.000 --> 00:02:59.000]   No, I did not. Just the iPhone with data plan.
[00:02:59.000 --> 00:03:07.000]   You did a very different thing. I did the tourist thing. I went to Beijing and Xi'an and I went to Guilin. You went on a tea tour.
[00:03:08.000 --> 00:03:17.000]   Yeah, I was in Beijing for a couple days, but then I flew into Kunming and then was out for a week and a half traveling around the Yunnan province.
[00:03:17.000 --> 00:03:20.000]   First of all, Beijing. Could you believe that city?
[00:03:20.000 --> 00:03:34.000]   Insane. You looked, you were like driving around and it was so modern and beautiful and Lamborghini dealerships and just, I can't believe how it just, it seems like you're in Los Angeles or something.
[00:03:35.000 --> 00:03:40.000]   I fully expected a bunch of people in Mao coats and Mao hats on bicycles jamming the street.
[00:03:40.000 --> 00:03:45.000]   And no, this is exactly like LA or maybe even more vital.
[00:03:45.000 --> 00:03:54.000]   You know, we stayed on Chang'an, which is the main drag, just a couple of blocks from Tiananmen Square and went around the corner and it's hopping.
[00:03:54.000 --> 00:03:57.000]   I feel like we're in Times Square on a Friday night.
[00:03:58.000 --> 00:04:05.000]   Big and big screens, a little Blade Runner-ish because they're big screen ads everywhere, gigantic screens. McDonald's, Kentucky Fried Chicken.
[00:04:05.000 --> 00:04:11.000]   But right across the street from McDonald's, there's a booth with a guy selling deep fat fried scorpions.
[00:04:11.000 --> 00:04:12.000]   Right.
[00:04:12.000 --> 00:04:14.000]   It's a wild country.
[00:04:14.000 --> 00:04:15.000]   It is.
[00:04:15.000 --> 00:04:18.000]   And a country on the move. I really, really enjoyed it.
[00:04:18.000 --> 00:04:24.000]   I imagine you did. You were with farmers though. You were really in the countryside.
[00:04:25.000 --> 00:04:43.000]   Yeah, I mean we were in kind of the rainforest area, just out in the middle of nowhere, about two days away from any major airport and just going around and kind of decompressing and meeting with different people that are creating different types of tea and going to tea factories and tasting tea and just relaxing.
[00:04:43.000 --> 00:04:45.000]   Did you have a translator with you? How'd you?
[00:04:45.000 --> 00:04:47.000]   Yeah, yeah, we had a translator with us.
[00:04:47.000 --> 00:04:52.000]   So I was also with Tim Ferriss, who also speaks Chinese, so that made it, or Mandarin, so that made it easy.
[00:04:52.000 --> 00:04:54.000]   Oh, that really, that helps a lot. Yeah.
[00:04:54.000 --> 00:04:55.000]   Wow, that's neat. What fun.
[00:04:55.000 --> 00:04:58.000]   It was fun. We both had a good time. It's great.
[00:04:58.000 --> 00:05:01.000]   So had I known you were going to be out there, we would have met up.
[00:05:01.000 --> 00:05:05.000]   No, you were very far away. I mean, it's like being in California and New York.
[00:05:05.000 --> 00:05:07.000]   I mean, it's a big...
[00:05:07.000 --> 00:05:09.000]   I'm wondering if we were in Beijing at the same time.
[00:05:09.000 --> 00:05:11.000]   We might have been.
[00:05:11.000 --> 00:05:12.000]   Yeah, I don't know.
[00:05:12.000 --> 00:05:14.000]   I was in Beijing July 4th, 5th, and 6th and 7th.
[00:05:14.000 --> 00:05:17.000]   Ah, I would think I was there the 5th.
[00:05:17.000 --> 00:05:20.000]   Oh man, that would have been so funny. I kept looking for you.
[00:05:21.000 --> 00:05:24.000]   I kept thinking, I wonder if Kevin's going to come around a corner and I'll jump out of my seat.
[00:05:24.000 --> 00:05:26.000]   That would have been so strange.
[00:05:26.000 --> 00:05:28.000]   It was an amazing experience.
[00:05:28.000 --> 00:05:33.000]   But yeah, talking about censorship, when we got there, you couldn't get to YouTube.
[00:05:33.000 --> 00:05:35.000]   Right.
[00:05:35.000 --> 00:05:47.000]   By the time we left, because I think of the Uyghur uprising, they had blocked Twitter, FriendFeed, Facebook as well.
[00:05:48.000 --> 00:05:54.000]   And I don't know if you probably didn't see any TV, but CNN, if a story that they didn't like came on, they just black it out.
[00:05:54.000 --> 00:05:59.000]   You know what the craziest thing was? My friend Tim had his laptop with him.
[00:05:59.000 --> 00:06:01.000]   So he would turn it on every once in a while.
[00:06:01.000 --> 00:06:03.000]   And I had my iPhone with the data plan.
[00:06:03.000 --> 00:06:08.000]   So I would jump on the iPhone and I could pull up my Twitter feed and access it just fine.
[00:06:08.000 --> 00:06:15.000]   But if I went to his laptop, because it was using HTTP and it wasn't using the API, I couldn't get to Twitter.
[00:06:16.000 --> 00:06:20.000]   So I could still access Twitter and Facebook through the API calls on my phone.
[00:06:20.000 --> 00:06:22.000]   It was just the normal web service that they were blocking.
[00:06:22.000 --> 00:06:25.000]   They figured it out eventually because they stopped working on the phone as well.
[00:06:25.000 --> 00:06:27.000]   Oh, did it?
[00:06:27.000 --> 00:06:31.000]   Yeah, that was strange. It was the weirdest thing because I was sitting there pulling it up and he was unable to get to it.
[00:06:31.000 --> 00:06:36.000]   Well, in a way, it's a real pat on the back for FriendFeed that they even heard of FriendFeed.
[00:06:36.000 --> 00:06:44.000]   I was still able to post a video to Twitter using a brand new service.
[00:06:45.000 --> 00:06:46.000]   It takes them a while to figure out.
[00:06:46.000 --> 00:06:49.000]   There was a service called Twittreal that lets you post videos.
[00:06:49.000 --> 00:06:51.000]   I was able to post that way.
[00:06:51.000 --> 00:06:53.000]   And then I was using Posterous to post to YouTube.
[00:06:53.000 --> 00:06:57.000]   So I would email a video to Posterous and it would cross post.
[00:06:57.000 --> 00:06:59.000]   They couldn't block that.
[00:06:59.000 --> 00:07:01.000]   And that just shows you how impossible it was.
[00:07:01.000 --> 00:07:03.000]   We saw this in Iran. You can't block this stuff.
[00:07:03.000 --> 00:07:05.000]   Well, you know what's funny is I sent out a…
[00:07:05.000 --> 00:07:08.000]   On our last day there, we did a little tweet meetup.
[00:07:08.000 --> 00:07:13.000]   And so I sent out a message saying, "Hey, if anyone's in Beijing, come out and meet with us."
[00:07:14.000 --> 00:07:16.000]   And 15 people showed up, yet Twitter was being blocked.
[00:07:16.000 --> 00:07:18.000]   And we asked them, "How did you find out about this?"
[00:07:18.000 --> 00:07:21.000]   And they're like, "Oh, you just have to know what you're doing."
[00:07:21.000 --> 00:07:23.000]   The geeks know.
[00:07:23.000 --> 00:07:25.000]   The geeks totally know how to do it.
[00:07:25.000 --> 00:07:27.000]   These guys are like, "Oh, we just use proxies and yeah, it's not a big deal."
[00:07:27.000 --> 00:07:29.000]   My sense, I'm curious if this is your sense.
[00:07:29.000 --> 00:07:31.000]   And we'll talk about the news in just a bit, Dwight.
[00:07:31.000 --> 00:07:33.000]   Don't worry.
[00:07:33.000 --> 00:07:37.000]   Dwight's been the keeper of the news all this week because we haven't paid any attention.
[00:07:37.000 --> 00:07:39.000]   I've been holding down the fort.
[00:07:39.000 --> 00:07:41.000]   There's quite a bit of news we're going to talk about.
[00:07:42.000 --> 00:07:44.000]   But this is newsworthy too.
[00:07:44.000 --> 00:07:51.000]   My sense of it was that the vast majority of the Chinese populace doesn't really care.
[00:07:51.000 --> 00:07:59.000]   As long as they're on an economic upturn, which they seem to be despite the world global meltdown,
[00:07:59.000 --> 00:08:06.000]   as long as everything's going fine, they don't care that they're not seeing that CNN story or missing Twitter or Facebook.
[00:08:07.000 --> 00:08:12.000]   I don't think they even know though because we asked our translator whether he was aware of blocking.
[00:08:12.000 --> 00:08:15.000]   He's like, "Well, I know they block pornography."
[00:08:15.000 --> 00:08:20.000]   Then there was a few other people on the tour that we asked about it.
[00:08:20.000 --> 00:08:23.000]   They're like, "Yeah, well, there's just bad sites that they block."
[00:08:23.000 --> 00:08:27.000]   I'm like, "Well, actually there's normal sites that they block too."
[00:08:27.000 --> 00:08:30.000]   They didn't seem to know or really care, which was weird to me.
[00:08:30.000 --> 00:08:32.000]   Well, I think also the guides.
[00:08:33.000 --> 00:08:37.000]   I talked to one of our guides about drug use and she said, "What do you mean?"
[00:08:37.000 --> 00:08:39.000]   I said, "Marijuana." She said, "I never heard of marijuana."
[00:08:39.000 --> 00:08:46.000]   There's a certain amount of, especially from the guides, intentional misrepresentation.
[00:08:46.000 --> 00:08:51.000]   However, I think that it's very, and I have to draw it parallel to the American public too.
[00:08:51.000 --> 00:08:53.000]   That's not just Chinese public.
[00:08:53.000 --> 00:08:57.000]   As long as everything's going fine, they don't know who can get out.
[00:08:57.000 --> 00:08:59.000]   So what? Big deal.
[00:08:59.000 --> 00:09:01.000]   I got a car. I got a microwave.
[00:09:02.000 --> 00:09:04.000]   I'm fat and happy. I don't care if I can't get to Twitter.
[00:09:04.000 --> 00:09:09.000]   The truth is it doesn't really make that much difference in terms of-
[00:09:09.000 --> 00:09:11.000]   It doesn't matter. The geeks know how to get to it anyway.
[00:09:11.000 --> 00:09:14.000]   We would have no problem there, Leo. I think it's all our favorite sites.
[00:09:14.000 --> 00:09:16.000]   Exactly.
[00:09:16.000 --> 00:09:18.000]   But you'd be state criminals.
[00:09:18.000 --> 00:09:20.000]   Well, that's the other thing.
[00:09:20.000 --> 00:09:22.000]   I have to say I love China.
[00:09:22.000 --> 00:09:26.000]   It's amazing what a economic tiger they are.
[00:09:26.000 --> 00:09:30.000]   Some say a paper tiger, but that's a conversation for another time.
[00:09:31.000 --> 00:09:35.000]   It is a little scary when you think of the control that these hidden-
[00:09:35.000 --> 00:09:37.000]   I mean, these guys are basically hidden.
[00:09:37.000 --> 00:09:40.000]   It's not like the Mao cult where there's pictures of them everywhere.
[00:09:40.000 --> 00:09:48.000]   I mean, Jiang Jemin, people know who he is, but you don't get the sense of them being important in day-to-day life, the fact that they're doing all this.
[00:09:48.000 --> 00:09:51.000]   I wonder if 4chan is blocked in China.
[00:09:51.000 --> 00:09:53.000]   I bet it is.
[00:09:53.000 --> 00:09:58.000]   Dvorak is, by the way, dvorak.org/blog blocked.
[00:09:59.000 --> 00:10:02.000]   Did you all see the pollution that's supposed to be so bad there?
[00:10:02.000 --> 00:10:04.000]   Was it really as bad as-
[00:10:04.000 --> 00:10:06.000]   Horrible. It's horrendous.
[00:10:06.000 --> 00:10:08.000]   In Beijing, you can't see five feet.
[00:10:08.000 --> 00:10:17.000]   Yeah. In Beijing, the day that I was there, it was 100 to 150 yards max, and then everything just disappears.
[00:10:17.000 --> 00:10:27.000]   I've been told 400,000 people a year die of pollution-related illnesses, chiefly lung disease. 400,000 a year.
[00:10:28.000 --> 00:10:43.000]   Yeah, we were trying to fly from Kunming into Beijing, and they actually delayed our flight by six hours because they said there's certain pollution restrictions, and they only allow so many planes in per day, and they'd already reached that level of pollution, and so they had to hold off and delay our flight. It was crazy.
[00:10:45.000 --> 00:11:00.000]   So, I have a little story to tell about AT&T. Did you see MG Sigler's article in TechCrunch? How did he put it? AT&T, a steaming-
[00:11:00.000 --> 00:11:02.000]   Big steaming pile of fail.
[00:11:03.000 --> 00:11:20.000]   AT&T, I bought the 100 megabyte international roaming data plan for $110, something like that, knowing that I was going to be doing a lot of blogging and posting and so forth. I watched carefully my usage meter on the iPhone because it's five bucks a megabyte if you go over.
[00:11:21.000 --> 00:11:35.000]   And I got to 100.1 megabytes, and I turned off 3G and turned off roaming. In fact, I'm looking at my usage right now, and even since I've come home, it's only gone to like 103 megabytes. Call AT&T when I get back, they said, "Yeah, it went to 251."
[00:11:35.000 --> 00:11:45.000]   The phone was off by 250%, and I have a $750 bill, and I don't understand how come the phone, they even tell you to use the phone to watch your usage.
[00:11:45.000 --> 00:11:49.000]   So, I have to, I'm with MG Sigler on this one.
[00:11:49.000 --> 00:11:50.000]   Not so happy.
[00:11:50.000 --> 00:11:52.000]   That's strange.
[00:11:52.000 --> 00:11:56.000]   Not so happy. You didn't use it much. You weren't posting or anything.
[00:11:56.000 --> 00:12:00.000]   I did. I did post some stuff. I was mostly-
[00:12:00.000 --> 00:12:02.000]   Did you buy an international data plan?
[00:12:02.000 --> 00:12:06.000]   I don't know. I didn't set that up. Somebody else set that up for me.
[00:12:06.000 --> 00:12:10.000]   I'm sure they did. Because that's a very expensive other one.
[00:12:11.000 --> 00:12:20.000]   We have, the cell phone's all covered through work, so they set up all the plans. I'm sure they did, yeah. It's probably smart for them to do.
[00:12:20.000 --> 00:12:24.000]   All right. Let's get to our tech stories. We've got a lot of them. Some big stories while you and I were gone.
[00:12:24.000 --> 00:12:33.000]   I'm sure we covered this last week, Google's new operating system, which got a lot of press for reasons I'm not fully clear about.
[00:12:33.000 --> 00:12:38.000]   That was one big story. Microsoft tried to counter with Office 2010, another big story.
[00:12:39.000 --> 00:12:45.000]   Then business, the quarterly results are starting to come out for the tech industry and a grim outlook there.
[00:12:45.000 --> 00:12:50.000]   Before we do all of that, I do want to mention our friends at Squarespace. I know you use Squarespace, Kevin, for your blog.
[00:12:50.000 --> 00:12:52.000]   I do indeed.
[00:12:52.000 --> 00:12:59.000]   I'm just blown away by these guys. They're very smart. They know what they're doing. We have a special deal. I think you do also on Dignation.
[00:13:00.000 --> 00:13:09.000]   If you go to squarespace.com/twit, you can get, well, you can sign up and use it for free without a credit card anyway.
[00:13:09.000 --> 00:13:14.000]   But then if you decide to stick around 10% off when you use the coupon code TWIT.
[00:13:14.000 --> 00:13:16.000]   How long have you been using Squarespace?
[00:13:16.000 --> 00:13:18.000]   Probably about two years now.
[00:13:18.000 --> 00:13:19.000]   What?
[00:13:19.000 --> 00:13:20.000]   Something like that.
[00:13:20.000 --> 00:13:22.000]   You've known about them that long?
[00:13:23.000 --> 00:13:31.000]   They approached us a long time ago and the funny thing about it is like you do on your show, we get a lot of sponsors that come in for an episode or two and then leave.
[00:13:31.000 --> 00:13:35.000]   The Squarespace guys came in and they said, "We want to show you the product we're working on."
[00:13:35.000 --> 00:13:39.000]   They didn't want us just to be reading copy. They actually wanted to show us their service.
[00:13:39.000 --> 00:13:40.000]   I was impressed.
[00:13:40.000 --> 00:13:43.000]   They sat us down and they showed us what they had built and it was cool stuff.
[00:13:43.000 --> 00:13:48.000]   I had a few of my stories get on dig and some of the other sites and it didn't fall over.
[00:13:48.000 --> 00:13:50.000]   I was pretty happy with that.
[00:13:50.000 --> 00:13:52.000]   You're a good test for that.
[00:13:52.000 --> 00:13:53.000]   They were happy to have me test it out.
[00:13:53.000 --> 00:13:56.000]   I think they were a little worried the first time but they didn't have any problems.
[00:13:56.000 --> 00:14:03.000]   They do this interesting kind of virtual server stuff that lets them turn on bandwidth kind of at will.
[00:14:03.000 --> 00:14:11.000]   It's all done with Java and very slick because you're not on a single server.
[00:14:11.000 --> 00:14:17.000]   You're shared across the Squarespace kind of cloud and if they need more bandwidth they just respond instantly with it.
[00:14:17.000 --> 00:14:19.000]   So it's really good for that kind of thing.
[00:14:20.000 --> 00:14:26.000]   If you are an existing blogger, it includes complete import and export for WordPress, Blogger, Movable Type and Type Pad.
[00:14:26.000 --> 00:14:29.000]   Now when I say import and export, that's important.
[00:14:29.000 --> 00:14:32.000]   I don't want you to feel like you're in a Roach Motel. You can't get out.
[00:14:32.000 --> 00:14:35.000]   So you can get your stuff in there. Play with it. Amazing.
[00:14:35.000 --> 00:14:37.000]   Did you do your design or did they do one for you?
[00:14:37.000 --> 00:14:39.000]   I did my own design.
[00:14:39.000 --> 00:14:41.000]   Isn't it cool how you can drag and drop stuff?
[00:14:41.000 --> 00:14:44.000]   You should see what they have coming. Have you seen their new stuff?
[00:14:44.000 --> 00:14:45.000]   No.
[00:14:46.000 --> 00:14:50.000]   Well, they have something coming really soon that's going to be pretty awesome. It sounds like I'm saying an ad, but I'm not.
[00:14:50.000 --> 00:14:54.000]   I was actually in New York a couple weeks ago and they showed me some of the stuff that they were working on.
[00:14:54.000 --> 00:14:58.000]   Dane and Anthony are really cool. Really neat guys. Just impressive as heck.
[00:14:58.000 --> 00:15:01.000]   Well, I mean that's the ad. We don't have to say much more.
[00:15:01.000 --> 00:15:04.000]   You can try it out by going to squarespace.com/twit.
[00:15:04.000 --> 00:15:09.000]   Give it a try. Not just for blogs. They've got forums. They've got photo galleries.
[00:15:10.000 --> 00:15:17.000]   Amber's significant other, Chris Dick, uses it for... he's a photographer, brilliant photographer, uses it for photo gallery. It is gorgeous.
[00:15:17.000 --> 00:15:21.000]   Google Maps built in. Amazing stats package and website tracking.
[00:15:21.000 --> 00:15:30.000]   You're just going to love it. Squarespace.com/twit for a 10% off your new account.
[00:15:30.000 --> 00:15:35.000]   As well use the Twit coupon code. And we thank them so much for supporting this week in tech.
