
[00:00:00.000 --> 00:00:03.080]   It's time for pizza also twitch
[00:00:03.080 --> 00:00:10.720]   John C. Devorak Harry McCracken Dwight Silverman are here to discuss the Facebook IPO and some guy who built a motorcycle in the desert
[00:00:10.720 --> 00:00:13.020]   Really there's a story there. It's coming up next
[00:00:13.020 --> 00:00:21.000]   Netcasts you love from people you trust
[00:00:21.000 --> 00:00:26.800]   This is to it
[00:00:27.720 --> 00:00:34.920]   Audio bandwidth for this weekend tech is provided by the new win app for Android featuring wireless sync and one-click iTunes
[00:00:34.920 --> 00:00:42.160]   Import now with free daily music downloads and full-length CD listening parties download it for free at winamp.com
[00:00:42.160 --> 00:00:50.040]   Slash Android video bandwidth for Twitter is provided by cash fly at CAC HE FLY calm
[00:00:55.440 --> 00:00:58.580]   This is to it this weekend tech episode
[00:00:58.580 --> 00:01:01.200]   355 recorded May 27th
[00:01:01.200 --> 00:01:02.640]   2012
[00:01:02.640 --> 00:01:04.640]   Where's the pellet green o?
[00:01:04.640 --> 00:01:09.840]   This weekend tech is brought to you by go to meeting with HD faces from citrus
[00:01:09.840 --> 00:01:15.440]   All you need is a webcam and a click to turn your online meeting into a high definition video conference
[00:01:15.440 --> 00:01:21.080]   Meet with clients and colleagues anywhere in the world even from an iPad try it free for 30 days right now
[00:01:21.080 --> 00:01:25.280]   Visit go to meeting calm click the try it free button use the offer code twit
[00:01:25.520 --> 00:01:26.720]   and by
[00:01:26.720 --> 00:01:34.360]   Ford giving customers the power of choice with a full line of electric and hybrid electric vehicles learn more about Ford electric vehicle
[00:01:34.360 --> 00:01:39.200]   Technologies at Ford dot com slash technology and by
[00:01:39.200 --> 00:01:45.560]   Audible dot com sign up for the platinum plan and get two free books visit audible dot com slash twit
[00:01:45.560 --> 00:01:50.000]   Two and don't forget to follow audible on Twitter user ID audible underscore
[00:01:51.000 --> 00:01:57.800]   And buy square space dot com the fast and easy way to create a high quality website of blog for a free trial
[00:01:57.800 --> 00:02:03.800]   And 10% off your first purchase on new accounts go to squarespace dot com and use the offer code twit
[00:02:03.800 --> 00:02:09.240]   Five and don't forget they now offer free domain registration with annual plan subscriptions
[00:02:09.240 --> 00:02:19.200]   It's time for twins this weekend tech a great panel assembled I don't know though
[00:02:19.200 --> 00:02:23.000]   I don't know last week was such a hit with Adam Curry
[00:02:23.000 --> 00:02:28.600]   We had we had the crackpot now. We got the buzzkill John C. Devorix back that'd be me
[00:02:28.600 --> 00:02:30.240]   I get email every day
[00:02:30.240 --> 00:02:35.360]   It says I check the lineup to see if John's gonna be on and then it's funny because that that like is stock and then
