
[00:00:00.000 --> 00:00:04.400]   It's time for Twit this week in Tech and what a week this has been.
[00:00:04.400 --> 00:00:09.360]   This may be, I don't know, start your stop watches, the longest Twit ever.
[00:00:09.360 --> 00:00:13.880]   But John C. de Vorax here, Natalie Morris, Denise Howell, we'll talk about the Arial
[00:00:13.880 --> 00:00:20.800]   decision, the new FCC rules, big earnings for Apple, but the iPad is down.
[00:00:20.800 --> 00:00:21.800]   What's going on?
[00:00:21.800 --> 00:00:27.200]   The week's Tech News next on Twit.
[00:00:27.200 --> 00:00:36.720]   This is Twit.
[00:00:36.720 --> 00:00:47.840]   Bandwidth for this week in Tech is provided by CashFly at C-A-C-H-E-F-L-Y.com.
[00:00:47.840 --> 00:00:54.640]   This is Twit this week in Tech, Episode 455, recorded April 27, 2014.
[00:00:54.640 --> 00:00:56.480]   Bagel Shop Lopher.
[00:00:56.480 --> 00:01:00.680]   This week, Tech is brought to you by Nature Box where you can order great tasting healthy
[00:01:00.680 --> 00:01:03.280]   snacks delivered right to your door.
[00:01:03.280 --> 00:01:07.720]   Forget the vending machine and get in shape with healthy delicious treats like chili lime
[00:01:07.720 --> 00:01:08.720]   pistachios.
[00:01:08.720 --> 00:01:09.720]   Oh baby!
[00:01:09.720 --> 00:01:15.280]   To get 50% off your first box, go to naturebox.com/twit.
[00:01:15.280 --> 00:01:20.480]   And buy Gazelle, the fast and simple way to sell your used gadgets.
[00:01:20.480 --> 00:01:26.120]   Find out what your used Apple and Android devices are worth right now at gazelle.com.
[00:01:26.120 --> 00:01:31.080]   Start using your time more effectively with stamps.com.
[00:01:31.080 --> 00:01:35.200]   Use stamps.com to buy and print real U.S. postage, the instant you need it right from
[00:01:35.200 --> 00:01:36.200]   your desk.
[00:01:36.200 --> 00:01:40.880]   For our special offer, go to stamps.com, click the microphone and enter Twit.
[00:01:40.880 --> 00:01:46.880]   And buy GoToMeeting with HD Faces from Citrix, the powerfully simple way to meet with co-workers
[00:01:46.880 --> 00:01:48.640]   and clients anywhere.
