
[00:00:00.000 --> 00:00:02.000]   It's time for Twit.
[00:00:02.000 --> 00:00:06.040]   This week at Tech John C. Devorek joins Dan Gilmore and Matthew Ingram to talk about the
[00:00:06.040 --> 00:00:11.600]   week story, the Oracle Google decision, big one for the internet, the FCC open internet
[00:00:11.600 --> 00:00:14.160]   decision, the votes coming Wednesday.
[00:00:14.160 --> 00:00:20.040]   And I believe that you have been lied to about the Apple Beats acquisition.
[00:00:20.040 --> 00:00:24.720]   I'll explain why next on Twit.
[00:00:24.720 --> 00:00:34.400]   This is Twit.
[00:00:34.400 --> 00:00:45.600]   Bandwidth for this week in Tech is provided by CashFly at CACHEFLY.com.
[00:00:45.600 --> 00:00:54.480]   This is Twit, this week in Tech, Episode 457, recorded May 11, 2014, hopped up on goofballs.
[00:00:54.480 --> 00:01:00.280]   This week in Tech is brought to you by GoToMeeting from Citrix with HD Faces, the powerful, simple
[00:01:00.280 --> 00:01:03.200]   way to meet with coworkers and clients anywhere.
[00:01:03.200 --> 00:01:08.520]   Share the same screen and see each other face to face with HD video conferencing, even present
[00:01:08.520 --> 00:01:09.880]   from an iPad.
[00:01:09.880 --> 00:01:12.280]   Start your 30 day free trial of GoToMeeting today.
[00:01:12.280 --> 00:01:17.400]   Visit GoToMeeting.com, click the try it free button, and use the promo code TWIT.
[00:01:17.400 --> 00:01:20.000]   And buy Stamps.com.
[00:01:20.000 --> 00:01:24.400]   Use Stamps.com to buy and print real U.S. postage, the instant you need it, right from
[00:01:24.400 --> 00:01:25.400]   your desk.
[00:01:25.400 --> 00:01:30.600]   To get my special offer, go to Stamps.com, click the microphone, and enter Twit.
[00:01:30.600 --> 00:01:32.240]   And buy Carbonite.
[00:01:32.240 --> 00:01:36.320]   Whether you have one computer at home or several of your small business, Carbonite backs up
[00:01:36.320 --> 00:01:39.560]   your files to the cloud automatically and continually.
[00:01:39.560 --> 00:01:42.880]   Plus, access your files anytime, anywhere with a free app.
[00:01:42.880 --> 00:01:47.200]   Start your free trial at Carbonite.com, no credit card required, and use the offer code
[00:01:47.200 --> 00:01:50.240]   TWIT to get two bonus months with purchase.
[00:01:50.240 --> 00:01:54.800]   And buy Gazelle, the fast and simple way to sell your used gadgets.
[00:01:54.800 --> 00:01:59.600]   Find out what your used Apple or Android device is worth at Gazelle.com.
[00:01:59.600 --> 00:02:06.720]   It's time for Twit this week, and Tech to show the covers of the week's Tech News.
[00:02:06.720 --> 00:02:08.240]   And this was the week that was.
[00:02:08.240 --> 00:02:09.760]   We'll talk about it in a second.
[00:02:09.760 --> 00:02:11.160]   First hello to John C. de Vorac.
[00:02:11.160 --> 00:02:12.160]   Hello.
[00:02:12.160 --> 00:02:13.360]   Who's stressing down once again.
[00:02:13.360 --> 00:02:15.240]   You're getting worse and worse.
[00:02:15.240 --> 00:02:16.520]   You look like you just woke up.
[00:02:16.520 --> 00:02:17.520]   I did.
[00:02:17.520 --> 00:02:18.520]   Are you wearing jammies?
[00:02:18.520 --> 00:02:19.520]   I got these things.
[00:02:19.520 --> 00:02:22.680]   It's kind of a quasi-old man hipster look.
[00:02:22.680 --> 00:02:23.680]   You're doing that now.
[00:02:23.680 --> 00:02:24.680]   Hey.
[00:02:24.680 --> 00:02:26.280]   Hey, I like you kids.
[00:02:26.280 --> 00:02:28.280]   John is my...
[00:02:28.280 --> 00:02:32.480]   I'm touching him and he's leaning away.
[00:02:32.480 --> 00:02:34.000]   John is my old old buddy.
[00:02:34.000 --> 00:02:35.880]   Guy who got me started in this business.
[00:02:35.880 --> 00:02:36.880]   Oh yeah.
[00:02:36.880 --> 00:02:37.880]   I owe you.
[00:02:37.880 --> 00:02:38.880]   Yeah, you do.
[00:02:38.880 --> 00:02:39.880]   I do.
[00:02:39.880 --> 00:02:40.880]   You can write a check.
[00:02:40.880 --> 00:02:41.880]   I will.
[00:02:41.880 --> 00:02:46.640]   Also with his Matthew Ingram just back from Perugia and New Orleans.
[00:02:46.640 --> 00:02:47.640]   From Giga.
[00:02:47.640 --> 00:02:48.640]   Oh.
[00:02:48.640 --> 00:02:49.640]   What is his deal?
[00:02:49.640 --> 00:02:53.160]   You guys had a conference in Italy and then had a conference in New Orleans?
[00:02:53.160 --> 00:02:55.880]   Actually the one in Italy was put on by someone else.
[00:02:55.880 --> 00:02:57.720]   It's the International Journalism Festival.
[00:02:57.720 --> 00:02:58.720]   Ah, fun.
[00:02:58.720 --> 00:03:02.400]   And then we had a gig home editorial offsite in New Orleans.
[00:03:02.400 --> 00:03:03.800]   On the way back.
[00:03:03.800 --> 00:03:04.800]   On the way back.
[00:03:04.800 --> 00:03:05.800]   Yeah.
[00:03:05.800 --> 00:03:10.040]   God, how do I get invited to the International Journalists Go Forum?
