
[00:00:00.000 --> 00:00:05.280]   It's time for "Dwight" this weekend tech, Aaron Griffith from fortune.com is here along
[00:00:05.280 --> 00:00:07.320]   with Owen J. J. Stone and Larry Maggett.
[00:00:07.320 --> 00:00:15.600]   We get a lot to talk about Ahmed's clock bomb, the new WatchOS 2.0, iOS 9, the new iPhones,
[00:00:15.600 --> 00:00:20.160]   why they may or may not be better than Android, and a whole lot more until coming up next
[00:00:20.160 --> 00:00:21.160]   on "Dwight."
[00:00:21.160 --> 00:00:32.600]   Netcast you love.
[00:00:32.600 --> 00:00:34.280]   This is "Dwight."
[00:00:34.280 --> 00:00:45.960]   Bandwidth for this weekend tech is provided by "Cash Fly" at CACHEFLY.com.
[00:00:45.960 --> 00:00:53.320]   This is "Twit" this weekend tech, Episode 528, recorded Sunday, September 20, 2015.
[00:00:53.320 --> 00:00:55.980]   The Artisanal Mike Stan.
[00:00:55.980 --> 00:01:01.960]   This weekend tech is brought to you by Lynda.com, the online learning platform with over 3,000
[00:01:01.960 --> 00:01:07.360]   on-demand video courses to help you strengthen your business, technology, and creative skills
[00:01:07.360 --> 00:01:08.840]   for a free 10-day trial.
[00:01:08.840 --> 00:01:09.920]   Visit Lynda.com/Twit2.
[00:01:09.920 --> 00:01:17.600]   That's L-Y-N-D-A.com/Twit2.
[00:01:17.600 --> 00:01:19.800]   And buy Audible.com.
[00:01:19.800 --> 00:01:25.160]   Sign up for the Platinum Plan and get two free books, go to Audible.com/Twit2 and don't forget
[00:01:25.160 --> 00:01:30.440]   to follow Audible on Twitter, user ID Audible_.com.
[00:01:30.440 --> 00:01:32.720]   And buy Stamps.com.
[00:01:32.720 --> 00:01:36.040]   Start using your time more effectively with Stamps.com.
[00:01:36.040 --> 00:01:40.160]   To Stamps.com to buy and print real U.S. postage, the instant you need it right from
[00:01:40.160 --> 00:01:41.160]   your desk.
[00:01:41.160 --> 00:01:46.680]   For our special offer, go to Stamps.com now, click the microphone, and enter "Twit."
[00:01:46.680 --> 00:01:52.520]   And buy Citrix Go to Meeting, the powerfully simple way to meet with coworkers and clients
[00:01:52.520 --> 00:01:55.920]   from the convenience of your computer, smartphone, or tablet.
[00:01:55.920 --> 00:02:00.840]   Share the same screen and see each other face-to-face with HD video conferencing.
[00:02:00.840 --> 00:02:04.760]   For a 30-day free trial, visit GoToMeeting.com today.
[00:02:05.760 --> 00:02:08.400]   It's time for "Twit."
[00:02:08.400 --> 00:02:09.400]   This weekend, Tech.
[00:02:09.400 --> 00:02:10.400]   Hello, everybody.
[00:02:10.400 --> 00:02:11.400]   Leila LaPorte here.
[00:02:11.400 --> 00:02:15.840]   Time for us to dissect the tech news of the week, and we always bring together.
[00:02:15.840 --> 00:02:18.480]   You know, one of the things that's different about "Twit" in every other show on the network
[00:02:18.480 --> 00:02:20.480]   is every week is a different panel.
[00:02:20.480 --> 00:02:26.120]   And it's always fun because even if people have been here before, the mix is always kind
[00:02:26.120 --> 00:02:29.880]   of magical and it can change the style and the feeling of the show.
