
[00:00:00.000 --> 00:00:05.000]   It's time for Twit this weekend, Tekken Amazing Show!
[00:00:05.000 --> 00:00:07.500]   Buckle up because it's gonna be a bumpy night.
[00:00:07.500 --> 00:00:11.000]   We've got Jason Calicanis, Peter Rojas, Andy in Thompson,
[00:00:11.000 --> 00:00:13.000]   talking about the latest tech news.
[00:00:13.000 --> 00:00:15.000]   Their analysis will blow you away.
[00:00:15.000 --> 00:00:18.000]   I promise. Stay tuned. Twit is next.
[00:00:18.000 --> 00:00:20.000]   [MUSIC PLAYING]
[00:00:20.000 --> 00:00:22.000]   Netcast, you love.
[00:00:22.000 --> 00:00:24.000]   From people you trust.
[00:00:24.000 --> 00:00:27.000]   [MUSIC PLAYING]
[00:00:27.000 --> 00:00:29.000]   This is Twit.
[00:00:29.000 --> 00:00:33.000]   Bandwidth for this weekend tech is provided by CashFly at
[00:00:33.000 --> 00:00:36.000]   cachefly.com.
[00:00:36.000 --> 00:00:41.000]   [MUSIC PLAYING]
[00:00:41.000 --> 00:00:46.000]   This is Twit, this weekend tech, Episode 532, recorded Sunday,
[00:00:46.000 --> 00:00:49.000]   October 18, 2015.
[00:00:49.000 --> 00:00:51.000]   Guillotine Simulator.
[00:00:51.000 --> 00:00:55.000]   This weekend tech is brought to you by GASPER, an online
[00:00:55.000 --> 00:00:58.000]   retailer of premium mattresses for a fraction of the price,
[00:00:58.000 --> 00:01:02.000]   because everyone deserves a great night's sleep, get $50 off
[00:01:02.000 --> 00:01:06.000]   any mattress purchased by visiting casper.com/twit
[00:01:06.000 --> 00:01:09.000]   and entering the promo code Twit.
[00:01:09.000 --> 00:01:12.000]   And buy stamps.com.
[00:01:12.000 --> 00:01:15.000]   Start using your time more effectively with stamps.com.
[00:01:15.000 --> 00:01:19.000]   Use stamps.com to buy and print real U.S. postage, the instant
[00:01:19.000 --> 00:01:21.000]   you need it right from your desk.
[00:01:21.000 --> 00:01:24.000]   For our special offer, go to stamps.com now, click the
[00:01:24.000 --> 00:01:27.000]   microphone, and enter Twit.
[00:01:27.000 --> 00:01:32.000]   And buy Citrix GoToMeeting, the powerfully simple way to
[00:01:32.000 --> 00:01:35.000]   meet with coworkers and clients from the convenience of your
[00:01:35.000 --> 00:01:37.000]   computer, smartphone, or tablet.
[00:01:37.000 --> 00:01:40.000]   Share the same screen and see each other face to face with
[00:01:40.000 --> 00:01:42.000]   HD video conferencing.
