
[00:00:00.000 --> 00:00:04.480]   It's time for Twi, before we get started, of course, it's Memorial Day weekend in the
[00:00:04.480 --> 00:00:10.320]   United States, and I want to just thank the members of our Armed Forces, the men and women
[00:00:10.320 --> 00:00:17.160]   who give so much to protect us in the United States on this Memorial Day, and those especially
[00:00:17.160 --> 00:00:20.520]   who have given the greatest sacrifice.
[00:00:20.520 --> 00:00:21.520]   Let's not forget them.
[00:00:21.520 --> 00:00:26.480]   We've got a great Twitter head, Philip Elmer deWitt, Stacey Higginbotham, and my friend
[00:00:26.480 --> 00:00:31.280]   Christina Warren will talk about the latest news including Google, Besting, Oracle, for
[00:00:31.280 --> 00:00:33.280]   now.
[00:00:33.280 --> 00:00:35.280]   Tesla's, you know, they can't jump.
[00:00:35.280 --> 00:00:37.920]   We'll find out what that means.
[00:00:37.920 --> 00:00:38.920]   And a whole lot more.
[00:00:38.920 --> 00:00:39.920]   Stay tuned.
[00:00:39.920 --> 00:00:41.920]   Twi is next.
[00:00:41.920 --> 00:00:45.960]   Netcast you love.
[00:00:45.960 --> 00:00:49.120]   From people you trust.
[00:00:49.120 --> 00:00:53.520]   This is Twi.
[00:00:53.520 --> 00:01:05.320]   The bandwidth for this weekend tech is provided by CashFly at CACHEFLY.com.
[00:01:05.320 --> 00:01:06.320]   This is Twi.
[00:01:06.320 --> 00:01:12.760]   This weekend tech, Episode 564 recorded Sunday, May 29, 2016.
[00:01:12.760 --> 00:01:14.840]   Tesla's can't jump.
[00:01:14.840 --> 00:01:19.680]   This weekend tech is brought to you by automatic, the connected car company that improves your
[00:01:19.680 --> 00:01:22.600]   driving and integrates your car into your digital life.
[00:01:22.600 --> 00:01:28.320]   For more information, visit automatic.com/twit and enter the code TWIT to get 20% off your
[00:01:28.320 --> 00:01:29.960]   purchase.
[00:01:29.960 --> 00:01:32.360]   And by Headspace.
[00:01:32.360 --> 00:01:35.120]   Train your mind for a healthier, less stressed life.
[00:01:35.120 --> 00:01:39.240]   Download the free Headspace app and begin their Take 10 program for 10 days of guided
[00:01:39.240 --> 00:01:44.600]   meditation at headspace.com/twit.
[00:01:44.600 --> 00:01:49.240]   And by Tracker, a coin size tracking device that pairs with your smartphone and keeps
[00:01:49.240 --> 00:01:51.840]   you from losing your most valued possessions.
[00:01:51.840 --> 00:01:59.200]   Like the Tracker.com right now and enter promo code TWIT for 30% off your entire order.
[00:01:59.200 --> 00:02:05.040]   And by the Ring Video Doorbell with Ring you can see and talk to anyone at your door from
[00:02:05.040 --> 00:02:07.240]   anywhere in the world using your smartphone.
[00:02:07.240 --> 00:02:09.360]   It's like caller ID for your house.
[00:02:09.360 --> 00:02:17.120]   Right now get free expedited FedEx shipping when you go to Ring.com/twit.
[00:02:17.120 --> 00:02:22.560]   It's time for TWIT this weekend tech to show where we cover the latest tech news with some
[00:02:22.560 --> 00:02:25.320]   of the best tech journalists in the business.
[00:02:25.320 --> 00:02:26.320]   We got a great panel.
[00:02:26.320 --> 00:02:28.360]   Oh, I'm going to have fun today.
[00:02:28.360 --> 00:02:30.000]   Christina Warren is here.
[00:02:30.000 --> 00:02:32.280]   Film Girl from Mashable.
[00:02:32.280 --> 00:02:33.600]   Always love seeing you on the panel.
[00:02:33.600 --> 00:02:35.280]   Thank you for joining us.
[00:02:35.280 --> 00:02:36.280]   Happy to be here.
[00:02:36.280 --> 00:02:42.240]   You have behind you your Apple TV is displaying shots of San Francisco.
[00:02:42.240 --> 00:02:43.720]   Yep.
[00:02:43.720 --> 00:02:44.920]   I love that.
[00:02:44.920 --> 00:02:46.920]   Yeah, that's really pretty.
[00:02:46.920 --> 00:02:47.920]   Welcome.
[00:02:47.920 --> 00:02:50.680]   Your microphone is way off to your right.
[00:02:50.680 --> 00:02:51.680]   I don't know why.
[00:02:51.680 --> 00:02:54.280]   Maybe you should bring that along.
[00:02:54.280 --> 00:02:55.280]   Yeah.
[00:02:55.280 --> 00:02:56.120]   That's your face.
[00:02:56.120 --> 00:02:58.120]   Are you facing differently than you usually do?
[00:02:58.120 --> 00:02:59.120]   No, I'm not.
[00:02:59.120 --> 00:03:00.120]   I'm good.
[00:03:00.120 --> 00:03:01.120]   It's good.
[00:03:01.120 --> 00:03:02.120]   I mean, it's just I like to hear you.
[00:03:02.120 --> 00:03:03.120]   Yeah, there we go.
[00:03:03.120 --> 00:03:04.120]   Yeah.
[00:03:04.120 --> 00:03:09.120]   Also with this, actually it's I think it's first appearance with us since leaving Fortune
[00:03:09.120 --> 00:03:11.720]   magazine, Philip Elmer DeWitt.
[00:03:11.720 --> 00:03:14.920]   Ed, I want to find out about the new effort.
[00:03:14.920 --> 00:03:15.920]   Yeah.
[00:03:15.920 --> 00:03:17.480]   You got a new camera.
[00:03:17.480 --> 00:03:18.480]   I could tell that.
[00:03:18.480 --> 00:03:20.120]   Man, that looks good.
[00:03:20.120 --> 00:03:21.120]   It's the same camera.
[00:03:21.120 --> 00:03:22.120]   It's just in focus.
[00:03:22.120 --> 00:03:23.920]   I don't know what happened.
[00:03:23.920 --> 00:03:24.920]   Minor detail.
[00:03:24.920 --> 00:03:25.920]   Yeah.
[00:03:25.920 --> 00:03:26.920]   Minor detail.
[00:03:26.920 --> 00:03:32.720]   Also with a Stacey Higgenbotham, who is also our newest co-host on this week in Google.
[00:03:32.720 --> 00:03:33.720]   Hello, Stacey.
[00:03:33.720 --> 00:03:34.720]   Hello.
[00:03:34.720 --> 00:03:40.640]   Stacey hosts an IOT podcast with Kevin Tofel.
[00:03:40.640 --> 00:03:45.400]   And we call her Stacey IOT, which does not mean Stacey at.
[00:03:45.400 --> 00:03:47.800]   I was going to say it's close to Stacey IOT.
[00:03:47.800 --> 00:03:48.800]   Don't do that.
[00:03:48.800 --> 00:03:50.100]   Stacey IOT.
[00:03:50.100 --> 00:03:52.720]   But also worked with, did you guys work together?
[00:03:52.720 --> 00:03:53.960]   I guess you did at Fortune.
[00:03:53.960 --> 00:03:54.960]   We did?
[00:03:54.960 --> 00:03:57.600]   I think I've edited some of his stories.
[00:03:57.600 --> 00:03:58.600]   That's right.
[00:03:58.600 --> 00:03:59.600]   Yeah, that's right.
[00:03:59.600 --> 00:04:03.000]   And we used to sit, we sat next to each other a couple of times at meetings.
[00:04:03.000 --> 00:04:04.000]   Oh.
[00:04:04.000 --> 00:04:05.000]   Oh, is it?
[00:04:05.000 --> 00:04:06.800]   No, I was like, you were far away.
[00:04:06.800 --> 00:04:08.120]   But yes, in meetings.
[00:04:08.120 --> 00:04:09.120]   In meetings.
[00:04:09.120 --> 00:04:14.120]   Well, it's great to have two former fortuneers.
[00:04:14.120 --> 00:04:18.640]   And I'm not going to draw any conclusion from that.
