
[00:00:00.000 --> 00:00:05.640]   It's time for Twit, this week in tech, our second episode of the brand new East Side Studios.
[00:00:05.640 --> 00:00:10.720]   Harry McCracken, the technologizer, joins us along with Jason Snell from Six Colors.
[00:00:10.720 --> 00:00:16.200]   We're going to talk about all sorts of stuff, including, of course, the new iPhone.
[00:00:16.200 --> 00:00:17.200]   It's on its way.
[00:00:17.200 --> 00:00:19.360]   They still haven't gotten any invitations, though.
[00:00:19.360 --> 00:00:24.120]   We'll talk about Apple's fight with Spotify over music.
[00:00:24.120 --> 00:00:30.840]   Steve Woz's reaction to the loss of a headphone jack, and Google's artificial intelligence.
[00:00:30.840 --> 00:00:31.840]   It beats Facebook.
[00:00:31.840 --> 00:00:32.840]   Who's the winner?
[00:00:32.840 --> 00:00:36.480]   You'll find out next on This Week in Tech.
[00:00:36.480 --> 00:00:40.560]   Netcast, you love.
[00:00:40.560 --> 00:00:44.240]   From people you trust.
[00:00:44.240 --> 00:00:48.080]   This is Twit.
[00:00:48.080 --> 00:00:59.680]   What I'm glad with for this week in tech is provided by CashFly at CACHEFLY.com.
[00:00:59.680 --> 00:01:07.440]   This is Twit, this week in tech, episode 577, recorded Sunday, August 28, 2016.
[00:01:07.440 --> 00:01:10.120]   Vulnerable to ninjas.
[00:01:10.120 --> 00:01:15.280]   This week in tech is brought to you by Eero, why settle for a Wi-Fi router when you can
[00:01:15.280 --> 00:01:19.920]   have a brilliant, hyper-fast, super-simple Wi-Fi system.
[00:01:19.920 --> 00:01:22.400]   No more buffering, no more as dead zones.
[00:01:22.400 --> 00:01:25.640]   Finally, Wi-Fi that works for free overnight shipping.
[00:01:25.640 --> 00:01:30.840]   Visit Eero, E-E-R-O.com, and to check out, select overnight shipping, and it is a code
[00:01:30.840 --> 00:01:32.120]   Twit.
[00:01:32.120 --> 00:01:33.880]   And by Texture.
[00:01:33.880 --> 00:01:38.600]   The mobile app that lets you access the world's most popular magazines anytime, anywhere,
[00:01:38.600 --> 00:01:40.440]   using your phone or tablet.
[00:01:40.440 --> 00:01:44.760]   For your free trial, visit texture.com/twit.
[00:01:44.760 --> 00:01:47.000]   And by GoToMeeting.
[00:01:47.000 --> 00:01:48.760]   Be a meeting MVP.
[00:01:48.760 --> 00:01:52.240]   GoToMeeting is the online meeting tool that lets you easily collaborate and present from
[00:01:52.240 --> 00:01:53.920]   anywhere with one click.
[00:01:53.920 --> 00:01:56.280]   So you always put on your best performance.
[00:01:56.280 --> 00:02:02.280]   Step up your meeting game and start your free 30-day trial at gotomeeting.com.
[00:02:02.280 --> 00:02:03.960]   And by Trunk Club.
[00:02:03.960 --> 00:02:08.680]   Get clothes that fit and look amazing without ever stepping into a store again.
[00:02:08.680 --> 00:02:12.200]   Trunk Club will help you create the wardrobe you've always dreamed of.
[00:02:12.200 --> 00:02:21.680]   With your own personal stylist, go to trunkclub.com/twit and join Trunk Club today.
[00:02:21.680 --> 00:02:25.680]   It's time for Twit this week in Tech, the show where we cover the weeks tech news with
[00:02:25.680 --> 00:02:28.880]   some of the best tech journalists in the biz.
[00:02:28.880 --> 00:02:30.760]   And as always, we've got a great team.
[00:02:30.760 --> 00:02:34.040]   We're doing it in studio again in our new studio because we weren't sure if Skype would
[00:02:34.040 --> 00:02:35.960]   be working, but it works fine.
[00:02:35.960 --> 00:02:39.840]   So we could, I think next episode, we'll have people from all around, but Jason Snell
[00:02:39.840 --> 00:02:40.960]   just up the road a piece.
[00:02:40.960 --> 00:02:41.960]   Always nice to have you.
[00:02:41.960 --> 00:02:44.400]   Happy to drive on up from six colors.com.
[00:02:44.400 --> 00:02:45.400]   Like what you did with the place.
[00:02:45.400 --> 00:02:46.400]   Yeah, it's different.
[00:02:46.400 --> 00:02:47.400]   Huh?
[00:02:47.400 --> 00:02:48.400]   Yeah, I like it.
[00:02:48.400 --> 00:02:50.480]   Oh, we got bricks behind you now.
[00:02:50.480 --> 00:02:51.480]   That's new.
[00:02:51.480 --> 00:02:52.480]   Oh, classy.
[00:02:52.480 --> 00:02:53.840]   Every day there's something different.
[00:02:53.840 --> 00:02:54.840]   Hello.
[00:02:54.840 --> 00:02:55.840]   We put bricks in.
[00:02:55.840 --> 00:02:57.080]   Do you like the bricks?
[00:02:57.080 --> 00:02:58.640]   Hi.
[00:02:58.640 --> 00:03:02.560]   Also with us, Harry McCracken, the technologizer from Fast Company dot com.
[00:03:02.560 --> 00:03:05.360]   So you have a little brick on the side.
[00:03:05.360 --> 00:03:07.120]   Yeah, we're working on your side.
[00:03:07.120 --> 00:03:08.360]   Your side's unfinished.
[00:03:08.360 --> 00:03:09.920]   You have actual brick.
[00:03:09.920 --> 00:03:10.920]   That's real brick.
[00:03:10.920 --> 00:03:14.160]   Brick layer come in and make that orange behind you.
[00:03:14.160 --> 00:03:15.160]   Right.
[00:03:15.160 --> 00:03:17.440]   Okay, little things.
[00:03:17.440 --> 00:03:20.880]   We are, this is, you know, it's hard to believe it was only a week ago.
[00:03:20.880 --> 00:03:22.320]   We made the move.
[00:03:22.320 --> 00:03:24.280]   We've been only in here a week.
[00:03:24.280 --> 00:03:26.240]   Wow.
[00:03:26.240 --> 00:03:29.720]   So we welcome you to this week in tech.
