
[00:00:00.000 --> 00:00:06.200]   It's time for Dwight this weekend tech. Oh, this is gonna be a think he show some shows are drinky
[00:00:06.200 --> 00:00:12.480]   Some shows are think why cuz we got big thinkers on Oh Malek and Stacey Higg and Bathum
[00:00:12.480 --> 00:00:15.840]   They work together at giga home. They're two of the best tech journalists out there
[00:00:15.840 --> 00:00:21.360]   We'll talk about everything going on in tech today including a farewell to pebble
[00:00:21.360 --> 00:00:27.800]   What happened oh maybe you can explain huh and a whole lot more this weekend tech coming up next
[00:00:28.280 --> 00:00:30.280]   I
[00:00:30.280 --> 00:00:35.160]   Kest you love from people you trust
[00:00:35.160 --> 00:00:47.920]   This is tweet bandwidth for this weekend tech is provided by cash fly at CAC HE FLY calm
[00:00:53.240 --> 00:01:00.560]   This is twit this weekend tech episode 591 recorded Sunday December 4th 2016
[00:01:00.560 --> 00:01:03.040]   Broactive
[00:01:03.040 --> 00:01:07.880]   This weekend tech is brought to you by fresh books the super simple cloud accounting software
[00:01:07.880 --> 00:01:14.440]   It's giving thousands of freelancers and small businesses the tools to save time billing and get paid faster try it free
[00:01:14.440 --> 00:01:16.960]   at fresh books calm
[00:01:17.240 --> 00:01:25.800]   With and by it pro TV the easy entertaining approach to online it training for a free seven-day trial and
[00:01:25.800 --> 00:01:32.280]   30% off the life of your account go to it pro TV slash twit and use the code twit 30
[00:01:32.280 --> 00:01:37.120]   And now through December 31st 2016 if you purchase a premium annual subscription
[00:01:37.120 --> 00:01:40.640]   You'll get an additional three months added to your first year
[00:01:41.240 --> 00:01:49.160]   And by audible calm sign up for the platinum plan and get two free books go to audible calm slash twit -
[00:01:49.160 --> 00:01:51.600]   and by
[00:01:51.600 --> 00:01:58.760]   Stamps calm start using your time more effectively with stamps calm you stamps calm to buy and print real u.s
[00:01:58.760 --> 00:02:05.440]   Postage the instant you need it right from your desk to get my special offer go to stamps calm click on the microphone and
[00:02:05.440 --> 00:02:07.880]   Enter twit
[00:02:08.080 --> 00:02:15.000]   It's time for twit this weekend tech to show where we get together with some of the smartest people
[00:02:15.000 --> 00:02:24.040]   In tech journalism and we talk about what's going on. It's all context all the time and I have two my favorite
[00:02:24.040 --> 00:02:27.720]   Perpicuous constant context
[00:02:27.720 --> 00:02:33.840]   Manklers here. How do you like that Stacey Higginbotham? I was curious where you were going
[00:02:36.800 --> 00:02:43.480]   IOT podcast calm Stacey and IOT a regular on this week in Google always a thrill to have you on from Austin, Texas and
[00:02:43.480 --> 00:02:52.200]   You might know our next guest. I think you worked with him for a little while. Oh Malick is here from San Francisco
[00:02:52.200 --> 00:02:59.280]   Man behind giga oh he's now a an investor and a blogger at ohm.co and Pico
[00:02:59.280 --> 00:03:02.440]   What is this is something new what is PI dot CEO?
[00:03:02.440 --> 00:03:05.280]   PI dot CEO is
[00:03:05.280 --> 00:03:10.760]   Series of interviews I do with people I find interesting. Oh I have seen this. Yeah, I love Pico
[00:03:10.760 --> 00:03:18.720]   I don't update it very often, you know, you love the co this dot co. Yeah, man. I love Colombia now
[00:03:18.720 --> 00:03:20.720]   Oh, it's Colombia
[00:03:20.720 --> 00:03:26.040]   That's right. So it's not that code.uk. It's dot co. Yeah, I
[00:03:26.040 --> 00:03:30.320]   Need to do a few those it's a bit it's one better than dot com
[00:03:31.880 --> 00:03:38.020]   Little bit exactly you just you two work together at giga ohm Stacey was your editor briefly I
[00:03:38.020 --> 00:03:43.720]   Was like my mentor for forever. He's let's say eight years old
[00:03:43.720 --> 00:03:48.200]   Wow, yeah, yeah, and that actually I
[00:03:48.200 --> 00:03:51.320]   Still call him when I need help
