
[00:00:00.000 --> 00:00:05.600]   It's time for Twit this weekend taking all in studio panel Nathan Olaveras, Giles, Rob Reed and
[00:00:05.600 --> 00:00:14.540]   Yes, Georgia Dow all in studio. We're gonna talk about a Supreme Court decision that could change the way you buy printer cartridges apples
[00:00:14.540 --> 00:00:24.200]   Ransom the it's the Turkish crime family added again and the future of electric vehicles plus will look for a name for Android
[00:00:24.200 --> 00:00:26.200]   Oh, it's all coming up next
[00:00:26.200 --> 00:00:28.200]   I'm Twit
[00:00:28.200 --> 00:00:34.800]   Netcasts you love from people you trust
[00:00:34.800 --> 00:00:40.600]   This is Twit
[00:00:40.600 --> 00:00:47.560]   Bandwidth for this weekend tech is provided by cash fly at CAC HE FLY calm
[00:00:52.840 --> 00:00:59.840]   This is Twit this weekend tech episode six hundred seven recorded Sunday March 26th 2017
[00:00:59.840 --> 00:01:02.680]   Ozark pudding
[00:01:02.680 --> 00:01:09.840]   This week attack is brought to you by Blue Apron the number one fresh ingredient recipe delivery service in the country
[00:01:09.840 --> 00:01:15.600]   See what's on the menu this week and get three meals free with your first purchase and free shipping by going to Blue Apron
[00:01:15.600 --> 00:01:18.000]   Dot com slash Twit and by
[00:01:18.600 --> 00:01:23.840]   Betterment a smart easy to use and less expensive way to invest for your financial future
[00:01:23.840 --> 00:01:29.680]   Get one month managed free when you make an initial deposit of ten thousand dollars or more at betterment.com
[00:01:29.680 --> 00:01:31.680]   slash Twit and by
[00:01:31.680 --> 00:01:38.480]   Rocket mortgage from quick and loans when it comes to the big decision of choosing a mortgage lender work with one that has your best interest in mind
[00:01:38.480 --> 00:01:44.840]   Use rocket mortgage for a transparent trustworthy home loan process. It's completely online at quick and loans.com
[00:01:45.440 --> 00:01:53.020]   Twitch to and by audible sign up for the gold plus one plan to get two free books and a 30-day free trial at
[00:01:53.020 --> 00:01:55.320]   audible.com/twit to
[00:01:55.320 --> 00:02:02.360]   It's time for Twit this week in tech the show we cover the week's tech news and we're all here today
[00:02:02.360 --> 00:02:08.560]   Which is nice our newest employee Nathan Oliveris Giles is here. It's great to have you Nate OG
[00:02:08.560 --> 00:02:14.960]   Yeah, it's great to be here nice to be a official member of the Twit family. We first met you doing Twit, right?
[00:02:14.960 --> 00:02:22.540]   Yeah, drag you in here was it mark million from Bloomberg. Yeah dragged me in and I guess I was working on wired at the time
[00:02:22.540 --> 00:02:27.960]   Yeah, you fit through a few jobs, but that's okay. I'm not gonna hold it against you
