
[00:00:00.000 --> 00:00:01.180]   (upbeat music)
[00:00:01.180 --> 00:00:02.480]   It's time for "Twent" this week in tech.
[00:00:02.480 --> 00:00:03.340]   When we got a great show,
[00:00:03.340 --> 00:00:05.720]   Lindsey Turretine, editor-in-chief of "C-Net" is here,
[00:00:05.720 --> 00:00:07.640]   Tim Stevens from "Roadshow,"
[00:00:07.640 --> 00:00:09.920]   Georgia Dow from "I-More,"
[00:00:09.920 --> 00:00:14.160]   and we're gonna go head-to-head toe-to-toe on privacy.
[00:00:14.160 --> 00:00:16.320]   I'll give you a tease, a little hint.
[00:00:16.320 --> 00:00:18.720]   I'm gonna get knocked out badly.
[00:00:18.720 --> 00:00:21.280]   We'll also talk about big stories from CES
[00:00:21.280 --> 00:00:23.960]   and the Detroit auto show self-driving cars,
[00:00:23.960 --> 00:00:27.240]   electric vehicles, creepy robots,
[00:00:27.240 --> 00:00:30.400]   home pods, yellow nails, ice racing.
[00:00:30.400 --> 00:00:31.960]   It's all next!
[00:00:31.960 --> 00:00:32.800]   A twit.
[00:00:32.800 --> 00:00:37.880]   Net-cast, you love.
[00:00:37.880 --> 00:00:39.360]   From people you trust.
[00:00:39.360 --> 00:00:45.400]   This is "Twit."
[00:00:45.400 --> 00:00:48.680]   Bandwidth for this week in tech is provided by cashfly
[00:00:48.680 --> 00:00:51.920]   at cachefly.com.
[00:00:57.080 --> 00:00:58.280]   This is "Twit."
[00:00:58.280 --> 00:01:00.960]   This week in tech, episode 650,
[00:01:00.960 --> 00:01:05.120]   recorded Sunday, January 21st, 2018.
[00:01:05.120 --> 00:01:07.280]   Frumpy Rump.
[00:01:07.280 --> 00:01:09.960]   This week in tech is brought to you by Qwip.
[00:01:09.960 --> 00:01:13.360]   Make a fresh start this year with a Qwip electric toothbrush.
[00:01:13.360 --> 00:01:15.560]   It cleans like a premium electric brush
[00:01:15.560 --> 00:01:17.120]   at a fraction of the cost.
[00:01:17.120 --> 00:01:21.600]   Visit getquip.com/twit to get your first refill pack free
[00:01:21.600 --> 00:01:24.680]   when you purchase any Qwip electric toothbrush.
[00:01:24.680 --> 00:01:26.920]   And by zipper-cruder,
[00:01:26.920 --> 00:01:29.040]   looking for your next great hire zipper-cruder
[00:01:29.040 --> 00:01:32.440]   offers simple tools and powerful matching technologies
[00:01:32.440 --> 00:01:36.040]   to find you qualified candidates efficiently and effectively.
[00:01:36.040 --> 00:01:37.840]   It's the smartest way to hire.
[00:01:37.840 --> 00:01:41.440]   Try it free at zipper-cruder.com/twit.
[00:01:41.440 --> 00:01:44.360]   And by rocket mortgage, from quick and loans,
[00:01:44.360 --> 00:01:46.040]   home plays a big role in your life.
[00:01:46.040 --> 00:01:48.640]   That's why quick and loans created rocket mortgage.
[00:01:48.640 --> 00:01:50.560]   It lets you apply simply and understand
[00:01:50.560 --> 00:01:52.440]   the entire mortgage process fully
[00:01:52.440 --> 00:01:54.120]   so you can be confident you're getting
[00:01:54.120 --> 00:01:55.280]   the right mortgage for you.
[00:01:55.280 --> 00:01:59.360]   Get started at rocket mortgage.com/twit2.
[00:01:59.360 --> 00:02:02.400]   And by tracker, a coin-sized tracking device
[00:02:02.400 --> 00:02:03.880]   that pairs with your smartphone
