
[00:00:00.000 --> 00:00:02.500]   It's time for Twitch.
[00:00:02.500 --> 00:00:06.420]   This week in tech, we've got a great panel, Wesley Faulkner, who's going to announce
[00:00:06.420 --> 00:00:07.520]   a new job.
[00:00:07.520 --> 00:00:10.400]   It was a very big three-letter company.
[00:00:10.400 --> 00:00:15.020]   Christina Warren, who's got a great job at Microsoft, a senior cloud developer advocate,
[00:00:15.020 --> 00:00:19.460]   and Dwight Silverman from the Houston Chronicle will talk about reinventing Microsoft, the
[00:00:19.460 --> 00:00:21.400]   Apple Samsung settlement.
[00:00:21.400 --> 00:00:22.400]   It's over.
[00:00:22.400 --> 00:00:24.000]   Our long nightmare is over.
[00:00:24.000 --> 00:00:26.440]   And why you want a louder keyboard.
[00:00:26.440 --> 00:00:29.840]   It's all coming up next on Twitch.
[00:00:29.840 --> 00:00:34.040]   Netcast, you love.
[00:00:34.040 --> 00:00:39.280]   From people you trust.
[00:00:39.280 --> 00:00:41.440]   This is Twitch.
[00:00:41.440 --> 00:00:53.240]   Bandwidth for this week in tech is provided by CashFly at C-A-C-H-E-F-L-Y dot com.
[00:00:53.240 --> 00:01:01.520]   This is Twitch this week in tech, episode 673, recorded Sunday, July 1, 2018, the Prozac
[00:01:01.520 --> 00:01:03.880]   Dash button.
[00:01:03.880 --> 00:01:08.840]   This week in tech is brought to you by Rocket Mortgage from Quick and Loans, introducing
[00:01:08.840 --> 00:01:10.680]   rate shield approval.
[00:01:10.680 --> 00:01:14.000]   If you're in the market to buy a home, rate shield approval locks up your rate for up
[00:01:14.000 --> 00:01:15.600]   to 90 days while you shop.
[00:01:15.600 --> 00:01:17.080]   It's a real game changer.
[00:01:17.080 --> 00:01:22.480]   Learn more and get started at rocketmortgage.com/twitdoo.
[00:01:22.480 --> 00:01:24.080]   And Buy, MoogSoft.
[00:01:24.080 --> 00:01:26.760]   Reduce IT alerts and tickets by up to 90 percent.
[00:01:26.760 --> 00:01:27.760]   Guaranteed.
[00:01:27.760 --> 00:01:31.760]   Visit moogsoft.com to learn more and sign up for a demo.
[00:01:31.760 --> 00:01:36.720]   And Buy Casper, a sleep brand that continues to revolutionize its line of products to create
