
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[00:00:04.580 --> 00:00:09.640]   She'll tell us about her brand new job Wesley Faulkner is also here from single store
[00:00:09.640 --> 00:00:12.600]   We're gonna also talk to Dan more of six colors calm
[00:00:12.600 --> 00:00:21.560]   Wise cameras. They've let us all down. Would you ever buy another wise the lapses gang turns out to be a bunch of UK school kids?
[00:00:21.560 --> 00:00:29.400]   E3 it's all over and Jack Dorsey apologizes for his role in creating the big bad internet
[00:00:29.400 --> 00:00:32.320]   It's all coming up next and a lot more on twit
[00:00:32.320 --> 00:00:40.260]   Podcasts you love from people you trust this is
[00:00:40.260 --> 00:00:53.160]   This is twit this weekend tech episode
[00:00:53.680 --> 00:00:59.680]   1969 recorded Sunday April 3rd 2022 the kids are all right
[00:00:59.680 --> 00:01:08.640]   This week at tech is brought to you by our crowd our crowd helps accredited investors invest early in pre IPO companies
[00:01:08.640 --> 00:01:16.240]   alongside professional venture capitalists join the fastest growing venture capital investment community at our crowd calm
[00:01:16.240 --> 00:01:19.520]   slash twit and by Nureva
[00:01:20.040 --> 00:01:27.660]   Traditional audio conferencing systems can entail lots of components installation could take days and you might not get the mic coverage
[00:01:27.660 --> 00:01:32.900]   You need that's complex expensive, but there are a video is easy to install and manage
[00:01:32.900 --> 00:01:41.200]   No technicians required and you get true full room coverage now. That's easy canonical learn more at Nureva
[00:01:41.200 --> 00:01:43.440]   calm and
[00:01:43.440 --> 00:01:44.800]   by
[00:01:44.800 --> 00:01:50.660]   Wealthfront to start building your wealth and get your first five thousand dollars managed free for life
[00:01:50.660 --> 00:01:52.960]   Go to wealthfront.com
[00:01:52.960 --> 00:01:55.640]   Swift and by
[00:01:55.640 --> 00:01:56.800]   podium
[00:01:56.800 --> 00:02:02.940]   Join more than 100,000 businesses that already use podium to streamline their customer interactions
[00:02:02.940 --> 00:02:10.080]   Get started for free at podium comm slash quit or sign up for a paid podium account and get a free credit card reader
[00:02:10.080 --> 00:02:12.760]   restrictions apply
[00:02:14.040 --> 00:02:17.960]   It's time for twet this week at tech the show where we cover the week's tech news
[00:02:17.960 --> 00:02:24.440]   Got a great panel gonna be fun today Dan Morris here from six colors calm
[00:02:24.440 --> 00:02:29.120]   science fiction author dmoron calm you got a new novel coming out in
[00:02:29.120 --> 00:02:35.360]   June is this a continuation of the series or you got starting a new series now this one's a continuation
[00:02:35.360 --> 00:02:43.120]   This is a book three in the current series. I'm super excited to have a book three in this series and the collective cold war series
[00:02:43.800 --> 00:02:46.800]   Yeah, that's right. I'm very excited July 20
[00:02:46.800 --> 00:02:52.320]   Second gosh, I should know that should night. No, that's good. You don't need to know it
[00:02:52.320 --> 00:02:58.080]   We need to know it so we can get it actually it's cool because like any good programmer you started with book zero
[00:02:58.080 --> 00:03:00.840]   Sure. Yeah boy
[00:03:00.840 --> 00:03:08.160]   Well, you don't want it you want to avoid those off by one errors. Yeah, exactly. Yeah, although the point five is throwing me a little bit here
[00:03:08.160 --> 00:03:09.120]   but
[00:03:09.120 --> 00:03:11.920]   So it's a flow ray of floats. I guess I don't know
[00:03:12.640 --> 00:03:16.920]   1.5 said when you say third book it isn't really isn't you can you got one?
